review,sentiment_label
"This is what Asus stands for. (Gaming). Laptop is quite powerful with sharp looks and RGB keyboard is cherry on the cake.1 TB SSD makes it faster than its other variants. The laptop is made up of tough plastic material. Overall the laptop is best for gaming. GTA V can be played with very High graphics and with 144 htz the game gets smooth as butter.If you need a laptop for gaming and performance in budget, this is the perfect choice for you. Just go for it.READ MORE",positive
Really value for moneyREAD MORE,positive
"Magnificent display, games run smoothly, though the battery drains very quickly while gaming... Web cam is ordinary though works with google meet and zoom like a charm. Besides 1 TB ssd storage makes the laptop a little heavier compared to the 512 gb variant but it's great a buy as you get more storage.. I played games like CS Go, Genshin impact, etc and it all ran smoothly , and watched animes and sports too, were quite astonishing in the 144Hz display screen. And speaking of the speakers, t...READ MORE",positive
"Just mind blowing at this price. Such big storage of 1TB SSD, 4gb graphics card of gtx1650, 8gb Ram. So smooth gameplay experience of some heavy games like GTA V, JUMP FORCE, FAR CRY 4 etc. Its just awesome and in my opinion one can buy it if their is at this range.READ MORE",positive
Loved this beast ❤️READ MORE,positive
The Performance Of This Laptop Is Totally Lit🔥I Tried GTA 5 And Valorant They Work Extremely Well❤️And For Maximum Performance During Game Play It On Charge.144 Hertz Display Is Awesome.The Only Con Is The Battery Backup.READ MORE,positive
The laptop's performance is very good. Games run smoothly on this laptopREAD MORE,positive
Awesome product and gaming performance is so good easy to make presentation and can play games with high quality graphics loved the pc but battery 🔋 drains little bit fastREAD MORE,positive
Best beast in this budgetREAD MORE,positive
ONE OF THE BEST PRODUCT FROM ASUS . LOVED THE PRODUCT AND THE WAY IT WAS DELIVERED.READ MORE,positive
Loved it😍. Suberb design. Good for codingREAD MORE,positive
Nyc productREAD MORE,positive
Got a beast in this price rangeREAD MORE,positive
Best laptop in this  price it awesome then I think go for it all are awesome I become a premium man after getting this lippy 🤩🤩🤩I loved it giving 5/5...READ MORE,positive
Over all nice productREAD MORE,positive
Nice seller nice gaming allround laptopREAD MORE,positive
Nice product in this rangeREAD MORE,positive
This is a very budget friendly gaming laptop and comes with very good processor of Ryzen 5 4600H and Best Thing is that at this price point you got 1TB SSD usually we got 512 GB SSDREAD MORE,positive
"The product seems to be good. Its been a month using it, i would say good built quality, good processors, nice cooling and great performance even after heavy gaming. Overall PerfectREAD MORE",positive
Heating issue is there other wise everything okREAD MORE,positive
Am a happy customer of this productREAD MORE,positive
Best for money best performanceREAD MORE,positive
Amazing product🔥🔥🔥...My dream laptop❤️❤️❤️ But I will prefer to buy A17READ MORE,positive
"Best laptop I have bought ... Recommend to buy who want for video editing , gaming .READ MORE",positive
NiceREAD MORE,positive
Awesome displayREAD MORE,positive
Best laptop in price range.READ MORE,positive
Awesome product 👍👍Overall great performanceValue for money Go for it😃READ MORE,positive
Except battery backup everything seems good at this point.READ MORE,positive
"Value for money, mind blowing thing.READ MORE",positive
"Value for money, mind blowing thing.READ MORE",positive
"Super laptop  awesome condition, gaming are amazing  I lobe it ... Tanq flipkart 😍😍🥳READ MORE",positive
Gameing beast....go for itREAD MORE,positive
Decent productREAD MORE,positive
BestREAD MORE,positive
GoodREAD MORE,positive
Best Laptop on best priceREAD MORE,positive
Battery issue within a few weeksREAD MORE,negative
Very smoothREAD MORE,positive
Good experience but metal body is not good good for coding and gaming but battery problem is there.READ MORE,negative
speed too slow...SSD are slow working...SSD are Cheapest quality..READ MORE,negative
Awesome laptop but felt I could have bought hp gaming laptop in the same range.  Overall satisfied and hoping it won't cause any problems in the futureREAD MORE,positive
Above material plastic used is of inferior quality and weight is heavy of laptopREAD MORE,negative
Good product 👌READ MORE,positive
Battery issue.READ MORE,negative
Overall product is good but battery backup is the issue and constantly coming updatesREAD MORE,negative
I love the design... I received it yesterday..let's see how it works 😄😄READ MORE,positive
Super laptop for good price and no problems 😎😎READ MORE,positive
"Laptop is hanging within a month , my recommendation would be not buy it go for intel processor i5genREAD MORE",negative
"It is dead after use of 3 months , Flipkart you give me worst productREAD MORE",negative
Nice product 👍READ MORE,positive
Superb laptopREAD MORE,positive
Love this product but battery back up lowREAD MORE,positive
Waw good tufREAD MORE,positive
"bad performance for content creators, very laggy i haven't used even 30% of storage it simply gets struck, softwares crashes problem is highREAD MORE",negative
Nice laptop for all thingsREAD MORE,positive
Best product for this rangeREAD MORE,positive
Value for MoneyREAD MORE,positive
ThanksREAD MORE,positive
One of the best gaming laptops in this price segment.READ MORE,positive
