review,sentiment_label
"Nice product but display not upto the mark.Good for students . Cant use for taxation,tally,excel.READ MORE",negative
Best laptop in this budgetREAD MORE,positive
Very good chromebook from Asus in tablet price range.READ MORE,positive
Thanks FlipkartREAD MORE,positive
Osm products ❤READ MORE,positive
"2 cents:. Suggest to buy wireless Logitech m235 mouse with Chromebook, makes it so easy to operate.  Google apps like photos and finance work great.Microsoft excel and word are online ones.READ MORE",negative
Really helpful product!A great job by ASUS and Google!In this price range none other offers this much features…..really loved it!READ MORE,positive
Best laptop for studentValue for moneyAnd this is Google laptopThis is worth it laptopHandy and light weightREAD MORE,positive
Good productsREAD MORE,positive
Thanks for so much ❤️🤝This is very nice 👍READ MORE,positive
"Honestly, This product is value of money. If you are a beginner blogger or a student then this Chromebook is best for you.READ MORE",positive
Nyc and portable design.READ MORE,positive
"Handy, smart, lightweight device. Good processing speed, fare battery back-up.  Perfect for students for online study/classes. Value for money bcz students can easily get rid off using mobile prolong for online classes these days. For me its better than tabs.READ MORE",positive
Perfect Laptop for business purposesREAD MORE,positive
"I have been using Chromebook for almost 10 years. Before buying this, we imported from USA. This is excellent for kids. It's way better than tablet. Good build quality. As usual chrome OS is lag free. Since chrome os is extremely light weight when compared to windows. So even on low processor you can get lag free experience. Now this Chromebook is supporting all android apps, so it's extremely powerful machine for this price range. For Rs.999 you will get 3 complete protection. This i...READ MORE",positive
"Dear buyers,,This chromebook is very sleek, absolutely light in weight, ease in grip n carry, perfect partner for travelling n experience, long  battery life.Things which I have missed is proper day to day work in ms office and touchscreen,ProsLight weightFit in almost all travelling bags,Having web cam, can used for video calling, (camer seems to be just ohkay ohkay)Best part is Google Assistance over voice recognition without any touch.Speedy boots up.Cover with rubber type thin...READ MORE",positive
"Nice product. good for online classes and basic stuff like surfing, online videos etc.  value for money if you get under 17K after card discount. Highly recommended over tablets and large screen mobile. Go for it without any second thought. I observed 3-4 times that it hangs if you use while charging. Not observed normally.READ MORE",positive
Decent ! Suitable for online class studentsREAD MORE,positive
"This is like mobile phone   system   it,s not goodREAD MORE",negative
Nice chromebook . Portable.Light.Fast. Good for students .Nice to carry in bag.READ MORE,positive
"I bought it yesterday, one thing I can say for sure that its battery backup is amazing and its best for daily usage and its strictly not for heavy usage. If your whole work system is based on google, then it works perfectly fine. In windows os, battery drains faster, but in chrome os, it works charm.READ MORE",positive
Very substandard product. It gets hanged up repeatedly and my son who was supposed to have used it for his online classes has not been able to use it for a single class. Humble advise not to buy this product.READ MORE,negative
Running good.READ MORE,positive
Best under this range u can also do coding in itREAD MORE,positive
I am very impress for this little one.I ordered for my little child but l am using this one.It cost little but done great work in this online world..Must buy and use as a great Laptop.READ MORE,positive
"Worst product don't buy, very slow processing and waste productREAD MORE",negative
"It hangs many a times even if you do only browsing, or play YouTube online.READ MORE",positive
hang many timeREAD MORE,positive
Good for Online Classes.READ MORE,positive
"Please note that this laptop is for extremely basic usage like YouTube, basic word processing using Google docs etc. If that's what you need then this laptop is for you... It's best feature is it's battery life which can easily stretch to nearly 6 hours plus. It also has Android apps but the implementation is kind of awkward and unevenREAD MORE",negative
"Value for money. With android and Linux apps support, Chrome OS is better than ever. I've been using a different Asus chromebook for past 3 years and I could always depend on it whether it is for speed, reliability, or battery backup. I would always choose a mini laptop over tablet.Reasons for not giving 5 stars for this model:* Only 3 years support (end of life: June 2024). Reinstalling a different OS (Linux) is not straightforward and using outdated Chrome OS is not recommended* I notic...READ MORE",negative
"awesome product, though serious laptop users are going to be dissapointed, mostly for online classes, meeting or for very light work, as it runs on chrome OS most of the software that we are familiar with do not work on this Chromebook....and only android apps that can be stored are from google app store only, outside that the the apps with apk are not supported..READ MORE",positive
It's very bad product and waste of money don't buy it they won't take return too..READ MORE,negative
"good performance ,READ MORE",positive
"The machine keeps hanging. It has been only 10 days now, no apps are installed, it’s already hanging every now and then. The battery life is only half from what was mentioned.READ MORE",negative
Purchased on July 27th 2021 on flipkart. But today on August 23rd 2021 it's not turning on even after charged for 1-2 hours. Don't waste your money 💰. Really disappointed !!READ MORE,negative
Best laptop ever !!! Sleek and comfortable !! Better thn any mac or highly configured systems !!  Especially super slow windows 10READ MORE,positive
"A very pathetic, unsupportive to user at any timeREAD MORE",negative
Very Good product at this price point if you are student. 👍READ MORE,positive
Best battery lifeREAD MORE,positive
"Not good , just like a android phoneREAD MORE",negative
It's weast off moneyREAD MORE,negative
Giving this review after 8 days of usage.I bought this Laptop instead of buying a tablet for attending online classes.Good battery and user friendly.The 1st one which I bought was having display problem hence returned it. Later ordered new one and I'm satisfied with this one.At this price range it's a good one for childrenREAD MORE,negative
Be wary of buying total protection offer as it takes alot of effort to get it activated.READ MORE,negative
Get hanged frequently. Does not restart when freezed.No value for moneyREAD MORE,negative
Very very disgusting don't buy anything from flipkartREAD MORE,negative
Not satisfied with productREAD MORE,negative
This product is bad one from asus at first time connected to charg it has high heating issueREAD MORE,negative
Not worthyREAD MORE,negative
Two days it's worked fine after that not working.No value for moneyREAD MORE,negative
Osm laptop but to install the apps need to reboot systeam and need to allow so many steps not gets good opinion on it and also when use putting charger it's hanging so wiared also good looking laptop but expectation not upto the markREAD MORE,negative
If you are looking for Personal browsing and just a Internet access device !! Go for it !! Google echo system is just the best suited for people who have browsing reading and listening to music kind of behaviour.Not for those who do hardcore work !! Best for those who will use it as a personal device .READ MORE,negative
Very badREAD MORE,negative
Good  for online classesREAD MORE,positive
GOOD AND COMPACTREAD MORE,positive
Function key not available video quality low audio quality very lowREAD MORE,negative
Stopped working after 10 days . And it freezes everytime when it was working.  Complete wastage of money.READ MORE,negative
Its a disaster.READ MORE,negative
Nice products thank you flipkartREAD MORE,positive
I like itREAD MORE,positive
Awasome laptopREAD MORE,positive
Worth every penny.READ MORE,positive
This is a legendry thingIts tchpad is so sensetive its keyboard ar also just awesome but average you can buy this very good product at allREAD MORE,positive
Keep hangs after 25 to 30 minutes of use. and restart is the solution and CTRL-SHIFT-R not solving always. Any one has similar issues ?READ MORE,negative
Was OK.. in this range..READ MORE,negative
Not goodREAD MORE,negative
not happyREAD MORE,negative
Not so good as I thinkREAD MORE,negative
"very bad product ,not working ,supplyer not return her productREAD MORE",negative
Cash very loss I need laptop not working very Danger productsREAD MORE,negative
Don't buy this 😧 use less product simple waste of moneyREAD MORE,negative
Poor performanceREAD MORE,negative
Use lessREAD MORE,negative
Received faulty productREAD MORE,negative
money wasteREAD MORE,negative
Don't buy this productREAD MORE,negative
"Ideal for your small needs at a low price. One drawback is that the screen is small, but you can rest assured that the price is low. Works with focus on Google Chrome. So the tea you get on the tester or laptop when using other browsers Features not available. This is similar to what a typical mobile browsing application looks like when set to desktop modeREAD MORE",positive
I bought this product for attending online classes. Teams does not work properly. When class is going on it abruptly hangs. Cannot do anything. Need to force shut down. This is happening daily. Even this happened with google Classroom few times.READ MORE,negative
Very very happy  flip cardREAD MORE,positive
Just for kids to attend online classesREAD MORE,positive
This is not a laptop. Its a chromebook. You can not connect normal printer with this because it Hp or any other printer manufacturers dont make drivers on chrome os. You can only connect wifi printer with this model. Its good for students but not for business users who might want to run softwares.READ MORE,negative
not run excel and microsoftworldREAD MORE,negative
Bad probacktREAD MORE,negative
its not use casualREAD MORE,negative
This product is useless for office work low battery backup  wast of money it is useful for 6-10 years children no return optionREAD MORE,negative
This item is very bad not goodREAD MORE,negative
VERY BADREAD MORE,negative
Small display and not be function keysREAD MORE,negative
Poor qualityREAD MORE,negative
Charger is not working after 1 weekREAD MORE,negative
Worst productREAD MORE,negative
In this price range it's goodREAD MORE,positive
"i was purchase this product for office work but i was do not check this process and not  check properly but any person or customer will purchase this laptop , i will suggest everyone please check before,becouse this laptop only show for laptop cannot use office work or  not softwareREAD MORE",negative
It is best for lite user.Battery back is good.Display quality is okREAD MORE,negative
GoodREAD MORE,positive
Very nice 👍READ MORE,positive
Awesome for basic workREAD MORE,positive
SuperbREAD MORE,positive
It is actually a android laptop. Good for online classes and light office works. Not suitable for heavy works. Front camers average only...READ MORE,negative
Nice productREAD MORE,positive
