review,sentiment_label
Just amazing. Performance is very good.READ MORE,positive
Awesome! Thanks for FlipkartREAD MORE,positive
Its really awesome👍👏😊......READ MORE,positive
Over all review not bad It's worth of money 👍READ MORE,positive
This is awesome. I love itREAD MORE,positive
Best laptop this price segment ❤️❤️🤘  This is my first laptopREAD MORE,positive
Value for moneyBattery drained fastREAD MORE,negative
Nice product ☺️READ MORE,positive
"Very nice and great product.  Performance is very good.Very good product in this price range.Games, video editing is very good.But the battery does not have a long charge time.READ MORE",positive
Go for it.It is working smoothly right now.if there will be any problems come.i will update it hereREAD MORE,positive
Good performance 💪Display 3.5/5🤩Battery 🔋 4/5💪Speaker 🔊 3.9/5🤩Power on Time ~6 to 7 Second 💪Performance 4.4/5💪💪Video quality 3.9/5🤩Value For money 💸💸 5/5🥰READ MORE,positive
Thin and light laptop. And value for money.READ MORE,positive
I had a great expectation with this laptopBut at this what more we can expect.ProsPerformance is good 4/5Fingerprint sensor faster accessDesign is goodConsDisplay quality is very bad. It get little blurred when moving objects person etc shown.It only show steady objects clearly. 2/5Battery : Max 4-5 hrs drained so fast on use. Speaker : Very low sound even lower than the smart phone's speaker. Audio jack: not working in beginning but got fixed after troubleshooting. No ba...READ MORE,negative
Really love this productREAD MORE,positive
It's really good ❤️READ MORE,positive
Over all a good productREAD MORE,positive
GoodREAD MORE,positive
"I have been using this laptop for a week now, and it has surpassed my expectations in many ways. One aspect that has impressed me is its incredibly fast startup time, taking only 5-7 seconds, while the shutdown time is equally remarkable at just 2-3 seconds. Another great feature is that it comes pre-installed with the latest version of Windows, Windows 11, and MS Office 2021, ensuring that I have the most up-to-date software to enhance my overall productivity.Including a fingerprint sensor...READ MORE",positive
🔋 battery is 2cell😞 and all of them ok⚡backlit keyboard notREAD MORE,negative
Performance was amezing...🏆Battery drained very fast...🪫Display was good... Brightness little low but good for office work 💻Value for money laptop 💻🏆 In this budget best laptop for office work 💻🏆  i3 processor  11 generation 🔥🔥READ MORE,negative
My first laptop mind blowing purchase......For Stock Market Trading.......READ MORE,positive
Good for students and office work 👍 Go for it🤙READ MORE,positive
Charger problemREAD MORE,negative
Over all product is good little bit disappointment in battery nd display side reaming all things are ok. Good for day to day tasks.READ MORE,negative
Love it❤️READ MORE,positive
"At the price of 31.5k this is the best laptop. Moreover we can upgrade RAM to 16 gb and ssd to 1 TB  making it futureproof. Performance is smooth. Only drawback is speaker is at bottom, hence sound is lower than expected. But its ok for me, as performance is priority. You can go for it if looking for laptop under 35 k.READ MORE",positive
Just amazing wow this asus vivobook is amazing PC with fast performance fhd display and value of money . Super laptop in this price range. Thanks to #flipkart for good package delivery product was amazing and in good condition. This is the best performance budget laptops for work job and everyone. Just go for it. I love #Asus brand  💕  at this price range this is best pc as compared to the other brands like hp dellREAD MORE,positive
"Everything is perfect expect battery, speaker and display.... brightness level is very lowREAD MORE",positive
the laptop is good no doubt especially after this generous discounts from Flipkart. but why the ms office 2021 is not included even though promised by sellers is not clear. can flipkart shed light on this. we will be much obliged.READ MORE,negative
Super performance nice experienceREAD MORE,positive
Very nicely and smooth workingREAD MORE,positive
Fully satisfied with the product❤️.I recommend it for Basic useREAD MORE,positive
"Good product, performance good,product is quality .READ MORE",positive
GoodREAD MORE,positive
NiceREAD MORE,positive
