review,sentiment_label
"Everything is just WOW...display n design❤️🔥🔥🚫INITIALLY DISPLAY FLIKKERINGbut FIXED WITH MINOR DISPLAY SETTING UPDATE.🚫 EACH N EVERYTHING IS MUCH BETTER THAN OTHER laptop.ALL ARE *****5 STARBATTERY ONLY ****4 STAR.BEST FOR DISPLAY FOR ENTERTAINMENT,STUDENT,CHILDREN......eye ls never tired...Just bought at....42500 ...on 9 jan 22Best laptop ❤️Go n buy blindly❤️❤️READ MORE",positive
Everything was established excellentREAD MORE,positive
Writing this after using for almost one week....the best laptop under 50000.... Display is obviously the show topper 💕 performance is also amazing 😍 if you're looking for a laptop with best display and day to day work performance blindly go for it 💕💕READ MORE,positive
This laptop is awesome 👍👏😊For Daily uses and online classes highly recommended laptop😃😄READ MORE,positive
The laptop is really good it boots up very fast like under 5 seconds and the finger print sensor is also very fast the OLED screen is really excellent The colours are very rich and sharp the Harman kardon speakers are also really good loud and clear the battery is also good if ur screen brightness is set to low and if the backlit is off at this price range this is the best with out any doughtREAD MORE,positive
Asus did it right!! I am writing this review after using this boy for a month.Lets start with Display 😍:: Amoled display with true to life enhancing technology will blow your mind..Dont worry about any pixel burning issues.It has the inbuilt functionality like pixel shift and pixel refresh to optimise the picture quality.Blue light emission control is a bonus.Battery:: You will get around around 4 hrs in general 🥲Performance:: Intel i3 11 gen will handle most of the daytoday task.....READ MORE,positive
"This is one of the best laptop with oled you will feel that your eyes were colourful and enjoy the every frames.At starting I got little worried that lap got heat and trackpad mouse response is very less and sometimes that the mouse pointer is not moving after that I realised that all because of windows background updation after that, runs smoothly.No more heating issues and mouse pointer issue. Anyone have that same issue no need to worry it will be alright after the updates.The only...READ MORE",positive
"Pros - 1) Bright oled display as there is no backlight it reduces eye strain2) adequate total 4 usb ports, soft keyboard3)get asus power manager from windows store and keep settings at 60 percentage to reduce number of battery charge discharge cycle4) good for web browsing with tab sudpender extension i can open upto 150 tabs.5) excellent value for money as last year 15.6 inch oled laptop is to cost more than 1 lakh.6)good n loud dts sound with stereo mix and enhancement. I use voicemete...READ MORE",positive
Best Laptop in 50k rangeREAD MORE,positive
Excellent in Budget... .READ MORE,positive
If ssd is 512gb in this price this becomes a valuable purchaseREAD MORE,positive
if you are looking for a display then this is the perfect laptop for you to buy.. elegant design with it's premium finishing..Oled display with great colors hdd kit available in the packagefor office work it's perfect and for media streaming it's more than perfect 😍😍just love this laptopi purchase black color.. for me the backlight keyboard is very good .. three level brightness which will provide you a great experience..performance is very good but not for heavy gamingbattery is gr...READ MORE,positive
