review,sentiment_label
"Sound is on the lower side. The body is a fingerprint magnet and gets smudged with fingerprints easily. Display quality isn't that great. Rest everything, is top class. Bought the 16GB variant for 51K. So definitely value for money.READ MORE",negative
I got the laptop at 48990  so it is a deal breaker.It give battery backup around 9h on battery saving mode simply browsing and multimedia.Read and write speed is also very high.Type c charging 90w.No heating issue.And delivery is with in 24hours..READ MORE,positive
The performance is top level🔥... The battery backup is about 6 hours and display is very awsome anti glare😍... Build quality is awsome😍...READ MORE,positive
I'm a programmer and also a cyber security expert. If any person want to buy this laptop for programming and for cybersecurity then buy it without any hesitation. your money will not be wasted.READ MORE,positive
Nice product. Good battery back up. Type c charging. Good performance. Handy.READ MORE,positive
Great performance...👍READ MORE,positive
I am in love with this laptop. Just got in 44k on offer. Very happy. Master class peiceREAD MORE,positive
Great experienceREAD MORE,positive
It is an outstanding all rounder. Awesome laptop. Very smooth. Very quick booot-up. Superfast fingerprint sensor. Display is amazing which above my expectations and is also anti-glare. The build quality is also amazing. The S series is way better than normal Vivobook Series. the Intel Core i5-12500H Processor has 12 cores and 16 threads. According to my requirements this laptop does not have any compromises - It is just perfect.For Flipkart : Laptop is exactly as described on website. Flipk...READ MORE,positive
Top level Performance .day by days uses are best coding and multiple uses are great. The normal open heavy software.READ MORE,positive
"Worst display quality ,screen bleeding issue. And unsatisfactory after sell service by Flipkart and Seller. I suggest never buy laptop from Flipkart worst return policy.READ MORE",negative
"Good laptop, light in weight, better performance in this range, just go for it 👍👍READ MORE",positive
"Using the laptop from past 6days, overall satisfied. Will review the performance after 3 months.READ MORE",positive
Product is good. I have always used 15 inch so it feels a little small but you'll get used to it.READ MORE,positive
Pros:1. Performance is awesome2. Nice build quality.Cons:1. Extremely disappointed with the colours and output of the display. It made my eyes pain with a continuous usage of 2 hours.2. Speakers volume is so less that you can't even watch a movie without the earphones.READ MORE,negative
"I recently purchased the ASUS Vivobook S14 Intel EVO H-Series Core i5 12th Gen laptop, and I must say, it has exceeded my expectations. From its stellar performance to its sleek design, this laptop ticks all the boxes for a great computing experience.First and foremost, the specifications of this laptop are impressive. With 8 GB of RAM and a 512 GB SSD, it offers smooth multitasking and ample storage space. Windows 11 is pre-installed, providing a seamless and modern operating system. The I...READ MORE",positive
Wonderful product. It's a great value for money if it's available below 55k.READ MORE,positive
Product will definitely impressed you. In this price segment it is the best deal.READ MORE,positive
"The Pros:In this price range, this is probably the only notebook with an evo certification. Therefore along with really good design and form factor, the display is equally good, resolution, brightness and colours are on point.The battery is better than other laptops in this range (70whr vs 40-45 whr). Processor's good but has an evident heating problem, although its bearable for the performance.Touchpad's huge but misses out on accuracy sometimes. (same with the fingerprint sensor). Altho...READ MORE",positive
Overall this is good but sound quality like averageREAD MORE,positive
"Intel EVO certification is different from normal laptops and worthy having with this certification. Awesome and superbly bulit as per Intel specs. Battery back up 8+ hours, backlit keyboard with windows and ms office. Everything is packed in one package. Felt superb with Asus second time. I am happy with the product.READ MORE",positive
Good product under 55k.READ MORE,positive
Nice performance7 hour battery life8 Gb Integrated graphics16 GB Ram 8 Gb solderGen 4 SSDREAD MORE,positive
"In 50k it's one of the best laptops. It is worth buying 48k to 58k by online shopping.If you have already used some high end laptops then you will be a little bit disappointed.The display is good but you can easily understand it's not oled but  for programming and reading it's better than OLED.For build quality I am much more satisfied than my professional laptop.The battery is satisfactory, you need to change a few settings to take 9 to 10 hours (as per evo suggest settings) of battery b...READ MORE",positive
"The laptops is really well built, compact and looks professional. It is really good for office usage and day to day usage. It is not so good for multimedia and entertainment purpose but a must buy for office guys. For 53I with offers it is highly valuable for moneyPros:Good battery lifePc is well optimized and boots masterCompact and weightlessCons:Speaker quality is very low and less audible even at high volumeFinger print sensor is not that accurateREAD MORE",positive
"Best one for the personal and office use. Battery life is good. Who are looking for gaming, editing and coding is very perfect one. Metal finish looks good and provide stickers as well. BlackyyyyyREAD MORE",positive
"All in all a very good product. Value for money as I bought for 56k. No compromises from performance and build sides. However, I have been having issues related to Bluetooth connectivity with audio devices like TWS or Speakers. The reason might be on the OS side or driver side, I have checked it as of yet. But in general a very good product. Recommended if you don't have much gaming to do or heavy graphical software to use. 👍🏻READ MORE",positive
Best laptop for software developmentREAD MORE,positive
verygood laptop performance wise is very goodREAD MORE,positive
The laptop is very good 😊 in this price range no competitors the best laptop for multitaskingREAD MORE,positive
Extremely satisfied with its performance. Display is good and fingerprint sensor works nice. Surprisingly the speaker is very loud and clear unlike other new laptops which lack in giving good audio quality. Got a 90 watt charger in the box which charges the entire battery in nearly 1 hour .. Overall happy with the product ....READ MORE,positive
