review,sentiment_label
"Just superb.  Display ,,,READ MORE",positive
"Flipkart just took 2 days to deliver the product.I have used it now for just few hours, so here is the first impressions....Battery is great as of now.Display is great... vibrant and crisp.i3 11 th gen handles everything too easily.SSD is toooo fast...i have made a partition of  175gb for c drive.Design is also great.Comes with genuine windows 10 and ms office home & student 2019.As of now.... everything is great. Now let's see what happens after some time, I'll edit the review after ...READ MORE",positive
"Perfect choice for Office, students and business use.🔥🔥🔥🔥🔥#sexy🔥READ MORE",positive
"Everything works with very fast speed due to i3 11th Gen, 8 Gb RAM and 512 Gb Nvme SSD. FHD display is awesome. Sound quality is also great. Light weight (only 1.4 kg). Battery performance is very good. Backlit keyboard and fingerprint sensor make it more valuable laptop.✍️ Surjya kumar Das, AssamREAD MORE",positive
It's really nice product if you see midrange lap in the below 40k then it will be more than worth must buyPros1) Excellent performance 8gb 512ssd I32) very vibrant its really nice 3) backlight key board awesome keys also smooth4) battery 3to 5hrs depends upon usage5)65 watt charger awesomeCons1)sound pretty good but not too loudOveral my experience got it 38490 worth and it seems like MacBook blindly u can go if you see midrange laptopREAD MORE,positive
This is good product but speakar quality is not good And battry life is normal and build quality is very Good and this is not gaming laptop but I am impressed This laptop . thanks FlipkartREAD MORE,positive
Very good laptop aaj he mne buy kia h display quality is also very good sould quality is okh fingerprint sensor is very goodits very great laptop in budgeti think vivobook just work on lil bit speakerother all is good speaker is good not badREAD MORE,positive
"Got it for - 39,990Performance - is excellentDisplay - is greatBattery - is ok ok u can get 4-5 hrs depending on usageDesign - is good, light weightOverall value for money deal around 40kTip : U can extend product warranty to 2 years by going through asuspromo.in website by paying rs - 99.0READ MORE",positive
Just awesome Best for students.READ MORE,positive
"*Updated after 7 days of useReceived this yesterday. Got it for 37.5kNice performance in mid range. Seems very delicate. You have to use with care. If you are ruff and tuff user, should avoid. Very slim and light weight.Battery is good. 4 to 5 hoursCam is average.Sound is good. Not very loud but clear.Keyboard look is nice but build quality is delicate. Use keyboard guard.Finger print scanner excellent.Speed excellent for day to day usage. Played morden combat 5 and worked good.Val...READ MORE",negative
Good one..READ MORE,positive
overall good laptop Thanks flipkartREAD MORE,positive
"Good morning. It is a nice product.  I used it for a day, and it is strong and muscular.  Works just as a Bugatti but looks a bit like an Audi . You can go for it if budget below 45000. Backlit keyboard is also strong and useful.  Fingerprint scanner is fast and powerful.  So go for it.  But do a bit research befor buying . Thankyou.READ MORE",positive
"Frist of all I'm impressed with the design, however the trackpad is below average. Performance justify the price. No doubt you can go for this laptop with budget 40kREAD MORE",negative
Value for money very thin and attractiveREAD MORE,positive
