review,sentiment_label
Good product in this price range.READ MORE,positive
Good oneREAD MORE,positive
Nice LaptopREAD MORE,positive
Best laptop in this price but it heat ups in 2-3 hours of useREAD MORE,positive
GoodREAD MORE,positive
GoodREAD MORE,positive
GoodREAD MORE,positive
"The laptop is superb. Its design is also good. Coming to performance, it has Ryzen 3 processor which is quite fast comoared to intel i3 core and at light usage its clock speed is 2.3hz. It has anti-glare display and has only SSD slot. 2x8 GB RAM slots available. it comes with 8GB ram wnd can be expandable upto 16 GB. Overall performance is good. Battery backup is also good. It Also has Graphics card so that you can play games upto GTA 3 ( I tried it). YOU NEED TO PLUG AND PLAY ANY GAMES. Y...READ MORE",positive
I'm using it since 10 march 2022 at that time it was great running smooth but after sometimes I started facing an issue with it is it's touchpad not working properly. I have updated driver but conclusion was nothing. It was my worst decision to buy this laptop.READ MORE,negative
Nice laptop 💻Wonderful laptop💻READ MORE,positive
Best Laptop💻 in this Price RangeREAD MORE,positive
Good laptopREAD MORE,positive
"Good product at this price range, for study purpose go for it.READ MORE",positive
Smooth Performance And Value for money ProductWell Done flipkartREAD MORE,positive
Best laptop this range 31484READ MORE,positive
Very niceREAD MORE,positive
"Exhaust fan directly blows into screen, worst designed LaptopREAD MORE",negative
Touch is not working properlyREAD MORE,negative
OkREAD MORE,positive
Heating issue'sREAD MORE,positive
As per expectionsREAD MORE,positive
Here Ms Office is for temporary use. Not permanentREAD MORE,negative
Best Laptop For Development & BussinessREAD MORE,positive
Good according to priceREAD MORE,positive
Very goodREAD MORE,positive
"i got this at price RS.32000performance: Satisfied (i have used it for educational purpose i.e. python, r , excel, etc)battery backup: Satisfied(its take 2 hr to get fully charged, after get fully charged, if you use it for only reading purpose i.e. without wifi connection you can continuously use it for 6 hr. if you used with wifi and all other background apps running it will work for 4.5 to 5 hr. in my opinion battery backup is too good)Heating Issue : Normal ( Little bit heating issue b...READ MORE",positive
Very good laptopREAD MORE,positive
It's okREAD MORE,positive
Wonderful 💋READ MORE,positive
Nice design 👌READ MORE,positive
Good..READ MORE,positive
Gud productREAD MORE,positive
Don't buy it. Wastage of money. Dell has a problem of heating issue which can't be solved.READ MORE,negative
Battery backup is badREAD MORE,negative
Sounds is coming when flipping up the screenREAD MORE,negative
Not goodREAD MORE,negative
NiceREAD MORE,positive
"Its hinge is very bad, it breaks again and again.READ MORE",negative
Very bad performance and not for value money do not perches ryzen processor perches only Intel processorREAD MORE,negative
After 6 months the touch pad is not working.. worst product don't encourage this kind of products in Flipkart.READ MORE,negative
Great laptop 💻READ MORE,positive
Don't waste your money. It is heating every 5 mins after using? I think it's a refreshment prodect.READ MORE,negative
Product is good and valuable for money.READ MORE,positive
DisappointedREAD MORE,negative
Thank you FlipkartREAD MORE,positive
NiceREAD MORE,positive
Battery shud be improved....otherwise within an hour.....battery wd become zero percent.....heating issues to be taken care immediatelyREAD MORE,negative
"Many people were saying it is bad also a youtuber said you will regret it but no this is a pretty decent laptop at this rate so, absolutely buy it!READ MORE",positive
Nice 👍Buy nowREAD MORE,positive
U need to try it... It's amazing in this prize range... Don't go on fake reviewsREAD MORE,positive
Laptop is overall good..Would suggest  do not opt for installation When you turn on the laptop  automatically everything will be done.. you just need to fillup detailsREAD MORE,positive
NiceREAD MORE,positive
Very nice product love it thanks to flipkartREAD MORE,positive
Value for moneyREAD MORE,positive
BestREAD MORE,positive
Good laptop at this budgetREAD MORE,positive
Nice laptop under this priceREAD MORE,positive
Nice laptop but battery condition is  so poor although it is best laptop under baughtREAD MORE,negative
Amazing laptop go for itREAD MORE,positive
lovely producyREAD MORE,positive
