review,sentiment_label
Awesome CameraREAD MORE,positive
Camera quality is just fabulous. Interface is very smooth.  Good for photography and videography.READ MORE,positive
SuperREAD MORE,positive
AwesomeREAD MORE,positive
Best iPhone till date 💕READ MORE,positive
Amazing phone  In love with this phoneREAD MORE,positive
Performance is soooo fastEspecially faceid detection is awesome even in darkNo need to carry an dslr .this is more than enough attaching puc taken by thisREAD MORE,positive
"display is good , processor is awesomeREAD MORE",positive
Go for itREAD MORE,positive
I am very happy with I phone 12Very Nice Product Thanku FlipkartREAD MORE,positive
Awesome camera quality…just love itREAD MORE,positive
"Everything is great except the battery life, camera is awesomeREAD MORE",positive
"Excellent camera , good performance,average batteryREAD MORE",positive
Nice phone with good build qualityExcellent CameraREAD MORE,positive
GoodREAD MORE,positive
Great cameraREAD MORE,positive
Nice camera 📸READ MORE,positive
Nice phone 😍READ MORE,positive
This is the value for money phone. For Flipkart:On time delieveryAlways best serviceFeedback call received after 5 daysApple:One word: SuperbPicture Quality UltimateREAD MORE,positive
ClassicREAD MORE,positive
ExcellentREAD MORE,positive
Just go for itI purchased 128 gb purple colour The phone is beastREAD MORE,positive
"Wow superb camera phone Very smooth speed and no lag , iphone is the king always Its a beautiful productREAD MORE",positive
The brand is very trustworthy and i got genuine pice at a very low cost.I ordered the green one and trust me the colour was amazing.All the colours but specifically green and purple are nice for look.Thanks to flipkart❤️READ MORE,positive
Awesome phone … value for money.. Happy with battery life.. Awesome camera features… look at the images snapped using the phone… easy to use.. Just feared about getting scratch at back glass… but using cover helped it…READ MORE,positive
GoodREAD MORE,positive
This z my frst iphone n … outstanding phone …must buy.😍😍😍😍😍READ MORE,positive
Love it.READ MORE,positive
Upgraded from iPhone 7 plus after using for more then 3yrs. Excellent built & box design looks great. Night mode clicks look fabulous.READ MORE,positive
NiceREAD MORE,positive
"Excellent product worth for every penny, writing this review after using 7 days, earlier was using iPhone 6Plus now on iPhone 12 😍, faster then anything this else.Excellent Picture quality.Just loved it.!!READ MORE",positive
"Top class performance  and battery backup too. Charges quickly if u are using a 20w charger. Night mode is good , HDR mode works flawlessly. VFM phone.READ MORE",positive
Excellent.. Product ❤READ MORE,positive
"Guys ,this is just Beast at Every Aspect of Configurations, Full Pack with What You want, Like Best Camera , Best Display, Best Battery for whole Day Use, And Everyone know About Processing Speed👌..READ MORE",positive
Excellent camera and awesome performanceREAD MORE,positive
Don't think too much.. Just go for it.. If you are a clicker then you are gonna love it.. Display sound features are as usually excellent..READ MORE,positive
Just love it …..😍😍😍READ MORE,positive
Best performance iPhone!! Loving it ❤️READ MORE,positive
