review,sentiment_label
Loved the compact size. Good old daysREAD MORE,positive
Awesome cameraREAD MORE,positive
Loved it! This is a power packed small beauty. The camera is at par. The cinematic mode is surreal. God! I love it. The build quality is superb as always is for all Apple devices. Super lovely and amazing! Gifted this to my mother!!! She is loving it✌🏻READ MORE,positive
Best ever Mini phone in History.. Go for it..  battery was top notchREAD MORE,positive
"If u want a compact phone, go for it!Battery is fine with a day’s juice. P.S - Protect your mini with a good cover 🧿READ MORE",positive
"Comfortable, Compact, Powerful.Photos look excellent in vivid. Portraits are awesome. Battery will last around one day with minimal use. Sound quality of the speakers is superb. Dual speakers is actually nice. Switched from android to this phone. This is so smooth to use.I don't think i'll be going back to android.READ MORE",positive
Its a jewel for the price paid !! Moved from 8plus and really happy with the transition.READ MORE,positive
If you like small phone then you can go for it with your eyes closed. I have upgraded from 12 mini Both the phones are same but the experience of running 13 Mini is different.  It gives premium feel. Battery backup is also good. The phone is very good. Performance is #1 😍😍READ MORE,positive
Best product....READ MORE,positive
Soooo fast 😀 good phone image quality better nice colour and very tinyREAD MORE,positive
NiceREAD MORE,positive
"If you love compact phones, just go for this.Amazing camera.Battery life is very good.Design is awesome. Feel very good in hand.Performance is amazing.READ MORE",positive
Compact and sweet 😍READ MORE,positive
"Really geniun product , design,bettety backup & performance is too much awesome . M happy to buy this phoneREAD MORE",positive
HandyREAD MORE,positive
Good phoneREAD MORE,positive
Looking fabulousREAD MORE,positive
BET OF BESTREAD MORE,positive
Best in class. If looking for a handy and small size phone it's the best phone for you to look for. If you're using a big size phone then at first this phone might not feel good to you but after some days you'll get used to it. Don't worry it's worth it. Prefer to buy in saleREAD MORE,positive
"All rounder. I wouldn’t suggest it for gaming but for a tech savvy ‘minimalist’ this phone is too good. Excellent camera, too handy and a descent battery that can last for a whole day.Having an iPad mini too helps for all other activities and I’m happy to be in the Apple mini ecosystem so far! Thanks to the seller for delivering way earlier than expected!READ MORE",positive
Loved it better than12READ MORE,positive
Never been this happy in my entire life. Jezzz made my best decision ever to bought this. ❤️🎉READ MORE,positive
"Very compact, light weight and the best part is camera which gives the exact quality like pro versionREAD MORE",positive
The best part is the size and the right grip for a phoneREAD MORE,positive
"If you want a compact, easy-to-hold-and-use phone that doesn't compromise on performance at all (while giving you all-day battery life) - this is it. Couldn't be happier with my upgrade from the iPhone SE. I recommend using only up to 15W chargers if you want to avoid the phone becoming unusually warm when plugged in. Charge times are still excellent if you want to slip in a quick charge for 20-30 minutes. It should give you enough battery life for half a day.READ MORE",positive
