review,sentiment_label
Nice phone with great camera. My 1st iPhone and I m loving itREAD MORE,positive
"SUPERBGo for it guys without hesitation, great in hand feel ,, superb camera , awesome battery backup , Starlight Colour looks premium, 6.7 inch crisp display, Camera 5/5 performance 5/5 Very happy to have apple 14 plus,Thanks flipcart for genuine product delivered on timeREAD MORE",positive
Awesome camera qualityREAD MORE,positive
Super phone . camera is super😍READ MORE,positive
Just wow I cannot express my feelings ❤️😍READ MORE,positive
"Its good phone, value for the money.READ MORE",positive
"Superb.... must purchase ! first time switched from android but not feel such an issue working fine as all options avilable here ,Camera is best and Battary is huge.READ MORE",positive
Great PerformanceCamera better than iPhone 13Battery backup also goodIphone 14 plus is just awesome.READ MORE,positive
I love the pictures and the night mode was awesome.... Mind-blowing product..READ MORE,positive
Amazing ☺️ thank you flipkartREAD MORE,positive
I think the iPhone 14 Plus is the king of Battery Life.  iPhone 14 Plus Camera is also very good. All rounder iPhone in every department..READ MORE,positive
Good quality and sarvice amezing phoneREAD MORE,positive
Switched from andro to i phone... 😅.  Phone color is not that too much dark purple but looks good. In love with big screen.😍😍😍😍 .  I bought a feeling not a phone.READ MORE,negative
Camera is really good and battery performance also too good. Now apple has inbuilt photo edit options which is really nice to make your photos much better one.READ MORE,positive
I like it very much 🤩🤩🤩🤩🤩READ MORE,positive
No regrets Got This For 75K Camera is no doubt very good but you will definitely miss the telephoto lens for zoomin portraits shotsBattery is no doubt better than all other iphone Performance is goodREAD MORE,negative
The picture quality is good I purchased this i14+ for camera usesREAD MORE,positive
This is a power packed product considering the price. It comes with 33% more battery and 0.7 inches larger display than the base model. Camera is superb in terms of video recording(cinematic mode and normal mode of 4K format). It feels like iphone 14 pro max in hands from the front. A revolutionary product.READ MORE,positive
Phone is beautifulREAD MORE,positive
Value for moneyREAD MORE,positive
Camara 😍Amazing phone Never disappointed youLove iphone 14 plus (blue colour 128gb)With the blue colour the device was lit 😍READ MORE,positive
Best quality and battery backup is too goodREAD MORE,positive
Excellent iPhone 14 plus❤️👌READ MORE,positive
Simply awesome product. Sound quality is very good .READ MORE,positive
Very good productREAD MORE,positive
Best mobile ..Battery performance also goodREAD MORE,positive
"Great Phone at this price range, 60hz refresh rate feels smooth, great camera,big screen, good battery backup and superb for gaming. What else can anyone ask for. Highly Recommended 😍.READ MORE",positive
"Thank you Flipkart, for excellent service. I received it sooner than i Expected. Open box policy before accepting the product is excellent. I received a genuine Apple product.READ MORE",positive
Writing this review after using for 2 days.Camera 5/5 - Slightly better than iPhone 13Display 5/5 - Huge n smooth display🤩 Looks like iPhone 13 pro max from frontBattery 4/5Performance 5/5Overall loved the phone. It's totally worth it🤍READ MORE,positive
The mobile is lighter than the iphone 13. The big screen looks good and display is crunch. I charged the mobile 100% and still 30% of battery life is left after moderate use of 1 n half day.I ordered blue colour and its look very subtle and cool. Just loved it.READ MORE,positive
Very goodREAD MORE,positive
SuperbREAD MORE,positive
Ossm product delivery and costomer survice is good❤️thank you Flipkart before I thought thet the product I 'll get  original or not and return policy is also changed on Flipkart but now I get original product and don't face any issues with delivery related so I recommend to all of you guys...READ MORE,positive
"Switched from Android to ios and in first empression. It's flagship in terms of looks,premiumness, sound,display and Big battery. Loved itREAD MORE",positive
It is best in everything camera 5/5 display 4/5battery 5/5performance 5/5READ MORE,positive
"Simply awesome!Iphone 13 was already good enough, but 14 offers even more improvement in every way. biggest noticeable thing is the display, it's crisp and smooth and colours are vivid.And think everyone knows about quality of photos from iPhones!, Iphone 14 offerd best ever camera photo quality yet on iphones.very happy with the purchase!READ MORE",positive
GreatREAD MORE,positive
Amazing Product.READ MORE,positive
"Good product with good battery backup, overall good qualityREAD MORE",positive
"Wonderful phone, first time switching from android to iPhone, so far so good, a worth deal with exchange of 2.5 years used Oppo f15 and handy discount with HDFC credit card.READ MORE",positive
Awesome phone battery back up is very excellent.READ MORE,positive
Camera is awesome performance is superb Battery is fabulous Look is being Overall itself hot love itREAD MORE,positive
Amazing Beast Battery is very powerful you can use it full day in single charge just go for it camera quality is super powerful and works very smoothREAD MORE,positive
Camera quality is awesome .Good and worthy phone.Display is 6.7 inch and battery backup is very good easily comes for 2 days without charging.60 hz refresh rate it doesn't affect much   .READ MORE,positive
Design is awesome.READ MORE,positive
Just okayREAD MORE,negative
"The iPhone 14 Plus is without a doubt the most amazing phone I've ever had the pleasure of using. From the moment I first held it in my hand, I could tell that it was a truly special device. The build quality is exceptional, with a solid feel that leaves no doubt in your mind that you're holding a premium product.One of the first things that struck me about the iPhone 14 Plus was the screen. It's absolutely gorgeous, with bright colors and stunning detail that make everything from movies to...READ MORE",positive
"JUST WOW , BATTERY 🔋 ISS BESTREAD MORE",positive
Phone is ok. Sometimes back buton does not work and slight lag. Fot this cost we have better phones.As usual Flipkart exchange is a scam. I exchanged my oneplus 8 pro which was in pristine condition. It was promised for 20 k and thr exchange team tricked getting 4k from me . This is a big scam. Better to buy directly.READ MORE,negative
Performance is very NYCREAD MORE,positive
Very good product 👌 👍🏻 👏 And super performance 👏READ MORE,positive
Feels amazing to use it switching from android to ios a totally new interface but the processor is top notch battery is long lasting display is amazing and sound too. Camera of the phone is just next level with the clarity and specially the videography is cinematic mode is just mind blowing. Really impressed with iphone 14 plusREAD MORE,positive
"Excellent look, Superb Camera, Amazing battery backupREAD MORE",positive
Wow 🥰🤩READ MORE,positive
"Best mobile,best cameraREAD MORE",positive
Awesomeness Awesome camera Awesome battery lifeLittle bit slow some timeREAD MORE,positive
The bestREAD MORE,positive
Everything perfect with this smartphoneREAD MORE,positive
