review,sentiment_label
Camera Awesome and overall mobile look is CoolREAD MORE,positive
Just WOW!! Best in all segment!!READ MORE,positive
Awesome 😎🍫🥰READ MORE,positive
CAMERA IS SUPERBREAD MORE,positive
Superb performance and well.READ MORE,positive
Best ❤️🔥🔥READ MORE,positive
Just Awesome Best phone forever and Good Gaming Experience and Battery life .Specially Camera superb ❤️❤️❤️READ MORE,positive
Awesome iPhone with best camera quality 48 megapixel is 👌READ MORE,positive
Excellent product awesome camera super fastREAD MORE,positive
My first iPhone.. And full satisfied..READ MORE,positive
"Upgraded from XR to 14 pro, amazing phone with advanced features limited to just pro models, stock availability is too low. Got mine by luck!If youre upgrading from iPhone 11 /11 pro  and below you'll love the updateREAD MORE",positive
Awesome. Just loving it.READ MORE,positive
Mind blowing performance.READ MORE,positive
More than expected! Battery backup has exceptionally increased ⚡️Absolutely over priced but worth it🔥READ MORE,positive
"Earlier I had plan to go with S23+ but buying a iphone is a personal preference, i hve gone through lots of reviews and i came to the conclusion that as a IT person I/we look for smother and faster performance so iphone is significantly better than android. I would rate s23+ 10/10 and even iphone 14 pro 10/10 as the only difference i could see is the os.READ MORE",positive
Only buy if you want to show off nothing else in this phoneREAD MORE,positive
Fantastic product even though it's just an iterative upgrade to iphone 13 pro. The deep purple looks purple when the light hits the phone a certain way and it's beautiful. Dynamic island is very practical and useful. Hopefully it will get better when 3rd party developers start making use of it.Flipkart's delivery was quick and hassle free. The order was delivered on the launch date and was packed well.READ MORE,positive
10 years of androids user.Last phone was k20 pro Coming android to iPhone its a learning curve in software department.Camera is goodDisplay is awesomeBattery is goodDesign n feel is superb.READ MORE,positive
Fantastic picture qualityREAD MORE,positive
It is truly amazing IPhone☺️READ MORE,positive
Super excellentREAD MORE,positive
SuperREAD MORE,positive
Best hand experience but battery could be more mhREAD MORE,positive
My first iPhone. Loved it !!READ MORE,positive
Touch and camera is unbelievable. other things are ok. Not felt so much difference from other iPhones.Drains battery very fast.READ MORE,negative
I'm glad tat i hav purchased its totally worthy .READ MORE,positive
Nice phoneREAD MORE,positive
Fast delivery and great performanceREAD MORE,positive
Amazing fast delivery. Best delivery experience with complete and satisfied device check upon delivery.READ MORE,positive
Nice and beautiful phoneREAD MORE,positive
Camera RAW quality is outstanding. Superb quality. And the pro motion display is so smooth. Loved it.READ MORE,positive
A Real ProREAD MORE,positive
GoodREAD MORE,positive
Voice clarity is a problemREAD MORE,negative
Great and real product. Absolutely trustworthy seller with the best price drop available in the market.READ MORE,positive
"Everything as expected, am lovin this beast. Happy customer!READ MORE",positive
Quite heavy from other I phone seriesREAD MORE,negative
Superb phone 👍🏼READ MORE,positive
Super phone. Best price when I bought. Super experience with amazing camera.READ MORE,positive
Apple Is LoveREAD MORE,positive
NiceREAD MORE,positive
It does what it should.READ MORE,positive
GoodREAD MORE,positive
HappyREAD MORE,positive
GoodREAD MORE,positive
