review,sentiment_label
Awesome powerful RAM in 1gb variant an other phone....!!!!!!    ..so power fullREAD MORE,positive
"As always.. iPhone is iPhone..Using about 1year and more..It is 4g- only internet can be used, no volte ( cannot able to call)Moderate battery lifeGood camera quality both front and rearNothing to tell something new.. it's a iPhone so u obviously have very limited apps, no storage capacity only 8gb will be available in 16gb model but that 8gb also will get disappeared no one knows how and why.. once it got broken Ur mobile u have to sell some of Ur property and u can resolve it with A...READ MORE",negative
"Using since 15 days, after a heavy usage heating problem has solved.During charging it heats up ⬆ between 39-42Its manufacturing date is April 2016Thats y its running ? at its best.READ MORE",negative
Apple Rocks!!! And iPhone 5s has proven this fact once again!!!!Amazingly Fast...Touch ID gr8...Fantastic Display...Superb touch...Good Camera...The Gold looks gr8...Just download gr8 apps and keep rocking...Add some Midas touch to ur lives... Get one 2day... Thanks...READ MORE,positive
Well the iPhone 5S is here ! its the best iPhone today ! but is it up to the mark ? Well Yes ! Short Review :-Build quality !The iPhone 5S comes with the same look and feel as the last years iPhone . The screen is the same Although there is a fingerprint scanner in the front now ! also knows as touch ID !Camera:- The camera has been bumped Amazingly ! Although 8mp like the last year ! the iPhone 5s now has a larger sensor and aperture tat it captures stunning pictures ! And the dual co...READ MORE,positive
The product turned out to have EXTREMELY/ABYSMALLY low battery life. I have to charge the same at leat three times a day and have to constantly carry a power pack with me.READ MORE,negative
Excellent product:)Product packing is superb & it has been delivered before estimated date.I-phone is authenticated which is crossed checked with IPhone web service support.READ MORE,positive
I am first time user on iOS. Using this phone from past 3 weeks and happy with the product.No heating issuesPerformance is very goodBatter backup is excellent for normal usageSo far very much satisfied. I would have given 5 star rating but would like to wait for further usage of the product and its features.READ MORE,positive
the phone  was totally awesome.... thanks for the wonderful deal... got it at 12K after all the exchange and cashback.  even got gift card because the seller decreased the price it was a awesome experience. ..received the phone in 1 day with brand  u...i suggest this seller....READ MORE,positive
"Hi Guys,Using Flipkar Since 6 Year but never ordered anything for more than 1000 as had a mentality that we should not buy online bla blaNow First of All.EKart Courier - Awesome Speed - Ordered on a Friday Afternoon Received on Monday Morning with Excellent PackagingPhoneWill not comment on its working as its just 12 hrs am using it. But the piece nothing can get better than this one. Its smooth fast cool awesome sound clarity i think i will be out of words.Will surely comment on the...READ MORE",positive
"Whether you're tech-savvy or not, you'll need to learn how to use this once and you're set. It's that easy to get used to!The best phone money can buy!Superb camera, great music clarity, great multitasking, sharp screen, good battery life, the best and most secure App and iTunes store in thew world.If you're willing to use this phone the way its meant to be, you won't ever need another brand!READ MORE",positive
Weak battery performanceREAD MORE,negative
