review,sentiment_label
Unbelievable photography with iphone 6s plus...It’s camera totally amazed me...READ MORE,positive
I got today Awesome phone Im loving itREAD MORE,positive
awesome phoneREAD MORE,positive
Awesome MobileREAD MORE,positive
good  productsREAD MORE,positive
Camera is goodREAD MORE,positive
All good..but battery backup is not satisfyingREAD MORE,negative
Feeling great. A big thumbs up to the design & the performance. Always surprised about flipkart fastest delivery. Thank you flipkart for this nice product.READ MORE,positive
Using phone for 2days.Iam a new iPhone user.Genuineness 5/5Delivery date 5/5 (delivered earlier)Packing 2.5/5 (could be better)Cost 5/5 (can't expect a better deal)A good experience in Flipkart!!READ MORE,positive
"Fantastic IPhone, highly recommend ☺READ MORE",positive
The mobile was excellent  condition nicely pack. Everything  was up to the mark. Thanks Flipkart  .READ MORE,positive
it was great experience with apple.. camera quality and battery backup is awesome.. and price is very nice in this range 6s plus is the best phone i think.READ MORE,positive
excellent mobile..I like very much..100% orginalREAD MORE,positive
Awesome yaar. super.READ MORE,positive
Happy with the productREAD MORE,positive
Soooo good mobile phoneREAD MORE,positive
iPhone is magic as usual as.READ MORE,positive
"battery life superb,camera quality excellentREAD MORE",positive
goodREAD MORE,positive
amazingREAD MORE,positive
Delivery fast.worst packaging. Genuine product... Checked at Apple uthorised store. 4.0 RATING.FLIPKART TNX...READ MORE,negative
superREAD MORE,positive
"superb, just luving it, thanks flipkart 😍😍😍READ MORE",positive
Good productREAD MORE,positive
I trust FlipkartREAD MORE,positive
awesomeREAD MORE,positive
"I totally appreciate Flipkart's service, I got phone which is having manufacturer defect and Flipkart accepted for refund after verifying, fast in service and reliable.READ MORE",positive
"With  this product, I found  that they  are  not selling The  most they  are selling The bestREAD MORE",negative
"Nice Phone. Battery life is good, camera is good. touch is super and true tone display is nice as compare to vivo or other phone.  pubg game play nice and graphics are clear.  battery drains faster when play games than Ipad pro. Take 3 hour approximately to full charge the phone. Powerfull processor. Image stabilizer is good. (After 6 Month usage ) I notice that 32Gb memory is not enough for daily tasks. Buy 64 or more gb varient. You can edit 4k video in your phone. Video clearity is Good i...READ MORE",positive
original & good productREAD MORE,positive
"Phone ll b awesm....Bt before going to purchase.... Think twice....Bcoz  u r not an idiot..Do u think an iphone makes u rich?!!!!We hav lot of smartphone with almost same feature..,.try those....nd do ur needs.If u hav lot of money....care som people... Spend in nic way.....READ MORE",negative
"Excellent phone and received it in perfect condition before delivery date.. Satisfied with the product, seller and Flipkart's delivery service. PROS:Excellent display in 1080p resolution which makes pictures, videos appear crystal clear. Playing 1080p and 4K videos is a great fun on iPhone 6S plus. Great camera.. I liked its Panorama pictures, 1080p 30fps/60fps and 4K 30fps videos the most. Good battery backup.. 2750mAh battery managed to run the phone for 5-6 days with normal usage on ...READ MORE",positive
gogogogo go fr it. perfect device. flipkart is just awesome the master of all online portal other's are slave. good job flipkart team.little loose in camera quality as compared to other devices in this price range.READ MORE,positive
Brand!!!!!!! 😎READ MORE,positive
good productREAD MORE,positive
AverageREAD MORE,negative
GoodREAD MORE,positive
"This is my first iPhone and after 1 year I can say that it was really a wise decision to buy it. Performance is excellent because it never hangs. Also, the battery life after using it for 1 year is still 70%. The large display allows me to watch movies on Netflix and Amazon Prime and also do mailing and other small office stuff easily.  A recommended pone from my side.READ MORE",positive
The phone is really good. Just the 16 gb variant is not recommended. The phone gets a lot of scratches on the back. So keep a back cover always.READ MORE,negative
"I can’t believe in the name of big billion day Flipkart is here to fool the customers. Apple is a big name I it’s very difficult to believe they will manufacture a defective product. It’s not even 2 days since the product is delivered to me and my iPhone 6s Plus is started giving problems. Voice is not coming of the front person. Guess or rather I believe flipkart has fooled us by delivering a fake product with such a heavy discount, I can say this because my colleague who orders iPhone 6s an...READ MORE",negative
Phone is extremely fast without any glitches. But it’s camera is average as compared to my previous MI5READ MORE,positive
"Perfect screen size, secure OS & seamless performance.READ MORE",positive
Excellent product!!!READ MORE,positive
"Nothing can beat an iPhone!! pros:- superb performance, - premium looks, - excellent built quality, - full HD bright display, - zero lag,- improved battery life lasting more than a day, cons:- heavy to hold - slippery Rose gold color looks awesome!! not too pink just a hint of pink in copper base, smooth finish gives a very premium look...loving every bit of it!! sheer awesomeness!!! And people stop bashing the phone just because of the price..its a niche product and no one is ...READ MORE",positive
niceREAD MORE,positive
Very nice phoneAll clearREAD MORE,positive
Product is so good no doubt about that but battery backup is not so long specially when I am in outing..READ MORE,positive
Camera is great Processor works fantasticApp Store is goodAll the go...a good buy for a fan of APPLEREAD MORE,positive
Its my first iPhone.i used it since last three months.obviously its a best phone in the world.READ MORE,positive
good product from flipkart. going to buy it from apple Authorize store. store price is 45000. got it from flipkart only on 39000. original product good packaging also timely deliver. cons of this product which is i found little bit heating issue if i using mobile data.READ MORE,positive
good org product .&fast delivery ...by ekartREAD MORE,positive
Very good experience to buy from flipcart as alwaysREAD MORE,positive
My 1st Iphone and extremely dissappointed.READ MORE,negative
"very fast delivery, not cute as 6s , but benefit is battery nd screen size,READ MORE",positive
1st open i love this phone.  After 1 month use no battery issue looking very Good light weight find front camera Given average photographyback camera is oSmREAD MORE,positive
front camera ia not but al wellREAD MORE,negative
"it's ultimate product 1 year of usage perfect mobile for phone lovers.iPhone is breast of this ERA, U must buy this one.but USA stopped manufacturing of this product now it's OUT OF STOCK.READ MORE",positive
excellent mobile...i love very much 100% orginal ..tq so much  flipkart....nice moREAD MORE,positive
"amazing phone. but the cost does not justify it. the same unit is available for 650$ in the us. and for india, the price shoots up to 1080$. and this is just for the base model. no matter how u justify it, still not worth it. :-DREAD MORE",negative
awesome as alwaysREAD MORE,positive
"Excellent product (no need to say, its accepted world wide)Box does not contain an unique tool -> SIM-ejector tool - a pin, so we need to rush to a mobile shop and need to purchase it. It is so embarrassing not having a sim ejector pin in box and we need to purchase it for iPhone???????READ MORE",negative
Nice oneREAD MORE,positive
"Satisfied fully with this phone, Flipkart amazing service, packing is too good. Delivery boy also so humble and real time delivery.READ MORE",positive
I got a damaged piece of IPhone 6 s plus. The mike has a problem. I just received it on 9 the April 2018. Now there is no help from Flipkart. I am advised to take it to d Apple service centre. Its  a new phone. if they have sent a damaged piece they should replace it. I really would not suggest any of u to order anything from Flipkart.READ MORE,negative
The product was excellent packed and got the delivery a day prior too Alhamduillah.I was bit worried by seeing the negative review. But I'm totally satisfied by the sellers. I request the seller to maintain the same quality... Or increase it. Satisfied by the seller. Thank youREAD MORE,positive
My first iPhone experience.  Great phoneREAD MORE,positive
I bought iPhone today and it does not even start.. such a bad experience.. it's not allowing me to return the product too..READ MORE,negative
niceREAD MORE,positive
Give me free iPhone 6s plus flip kartREAD MORE,negative
Best price best product at 32998 thanks  to Flipkart for best price & best serviceREAD MORE,positive
nice phone ..I love itREAD MORE,positive
Battery is too poorREAD MORE,negative
"you are rich ?You want to brag about your status...?Go for it, these things are only for you... XDREAD MORE",negative
Good product no issues....🤗😍READ MORE,positive
IPHONE 6S PLUS IS A VERY GOOD PRODUCT YOU MUST BUY!!!!READ MORE,positive
Too goodREAD MORE,positive
"Excellent phone & 100% original......I love it😍, highly recommendedREAD MORE",positive
Loved itREAD MORE,positive
It's amazingFantastic superrrbbbREAD MORE,positive
Good phone love to buy it 6s high price bt think so good :-) love to buy itREAD MORE,positive
"Delivered two days before promised,100 % genuine product,this is the second phone i am buying from flipkart very happy both times,I have purchased items from many other online sites but flipkart is above them all whenever I buy anything online my first preference will always be flipkart.READ MORE",positive
"This is my first iphone, it's amazing the largest display, me to watching movies salman khan❤ also the battery life 6 hours, thanks Flipkart 🙏READ MORE",positive
"Good phone, best camera।। but battery life is poorREAD MORE",negative
"APPLE IS APPLE. Display, battery backup, picture quality everything deserves full marks. Only the speaker sound is a bit low but sound clarity is alright far better than Galaxy S8.READ MORE",positive
No worthREAD MORE,negative
A good product from apple but need to decrease the priceREAD MORE,positive
very good product.camera is best.performance is supperREAD MORE,positive
best in the price ( Iphone only )READ MORE,positive
"iSight Camera Was Awesome and 3d Live Touch Option Great6S Plus Great Phone No other phones are compared with its Performance Even With Galaxy Note 5, Sony Xperia Z5+ Htc One M9 and Nexus 5X Its Awesome !!!!!!!!!!!!!!!Great!!!!!!!!!!!!!I am Proud To be a Apple Fan and Apple CustomerREAD MORE",positive
Nice phone best quality Thank YouREAD MORE,positive
nice product..READ MORE,positive
awesomeREAD MORE,positive
value for moneyREAD MORE,positive
nice phone ....READ MORE,positive
"I was not a hardcore fan of iPhone. But my last android experience was not so good. I had a descent mid range android (15k-20K) device with latest OS, but I never got that lightning fast response. Sometimes my phone got crashed while receiving extremely important calls. So I was looking for better options. I came across Nexus 6P, extremely gorgeous phone and iPhone6s Plus. It was a tough decision both phones are gorgeous and premium but the price difference was quite less (8-10k). So I gave ...READ MORE",negative
iphone 6s plus in 2019?yes why not.no lagging at all in pubg type huge memory game.and totally satisfied i m using s8 also .highly recommending even in 2019.READ MORE,positive
Nice phone and timely deliveredREAD MORE,positive
Old Hardware but you won't feel it's age as it works smooth and does all tasks better than some of today's phones.Bought this for my mother. Best feature is the display. Large display and excellent quality LCD make it easy & exciting for elder people to view everything especially photos.READ MORE,positive
waste of moneyREAD MORE,negative
in time delivery is very goodREAD MORE,positive
all product is good excellent in useREAD MORE,positive
Aewsome product. thanks FlipkartREAD MORE,positive
Phone is awesome. Delivery was good.overall goodREAD MORE,positive
"An excellent and top notch purchase. Thank you so much flipkart for providing such an offer. Best price buy for 40K. 32GB. Phone 100% original, checked with apple. Prompt delivery as promised.READ MORE",positive
Hanging problem & low calling voice.READ MORE,negative
Worst develivey boy He don't respect to me He Talking is Very Rass is it ok if I can get a chance for you and your company is looking for a few more questions than answers to me as soonREAD MORE,negative
"Excellent phone and received it in perfect condition before delivery date.. Satisfied with the product, seller and Flipkart's delivery service. PROS:Excellent display in 1080p resolution which makes pictures, videos appear crystal clear. Playing 1080p and 4K videos is a great fun on iPhone 6S plus. Great camera.. I liked its Panorama pictures, 1080p 30fps/60fps and 4K 30fps videos the most. Good battery backup.. 2750mAh battery managed to run the phone for 5-6 days with normal usage on ...READ MORE",positive
Nice..nd thanks to Flipkart for fast nd safe deliveryREAD MORE,positive
"Awesome phone, thanks FlipkartREAD MORE",positive
Super iPhoneREAD MORE,positive
Nice productREAD MORE,positive
tq flipkart.... i didnt expected tht ill get Iphone 6s plus in jst 31k .... very usefull n best ever phone but okok with the battery performance...👍READ MORE,positive
Very goodREAD MORE,positive
Stop thinking twice if you're planning to buy and buy this over any Samsung or Sony. It's absolutely worth every penny.Pros:- Closest to Android in features- 3D touch will change the way you use your phone. A great utility for checking emails without opening them among others. Give the app developers some time.- Camera is simply amazing- Amazing battery life- Works like a hot knife on butter (super smooth)..haven't closed a app since I started using it and it shows no signs of sweat..:...READ MORE,positive
As always apple best brandNo heating issue Original packagingAs I had used 7plusNot good as 7plus but being an apple user good product at valuable priceWaiting for 8READ MORE,positive
"Battery is too bad , remaining good performance and nice mobileREAD MORE",negative
"Mfg date is nov 17, and I purchase is July 18.. overall everything is going good. Genuine ph and trustable seller.. thank u.READ MORE",positive
"WOW THIS PHONE IS AWESOME, THANK YOU FLIPKART, I WAS SERCHED MORE MOBILE STORES BUT ONLY ON FLIPKART, I GOT IT.READ MORE",positive
"Excellent buy from Flipkart with great offer on new year!!! Amazing service, just loved it!!!!READ MORE",positive
