review,sentiment_label
Best one in mid sectionREAD MORE,positive
GoodREAD MORE,positive
Very nice product and cemara quality 🤟🤟READ MORE,positive
GoodREAD MORE,positive
Waste of moneyREAD MORE,negative
Camera is low qualityREAD MORE,negative
Nice product and battery 🔋 long time lifeREAD MORE,positive
Thank you FlipkartREAD MORE,positive
NycREAD MORE,positive
I'm happyREAD MORE,positive
nice phone. camera could have been better. rest all is good. no complains.READ MORE,negative
Yery goodREAD MORE,positive
Excellent phoneREAD MORE,positive
Mobile not goodREAD MORE,negative
Bought it for my wife. She loved it. Its worth purchasing and value for money. Battery backup is awsome.READ MORE,positive
1.product same as order.2. fast delivery by Flipkart.3.phone is perfect value for money.READ MORE,positive
"Sorry but phone ,not up to expectations, In that price range will get Mi Phones with better aspectREAD MORE",negative
Camera is okey okey. Performance wise also average.READ MORE,negative
Very GoodREAD MORE,positive
GoodREAD MORE,positive
I am satisfied this phone 👍👍👍❤️❤️READ MORE,positive
Cemra is bedREAD MORE,negative
Wrost of moneyREAD MORE,negative
Good photo with this phoneREAD MORE,positive
Got i ln 3 attempt but Good anyway 👍READ MORE,positive
NiceREAD MORE,positive
OPPO IS BRANDREAD MORE,positive
ExcellentREAD MORE,positive
Nice productREAD MORE,positive
Very good lookingREAD MORE,positive
Good 👍READ MORE,positive
GoodREAD MORE,positive
GoodREAD MORE,positive
Its good but not best. Oppo makes others value for money products.READ MORE,negative
Value for money phone.READ MORE,positive
Very nice mobileREAD MORE,positive
OkREAD MORE,positive
Not goodREAD MORE,negative
NiceREAD MORE,positive
BadREAD MORE,negative
GoodREAD MORE,positive
GoodREAD MORE,positive
"Best phone in the market ,one who is looking for splash proof phone go for it..READ MORE",positive
Thank FlipkartREAD MORE,positive
GoodREAD MORE,positive
Budget mobiles phones but camera quality in average battery life goodREAD MORE,positive
Extremely rubbish mobileREAD MORE,negative
Speekar problemREAD MORE,negative
"Look is good,,, performance is slow.....not good,this price range is verry highREAD MORE",negative
Awesome product in this rangeREAD MORE,positive
GoodREAD MORE,positive
