review,sentiment_label
Awesome phone.. Nice and lightweight  😃READ MORE,positive
Very nice product....READ MORE,positive
Perfect product good qualityREAD MORE,positive
Nice🎖🎖weight lessREAD MORE,positive
NiceREAD MORE,positive
Nice good looking 🥰READ MORE,positive
Super excitedREAD MORE,positive
I am very happy and very nice phoneREAD MORE,positive
Lightweight phone niceREAD MORE,positive
Phone fast charging Very good 👍👍👍READ MORE,positive
Good ...READ MORE,positive
superb smart phone and attractiveliked it so muchbut camera is not too goodREAD MORE,positive
OsmREAD MORE,positive
Very niceREAD MORE,positive
Good camera good performance...READ MORE,positive
Excellent wait less handing easeREAD MORE,positive
Good. Product but expensive.....READ MORE,positive
Pros1. Screen awesome2. Light weight3. Thin4. Fast charging5. Great design6. I found UI similar to my OnePlus UICons1. Battery backup2. Fingerprint sensor3. Phone lags. Probably because my main phone supports 120hz display. Oneplus 8 pro4. Camera is so so. Front and back5. Bluetooth connectivity issues. Will be resolved with update soon hopefully.Verdict is that I love this phone as this is my backup phone. I knew this phone would have flaws. My main priority was an amazing scr...READ MORE,negative
Nice Product but sum problem in batteryREAD MORE,negative
"Very Good Phone in this segment, design & look are too good, leather touch finish at back of the phone & sequre camera look is awesome look. I am very happy with this.READ MORE",positive
"After 7days uses my experience is 1. Camera average , 2. processor good for normal uses, not for gaming 3.one day battery backup in normal uses ,overall average phone by oppo , not value for moneyREAD MORE",negative
SLEEKEST PHONE....CAMERA QUALITY NOT BAD...BUT NT GRTBATTERY BACKUP IS ALSO GUDDECENT GAMING EXPERIENCE...OVERALL BEST STYLISH PHONE & LIGHT WEIGHTREAD MORE,positive
After almost 10 months of usage the display is so good if you are buying to watch YouTube or primevideo Netflix etc then the phone is very goodCamera is good but it has very less stability and zoom capabilitiesPhone started to hang after 3 months itself . Like delay in opening even in built apps like phone contacts and messages.Not this issues are increasingThis phone also heats up like iron box while charging It charges with in 1 hour During the first month's the battery lasted for a d...READ MORE,negative
Really great very nice 👍👍READ MORE,positive
Really very good product and I use and friendlyREAD MORE,positive
Very nice phone slim and sexy phone I love and pub g is good experienceREAD MORE,positive
this is not mobile  Iron box display clarity is awesome. and very slim phone but battery life also not good @10hs onlyREAD MORE,negative
Battery is not goodREAD MORE,negative
NiceREAD MORE,positive
Not so good. Battery is very badREAD MORE,negative
What a phone this phone is a OsamREAD MORE,positive
Bekar cameraREAD MORE,positive
Super slim mobile Same to same apple phoneREAD MORE,negative
Super CameraREAD MORE,positive
Nice productREAD MORE,positive
Mobile is sleek and light weight.i purchased for my father so he is happy but camera is not at all good.Over all is fineREAD MORE,negative
Mobile very.nice...READ MORE,positive
Super slim mobileREAD MORE,negative
Camera Quality Very BadREAD MORE,negative
Nothing good in this phone camera is worst selfie is ok battery is moderate price is very high for this features some times phone is hanging for normal use only satisfaction is buy back guarantee very slim light weight think twice before buying itREAD MORE,negative
"Well Kudos to Flipkart team for One day delivery, they are always up to the mark in this 5 star for that And this is a pretty good smart phone for a mid budget I love the design from the oppo specially the back they they have providedREAD MORE",positive
Nice phone.. Camera also goodREAD MORE,positive
Value for moneyREAD MORE,positive
Loved it 😍READ MORE,positive
"Worst phone, do not buy this,Even you can't return it by having so many reasons,I try many times but always false promissREAD MORE",negative
NiceREAD MORE,positive
Mobile quality not good Camara quality badREAD MORE,negative
Performance not goodREAD MORE,negative
"no pre installed apps, clean UI, great screen, but trash camera. Performance is average. Good lookingREAD MORE",negative
"I am a hardcore fan of Asus Zenfones, but due to non availability, i was searching for various other brands. My only decisive parameters were Light weight under 170gms and a better camera.  Oppo F15 and F17 were my choice under 15K(after discount), being newest. A perfect phone with best display and weightREAD MORE",positive
Battery draining and fast charging good camera not goodREAD MORE,negative
Good product oppo camara lowREAD MORE,positive
"Best for previous generation people who just use their phone for media consumption, browsing, chatting etc.For gaming one can consider poco x3 at this price segment.READ MORE",positive
