review,sentiment_label
"Nice product,camera very goodREAD MORE",positive
Very goodREAD MORE,positive
Overall just wooow yarrr....!🤗READ MORE,negative
1.Camera quality is very good.2. design is very very slik.3.battery back up is good.4.display is fabulous. Very good display & brightness.5.colorOS11 features make it so unique.6. Built quality is good.         I love it❤️READ MORE,positive
So goodREAD MORE,positive
Nice in budgetREAD MORE,positive
All is good Must BuyREAD MORE,positive
Back camera super clartyREAD MORE,positive
Handy and light phone.READ MORE,positive
"Amoled screen awesome, Camera just ok.READ MORE",positive
Amazing ♥️Nyc Camera & Display Value of Money 9/10Performance 10/10READ MORE,positive
One off the best mobile ❤️.READ MORE,positive
Nice mobile in this praiseREAD MORE,positive
Nice phoneREAD MORE,positive
Satisfied 🥰READ MORE,positive
The things I like:Phone looks Premium.Camera is Decent.AI mode is helpful.Portrait mode has many features.Videography Excellent..Support Video Background Blur in both front and rear camera.Google Camera is supported.Memory management is good.Nothing is bad in this mobile but need improvement in camera.Exposure is very high which makes image whitish. OPPO should work on more free  themes. Quality of the free themes are not good..Check the images attached.READ MORE,negative
AmazingREAD MORE,positive
AwesomeREAD MORE,positive
Light weight... Simply to carry... Excellent battery life... Camera 📸 clicks natural beauties... Night also super...📸READ MORE,positive
I'm so happy 😊READ MORE,positive
Very good Phone 🥰READ MORE,positive
The phone is great. Must buyREAD MORE,positive
Just wowREAD MORE,positive
Awesome phoneREAD MORE,positive
GoodREAD MORE,positive
"Phone is good, but price is very higherREAD MORE",positive
Very nice product and camera clarity was too good..I like this mobile thanks oppo f17 pro..READ MORE,positive
Awesome  Worth For MoneyREAD MORE,positive
Good but high rangeREAD MORE,positive
Good.READ MORE,positive
Awesome phone 👍READ MORE,positive
Value for money and nice product thank you FlipkartREAD MORE,positive
Very nice Phone...READ MORE,positive
Nice mobile but battery quality is lowREAD MORE,negative
"Awesome phon..mind blowing camera quality nd features 😍😍😍😍😍 thanks to Flipkart,,READ MORE",positive
"Specially I like Display, Design and weight.. Really feel awesome in hand.. performance also good.. but no for heavy game user.. camera is nice.. overall good phone by OPPO... but little overpriced..READ MORE",positive
The color of the phone is not clear white. It's actually pearl white and it glittered.Speed and performance is just fine.Camera is way too good.Good buy in this budgetREAD MORE,positive
nice productREAD MORE,positive
Good to use....READ MORE,positive
Awesome mobile small size is batter them big phn size ...Mujhe to ekdum mst lgaREAD MORE,positive
Excellent phone displayREAD MORE,positive
A1 picture quality..READ MORE,positive
Picture quality is goodREAD MORE,positive
"One of the best product in mid range smartphone. So don't think so much if you want a smartphone with Great Display, Camera, Processor with sleek body and fast charging. Thank youREAD MORE",positive
Not badREAD MORE,positive
Best mobileREAD MORE,positive
FabulousREAD MORE,positive
Surprised performance ............. Better backup 5 star.......fast charging amazinggggg.....camera futures unbelievable .....overall performance 👏👏👏👏👏👏👏👏👏READ MORE,positive
GoodREAD MORE,positive
"Light weight , Perfect grip,Great camera, Great display , good battery backup everything is perfect in this phoneREAD MORE",positive
Value for money.READ MORE,positive
Super mobile .... But cost is very high....READ MORE,negative
I loved itREAD MORE,positive
Mobile is excellent camera nice battery super fast charging excellent value of moneyREAD MORE,positive
good productREAD MORE,positive
"Camera awesome, battery goodREAD MORE",positive
good phone i like it.READ MORE,positive
Nice phoneREAD MORE,positive
superb phone delivery before the given date headset charger availableREAD MORE,positive
GOODREAD MORE,positive
Mind Blowing....READ MORE,positive
Nice... $ fast deliveryREAD MORE,positive
ExcellentREAD MORE,positive
Osm phoneREAD MORE,negative
Nice camera and fast charging is also superb 🥰🥰🥰🥰🥰🥰And awesome price thanq Flipkart 🎉🎉🎉🎉🎉🎉🎉🥰🥰🥰🥰🥰🥰🥰🥰READ MORE,positive
Phone is very light weight and slim  Camera quality is excellent 😻 well saturated with contrast 🔥🔥READ MORE,positive
Camera is very good both front and back. I switch from Samsung to Oppo because of camera quality and battery.But I am very much unsatisfied with battery lasting. If I do full-charged 100% in morning thn by evening battery become low to 10.I have to do 2 times full- charge in a day.My earlier mobile was much better.READ MORE,negative
Excellent 👌 Product and very Impressive camera 📸READ MORE,positive
Very very light weight. Display very smoothREAD MORE,positive
Very nice product  front camera quality is poorREAD MORE,negative
SuperbREAD MORE,positive
Good product nice camera display is very nice ..READ MORE,negative
When starting for Call recording then notification getting at receiver that call recording has started.Cannot record any calls.I required phone which can record the call without any notification to receiver.READ MORE,negative
Best 👍READ MORE,positive
SuperREAD MORE,positive
"1. Processor is fast for normal use, I don't play games so don't know how it works in heavy use like gaming. 2. I like phone look & design most, it is 1 of the slimmest & lightest phone I come across. 3. Camera quality is good. 4. Battery drain little fast but charger is so strong that it get charge very fast also. In normal use with watching movies and songs battery last for 12 hours approximately. 5. Display is awesome, it's pleasure to watch movies in it and headphone which oppo is giving ...READ MORE",positive
SuperREAD MORE,positive
very good Camera and performanceREAD MORE,positive
"Look really classic, Big display. AwesomeREAD MORE",positive
Phone cameraREAD MORE,positive
Amazing Mobile 4.9/5READ MORE,positive
Cemara quality  is very very nice phone superREAD MORE,positive
GoodREAD MORE,positive
Awesome style and also fanshionREAD MORE,positive
beautiful camera 📸READ MORE,positive
Camera quality is superb😍READ MORE,positive
Awesome.....READ MORE,positive
Awesome phoneREAD MORE,positive
Very nice picture quality and fantastic cammeraREAD MORE,positive
"Camera is very good, performance of the phone is smoothREAD MORE",positive
Awesome phone thank you OppoREAD MORE,positive
GoodREAD MORE,positive
Thanks Flipkart Very Fast DeliveryREAD MORE,positive
I buy this phone in 14700 rs to exchange my old phone.but i feel Like thugged by oppo..it's ok ok phone front or back camera is average. battery is worst.bult quality is not premiumREAD MORE,negative
Camera is good back and front.. and very very important no heting issue.. 100 precent. Almost mobile good.. very goodREAD MORE,positive
Camera quality not goodREAD MORE,negative
Phone is awesome and battery back also🥰🥰🥰🥰READ MORE,positive
Superb phone under this price range. oppo was my fv all time.. by looks this phone is good & stylish..fingerprint sensor is bit slow working.. bt over all its a good phone.READ MORE,positive
Just aswm phREAD MORE,positive
"Nice pic ,nice battery ,fast charging , Nd fast processorREAD MORE",positive
Nice beautfulREAD MORE,positive
Cemera quality is so good and smooth workingREAD MORE,positive
Here i am attaching some of the pics clicking by this phone camera  well i really like the phone design and battery charging time.READ MORE,positive
Very slim phone camera is very goodREAD MORE,positive
You go for it.worth for money..performance good camera good display good and phone weight is light ..when phone in your hand you feel very light and comfortable👍READ MORE,positive
The best in the category. Sleekest and lightest.READ MORE,positive
"Good look design, best quality of camera , very smooth running on the display any operation I think better product for the normal budget person and also very slim phone I suggested you.you can buy now if you I want a better phoneREAD MORE",positive
"Nice phone,value for money, camera good quality.READ MORE",positive
GoodREAD MORE,positive
The best phone I HV ever get Battery backup is not soo perfect but still good Good phone and good camera qualityREAD MORE,positive
AwsmREAD MORE,positive
Awesome Mobile Phone..❣️Camera Quality Great...Battery Backup Full Day Continues Use..All Function's Are New Features...Best Features PhoneREAD MORE,positive
Awesome product.. Almoed display awesomeCamera clarity awesome. Operating system awesomeBattery back up only one day in full usage. No issues after one month usage. 😍🤩🥰READ MORE,positive
Nice phone👍READ MORE,positive
Osm picture click and osm Phone 📱 I love itREAD MORE,positive
good delivery MobileREAD MORE,positive
Decent camera phone.. Slim design.. Handy phone.. Love it.. Looks awesome.. Battery backup is good.. Don't worry about battery size.. Go for it..READ MORE,positive
Super mobileREAD MORE,positive
AwesomeREAD MORE,positive
This is good mobileREAD MORE,positive
"Display very nice , light weight , sound quality good .But I'm very disappointed with battery life it's very horrible , heating issue is also there.. Camera quality is not bad but below expectations ,performance wise also not satisfied.. Better go with vivo v20 or Mi 10i at this price range.READ MORE",negative
Good so good product I am happy thank you oppo brandREAD MORE,positive
ManagableREAD MORE,positive
"Very nice phone. Stylish, light weight..READ MORE",positive
Very good product by oppo thanksREAD MORE,positive
Best mobileREAD MORE,positive
Best phoneREAD MORE,positive
"Good performance phone . Camera quality is very good ,READ MORE",positive
"Don't buy, Big problem in Call recording time.READ MORE",negative
Display is very good and cameraREAD MORE,positive
ExilentREAD MORE,negative
Very nice 5 🌟READ MORE,positive
A1 awesome 🌼READ MORE,positive
Best cemara phone 😍READ MORE,positive
"Nice product and best camera,best displayREAD MORE",positive
Superb mobileREAD MORE,positive
"Really a class phone, Good camera and awesome displayREAD MORE",positive
It's awesome product I really loved itREAD MORE,positive
Nice phoneREAD MORE,positive
Decent purchaseREAD MORE,positive
Exactly what I wanted perfect 👏👏👏Waiting for color OS 11 stable version.READ MORE,positive
Good .... goodREAD MORE,positive
Auto call recording not work in this mobileREAD MORE,negative
Superb phoneREAD MORE,positive
GooodREAD MORE,positive
SatisfiedREAD MORE,positive
Good camera nice mobile 📱READ MORE,positive
It is worth of money ....overall nice mobile of oppoREAD MORE,positive
Have a great look with light weight.. nd when we talk about camera is fantastic and overall nyc 😘 product.I really like it.Thank u oppoREAD MORE,positive
AmazingREAD MORE,positive
"Very happy with the purchase. The phone came with things like good transparent phone cover, screen guard, charging adapter for fast charge, earphones original Oppo make.... Couldn't ask for more... The battery gets charged from 15% to 85% in 25 minutes flat.... 4015 mAH battery is a little less, but still compensated by fast charging facility.Face recognition unlock, two apps open at a time, rolling screenshots etc., are additional features.... Close your eyes and buy this phoneREAD MORE",positive
Very nycREAD MORE,negative
BabREAD MORE,negative
SuperbREAD MORE,positive
WelldoneREAD MORE,positive
"This phone is cool, just the battery is a bit lowREAD MORE",positive
Good product....👍💯READ MORE,positive
Nice biutifulREAD MORE,positive
