review,sentiment_label
Amazing 😍 phoneSmooth performanceGreat camera Fastest ChargingAnd extended RAM enhance the performance moreREAD MORE,positive
GoodREAD MORE,positive
"This is most beautiful look, slim body,lite weight, camera pixel  quality is fabulous  mind blowing,I am fully satisfied after purchases this product. including charger, earphones and transparent cover.READ MORE",positive
Awesome 📷 Click Best product 📱✌️✌️READ MORE,positive
It goodREAD MORE,positive
Superb 😊READ MORE,positive
Very nice phoneREAD MORE,positive
This is the very good productREAD MORE,positive
Very good cameraREAD MORE,positive
Beautiful Camera Like DSLR 😘😘😘😍😍😍😍READ MORE,positive
Good easy to use camera good experience always good for oppoREAD MORE,positive
It's nice nd good looking phone awesome camera 📸Fast charge it takes 70-80min for charge from 0-100%Good hand feel nd nice features just awesome phoneREAD MORE,positive
Very good 👍😊READ MORE,positive
All is goodREAD MORE,positive
Nice phone but it need some updates Nice camera Great fast chargingNice speakers Nice displayREAD MORE,positive
Oppo mobile thanks for Flipkart..... It's amazing mobile and very fast performance....and price money is best for Flipkart and I love it's mobileREAD MORE,positive
Very good nice performance nice colour for display fingerprint face lock super fastREAD MORE,positive
"Light and thin mobile , ram expansion feature is good u can extend phone ram 6 gb to 11gb by going to ram expansion setting . Great feature. I love this mobile everything is fine. Thanks Flipkart to  fast and safe delivery.READ MORE",positive
Mind blowing purchase 🤩🤩All good 👍Must buy itCamera is also awesome 👍😎READ MORE,positive
SuperbREAD MORE,positive
It's a awesome product . Camera is very good .READ MORE,positive
Excellent productREAD MORE,positive
Everything is Good.....READ MORE,positive
Best mobile this price.READ MORE,positive
Nice one...READ MORE,positive
This is osm colour variant 🤩🤩READ MORE,negative
SuperbREAD MORE,positive
Very nice 👌READ MORE,positive
Nice camera and battery backup is also goodREAD MORE,positive
GoodREAD MORE,positive
Worth of every rupeesREAD MORE,positive
Nice mobileREAD MORE,positive
Very nice Product This Phone AmeginREAD MORE,positive
After using 8 week its starting hanging worse experienced i feel.READ MORE,negative
Gorgeous beautifulREAD MORE,positive
Amazing quality ☺️READ MORE,positive
Good Phone....😊READ MORE,positive
Nice product.READ MORE,positive
Good quality camara 👍READ MORE,positive
GoodREAD MORE,positive
Nice productREAD MORE,positive
Very goodREAD MORE,positive
Value for moneyREAD MORE,positive
GoodREAD MORE,positive
It's good for normal use I haven't try gaming so don't know about itREAD MORE,negative
Very good PhoneREAD MORE,positive
NiceREAD MORE,positive
I love this phone 🤳📱READ MORE,positive
GoodREAD MORE,positive
"Very Bad camera, wish I can give negative rating for camera.Overall Ok, not worth the cost.Waste of moneyREAD MORE",negative
Camera promance bhi nice heREAD MORE,positive
Very nice conditionREAD MORE,positive
Very good mobile phoneBest performanceREAD MORE,positive
Camera is not got good oppo f15 and f17 camera is much better than this and the back camera is even more badREAD MORE,negative
Nice cameraREAD MORE,positive
Phone is having heat issue   Unexpected very bad experienceREAD MORE,negative
Good mobileREAD MORE,positive
Supb phoneREAD MORE,negative
GoodREAD MORE,positive
goodREAD MORE,positive
No auto call recording optionREAD MORE,negative
NiceREAD MORE,positive
Very poor front camera...READ MORE,negative
Low speedREAD MORE,positive
ThanksREAD MORE,positive
Good mobileREAD MORE,positive
Very bad experience in this mobile camera quality very bad and performance to bad my suggestion please go for oppo A53 or below 12000 very better compared to other mobiles it's very bad mobileREAD MORE,negative
Don't buy it guys.. worst product of OppoBad cameraHeat problemSlow PhoneWorthless phone in 20k priceREAD MORE,negative
All functions are good.READ MORE,positive
GoodREAD MORE,positive
Very nice 👍👍👍READ MORE,positive
Nice phoneREAD MORE,positive
GoodREAD MORE,positive
Light weight... good in useREAD MORE,positive
"Camera Quality is very poor, performance speed also lower average... networking is  WasteREAD MORE",negative
Very good camera and bettryREAD MORE,positive
"Veey bad performance, and over heating and hanging mobileREAD MORE",negative
Phone is overheating and battery empty very fastREAD MORE,negative
"It is hanging, overheating, sensor not working.READ MORE",negative
Nice experienceREAD MORE,positive
Very good mobile phone. Camera is very good.READ MORE,positive
NiceREAD MORE,positive
Nice phone and featuresREAD MORE,positive
GoodREAD MORE,positive
Good battery nice displayREAD MORE,positive
Waste of moneyREAD MORE,negative
"Awesome 😎, waiting for 5g update.,READ MORE",positive
Good qualityREAD MORE,positive
OkREAD MORE,positive
rear camera is not clearity badREAD MORE,negative
Display is good .. awesomeBattery I don't know yet just started using ..Performance review after few daysREAD MORE,positive
Good phone with good camera and good battery back upREAD MORE,positive
NiceREAD MORE,positive
Verry good productsREAD MORE,positive
OkREAD MORE,positive
GoodREAD MORE,positive
Poor quality phone all things not good this prize  evan return policy not givenREAD MORE,negative
Very goodREAD MORE,positive
Digital Tech StarREAD MORE,positive
OkREAD MORE,positive
Batry issu according to 5000mahREAD MORE,negative
Excellent very goodREAD MORE,positive
GoodREAD MORE,positive
NiceREAD MORE,positive
Not a good productREAD MORE,negative
GoodREAD MORE,positive
GoodREAD MORE,positive
Best smartphoneREAD MORE,positive
Good phoneREAD MORE,positive
Very poor batteryREAD MORE,negative
Excellent phone With great battery . Camera quality is awsum in this rangeREAD MORE,positive
It is Old version..not value for money.dissappointed..READ MORE,negative
This is waste mobile oppo F19s Main problem no incoming calls and no networkso this item no purches please all my friendsREAD MORE,negative
Don't buyREAD MORE,negative
Over hittingREAD MORE,negative
SuperREAD MORE,positive
Nice oneREAD MORE,positive
Nice productREAD MORE,positive
GoodREAD MORE,positive
Itz awesome ✨✨READ MORE,positive
Very goodREAD MORE,positive
Nice productREAD MORE,positive
NiceREAD MORE,positive
Nice phoneREAD MORE,positive
Nice work good 👍😀READ MORE,positive
Nice 😊READ MORE,positive
High level price but okkREAD MORE,positive
Fabulous phone...Go For ItREAD MORE,positive
Nice product and i am satisfiedREAD MORE,positive
Very niceREAD MORE,positive
Very Bad Quality Front Camera Not Real 16 MPREAD MORE,negative
Suddenly this is black screen not work & phone is hanging after i have used find my device to reset device 😡😡😡READ MORE,negative
Worst mobile i ever seenREAD MORE,negative
Good productREAD MORE,positive
Selling old manufacturing date 2021 product...camera quality is poor. Speaker sound is low...not satisfiedREAD MORE,negative
Camera is fantastic and charging stays for long timeREAD MORE,positive
Value for moneyREAD MORE,positive
GoodREAD MORE,positive
Have been using Oppo for a while now and this is good phoneREAD MORE,positive
NiceREAD MORE,positive
SuperREAD MORE,positive
SuperREAD MORE,positive
Very good allREAD MORE,positive
Slow workingREAD MORE,negative
I am not satisfiedREAD MORE,negative
"Very nice mobile, i using before oppo f7 nearly 4 years, i love oppo products.. that's only i select again oppo.. thanks to OPPO team..good luck for your feature journey..READ MORE",positive
"It's very fast as expected. Overall performance is also good. I'm using this mobile for the last one week. Display is fantastic. But one drawback is battery drainage. The battery is going down a little bit faster as compared to the new handset. After full charging, it lasts for a maximum of 2 days. Charging is fast. It supports flash charging. My overall experience is good with this handset.READ MORE",positive
Oppo phone having heating issue not satisfied with this product  I requested to everyone please do not go for this this items is not goodREAD MORE,negative
NiceREAD MORE,positive
GoodREAD MORE,positive
Awesome 👍READ MORE,positive
Very good phone 👍READ MORE,positive
Awesome oneREAD MORE,positive
Nice oneREAD MORE,positive
Very goodREAD MORE,positive
GoodREAD MORE,positive
"Very nice, go for blindlyREAD MORE",positive
GoodREAD MORE,positive
Good phoneREAD MORE,positive
"Worst phone, the camera quality is very lowDisplay is avarage, performance is very very bad can't play free fire.Any very very laggingREAD MORE",negative
Good I am so happyREAD MORE,positive
Veryy bad qualityHanging problemRunning like 3 gb ramREAD MORE,negative
Faculty product don't buy because i was ordered 2 mobiles but both are having battery problem. Low battery backup battery draining too fast.READ MORE,negative
Nice phoneREAD MORE,positive
Superb performance this mobail good workingREAD MORE,positive
Battrey display design is good poor performance so many lagsREAD MORE,negative
"Display fingerprint problem , nice productREAD MORE",positive
ExcellentREAD MORE,positive
Nice very niceREAD MORE,positive
GoodREAD MORE,positive
GoodREAD MORE,positive
GoodREAD MORE,positive
Not good too much expensiveREAD MORE,negative
Volte option missing for jio simREAD MORE,negative
Camera improvementREAD MORE,positive
