review,sentiment_label
Super phone and am so impressed with this thanks FlipkartREAD MORE,positive
It was very good phone and design camera better..🙂📱☺️READ MORE,positive
Nice phone 📱READ MORE,positive
NiceREAD MORE,positive
I liked this product 👍READ MORE,positive
Best in priceREAD MORE,positive
Oppo f21s pro👌👌👌👌READ MORE,positive
The camera quality of the phone is too bad in comparison as they show. The battery is also not working good and the last phone is not worth the moneyREAD MORE,negative
Super 👌👌READ MORE,positive
SuperREAD MORE,positive
This product is really good. I am with this product.READ MORE,positive
Fantastic 😊READ MORE,positive
Osm phone thanks oppo and FlipkartREAD MORE,positive
Please do not buy this phone. The Camera is very very poor and unexpected. The battery is bad and drains more than expected. The price is High as compared to what oppo has offered . Oppo just disappointed this time !READ MORE,negative
Front camera is very poorREAD MORE,negative
"Very good phone, and cemara quality is very good........READ MORE",positive
Very niceREAD MORE,positive
Nice product fast delivery thanks flipkartREAD MORE,positive
Worst mobile in 5g price about 27k no battey backup goodREAD MORE,negative
Waste of money battery backup is very low it gives only 12 hrs in  single chargeDon't bye this requestREAD MORE,negative
NiceREAD MORE,positive
Very bad mobileHitting problemREAD MORE,negative
Nice photo clickREAD MORE,positive
Oppo mobail super Flipkart delivery so fast Flipkart shopping likeREAD MORE,positive
THIS PHONE CAMERA VERY VERY VERY BAD AND THIS DISPLAY VERI BADREAD MORE,negative
NiceREAD MORE,positive
thnksREAD MORE,positive
Beutiful Look good performance in affordable price.... thanks Flipkart...READ MORE,positive
Very goodREAD MORE,positive
GoodREAD MORE,positive
Very niceREAD MORE,positive
Good productREAD MORE,positive
Decent photoREAD MORE,positive
Fantastic 😊READ MORE,positive
Look is verry niceREAD MORE,positive
MustREAD MORE,positive
Vary good mobile 📲 really beautifulREAD MORE,positive
OkREAD MORE,positive
World worst cameraREAD MORE,negative
Quality is very good and also performance awesomeREAD MORE,positive
GoodREAD MORE,positive
Touch screen is not workingREAD MORE,negative
Nice CameraREAD MORE,positive
Very Poor ProductREAD MORE,negative
I'm happy 😊😊😊READ MORE,positive
Nice 👌 productREAD MORE,positive
Very goodREAD MORE,positive
Please do not buy any item from Flipkart.READ MORE,negative
SuperREAD MORE,positive
NiceREAD MORE,positive
Overall mobile is too good and it's working smoothlyREAD MORE,positive
Product camera design is of no use made of glass no protection is provided for the same. Got deven placing phone on the table.READ MORE,negative
Very nice 👍🙂READ MORE,positive
Very goodREAD MORE,positive
Thanks goodREAD MORE,positive
Good qualityREAD MORE,positive
Product is good performance is good.READ MORE,positive
Very very smart phoneREAD MORE,positive
Worst phone ever by OPPO.READ MORE,negative
"Very nice product..i love this phoneCamera, battery and processing is very fastREAD MORE",positive
GoodREAD MORE,positive
Out look 😉Working goodBattery some what ok .compared to( oppo f9 pro battery is good )READ MORE,positive
Very nice mobile and fabulousREAD MORE,positive
This is the good productREAD MORE,positive
very nice mobileREAD MORE,positive
Very good productREAD MORE,positive
Looking fabulous ❣️All functions well and goodREAD MORE,positive
Nice productREAD MORE,positive
Value for moneyREAD MORE,positive
OkREAD MORE,positive
GoodREAD MORE,positive
Good productREAD MORE,positive
Very good nice phoneREAD MORE,positive
The product is okay but the price is too high.But the camera quality is awesome.READ MORE,negative
GoodREAD MORE,positive
Awesome productREAD MORE,positive
Super productREAD MORE,positive
AwesomeREAD MORE,positive
This phone is fantasticREAD MORE,positive
