review,sentiment_label
Great Picture ❤️❤️READ MORE,positive
Good performanceREAD MORE,positive
Nice phone maza agayREAD MORE,positive
Nice phoneREAD MORE,positive
GoodREAD MORE,positive
Beautiful & sexy phone 🥰 love itREAD MORE,positive
It is awesome product of oppoThe most appreciated thing is that the charging speed wow it will charge 40 to 100 in only 26 minute and the display is awesome 👍👍I am writing this review after 2 days use for normal use i use it for 2 days after charge once#oppo_loverREAD MORE,positive
Worst product in flipcart it's not working properly flipcart is not good..😡and customer care not helped to customerREAD MORE,negative
NiceREAD MORE,positive
Amazing mobile.... Quickly charged... Usage smooth picture quality niceREAD MORE,positive
"Superb performance in this mobile, camera quality is excellent, over all best in this segment 👌READ MORE",positive
good phone in this budgetREAD MORE,positive
"Nice look of mobile ,very lite wait and feel comfortable in hand , camera ,display ,performance ,batery and features are best in mid range smartphone ,fill very value for money , it's a mid range killer smartphone ,😚😚😀😀😄Very fast delivery by Flipkart  2 days of order of mobile and it's in my hand ,READ MORE",positive
"Really awesome phone looks awesome light weight, 90HZ display refresh rate Faster scrolling display, Good battery backup, camera's are good, really budget phone 📱, don't think buy this right now.READ MORE",positive
"Nice camera , dual speaker sound , high performance,READ MORE",positive
"Battery drain is very fast, and ph is heated when I use hotspot, sometimes is heated when it not in use, I am not satisfiedREAD MORE",negative
"This phone is just perfect If you're looking for :- 1. Everyday use. 2. Fast performance (8 gb option runs like  butter) 3. Photo quality is surprising , the photo feels like clicked from a High quality camera However if you want non Stop gaming :- Probably not the right phone. (This phone will tolerate heavy gaming for max 3 hrs , then it will heat up seriously ) Overall excellent choiceREAD MORE",positive
Best mobile good workingREAD MORE,positive
Nice mobile phoneREAD MORE,positive
Mobile is very good but battery is not goodREAD MORE,negative
Mobile is handy.. Camera clarity is okay not very good.. only in better lighting conditions it's good..Response is slow ..Not like 8 GB ram..READ MORE,negative
"Supperb Light Waight, performance is best features are Smooth,camera colity little bit rare..but battery Display was supperb 33w quick charger is so cool hardly 1 hr for full battery, I am not using for gaming so ...batter price best mobile I lovedREAD MORE",positive
Performance and build quality gives a premium feel.Camera below average thoughREAD MORE,positive
its was nice phoneREAD MORE,negative
Good phone photo quality very good Speed also good performance goodGood battery back-up  value of money mobile phone thanks FlipkartREAD MORE,positive
Bad PhoneREAD MORE,negative
Best Mobile For Current YearREAD MORE,positive
Excellent budget mobileREAD MORE,positive
GoodREAD MORE,positive
Very nice phone love OppoREAD MORE,positive
"It's value for money as an Indian we really think twice before buying something and I personally also did the same. So the final conclusion is that it is a good and really nice phone for daily tasks and light gaming. I hope this helps you and don't see negative reviews because something wrong would have happened with their piece only mine is perfect and works really fine. If you are thinking about it and it is not beyond your budget then go for it. Its performance is really good and no lag, n...READ MORE",positive
Oppo quality is not satisfactory. I replaced my oppo f9pro that is much better than k10. DisappointedREAD MORE,negative
