review,sentiment_label
It is very good mobile thank you ☺️☺️READ MORE,positive
This camera is best shoot a photoREAD MORE,positive
Good product 👍READ MORE,positive
Very niceREAD MORE,positive
SuperREAD MORE,positive
Very  bad display quality  very very bad audio quality  camera s not satisfied  almost cash west 😔READ MORE,negative
Nice products 🥰🥰🥰🥰READ MORE,positive
I love this productREAD MORE,positive
Nice phoneREAD MORE,positive
My happyREAD MORE,positive
"As a Oppo brand the📱 th camera should be great but it's not good. Selfi camera is whorse, and back camera is average. The phn's design is the main highlight here.Pros:-1. The camera module.2. Design.3 comes with Android 12Cons:-1. Helio - G352. Usb type -B (Should have been - C type).READ MORE",negative
Nice productREAD MORE,positive
Price according awesome phone oppo phone goodREAD MORE,positive
NiceREAD MORE,positive
this phone is very good and i got it in very good rate from flipkart service if you are looking for mobiles on flipkart then this is a good choiceREAD MORE,positive
AwesomeREAD MORE,positive
Just osm in this price 👌👌👌READ MORE,positive
Wasting money camera quality poorSistem also slowREAD MORE,negative
Good 👍READ MORE,positive
Cemara clarity best bettary pic up 👍READ MORE,positive
Quality is very goodREAD MORE,positive
Good productREAD MORE,positive
Phone is very bad and camera not so good please don't buy this phone bad performanceREAD MORE,negative
Budget mobile simple superREAD MORE,positive
Bad qualityNo portrait mode in back cameraREAD MORE,negative
Good 👍READ MORE,positive
Camera quality bad.and look niceREAD MORE,negative
Osm colorREAD MORE,positive
The processor is very slow compared with the same configuration on the other mobile.READ MORE,negative
NiceREAD MORE,positive
Everything is not badREAD MORE,positive
Waste mobile charging  over heatREAD MORE,negative
NiceREAD MORE,positive
Good itemREAD MORE,positive
ExcellentREAD MORE,positive
Not badREAD MORE,positive
Simple using good itemREAD MORE,positive
"I am not satisfied with this product,READ MORE",negative
I like itREAD MORE,positive
Very bad performanceREAD MORE,negative
Verry goodREAD MORE,positive
Nice I love you oppo a17READ MORE,positive
Best mobile in budgetREAD MORE,positive
Very slowREAD MORE,negative
Very good phones I'm happy with FlipkartREAD MORE,positive
Beautiful cameraREAD MORE,positive
Veri nice oppo A17READ MORE,positive
Nice photo camera 📸READ MORE,positive
Very awesome phone in this price rangeREAD MORE,positive
SuperREAD MORE,positive
I'm happyREAD MORE,positive
Front camera not goodREAD MORE,negative
Very niceREAD MORE,positive
Nice product thanks for Flipkart 👍READ MORE,positive
I'm happyREAD MORE,positive
