review,sentiment_label
Good product 👍READ MORE,positive
Nice mobileREAD MORE,positive
Its a good affordable budget smartphone. Camera quality is descent. Battery last for a day on average usage.READ MORE,negative
Good phoneIt's really worth for moneyAnd i liked delivery speed alsoREAD MORE,positive
Camera not good performanceREAD MORE,negative
Rear camera's picture quality is too good.....READ MORE,negative
Very nice phone.i love it.READ MORE,positive
Nice productREAD MORE,positive
Nice product 👍READ MORE,positive
Battery life very low.. only 7 hours battery lifeREAD MORE,negative
Osm productREAD MORE,positive
"Awesome handset in this price , user loves itREAD MORE",positive
The product was awesome one should buyREAD MORE,positive
Camera is not goodREAD MORE,negative
Goods fhoneREAD MORE,positive
Nice 👍 it's very nice product 😄😊I like 💖 it...No... No... I don't hate with the product..I love 💕 thatREAD MORE,positive
GoodREAD MORE,positive
Nice productREAD MORE,positive
Nice PhoneREAD MORE,positive
Good...ThanksREAD MORE,positive
"Nice phone    AndNice person of delivery agent good andrecpectfully talking ,good behaviour.   Thanks Flipkart..READ MORE",positive
Wh have purchase oppo mobile and check found good workingREAD MORE,negative
Super farfarmenc eREAD MORE,positive
Just of like design and all thing.READ MORE,positive
Value for money 🤑READ MORE,positive
Very nice mobileREAD MORE,positive
GoodREAD MORE,positive
SuperREAD MORE,positive
GoodREAD MORE,positive
"Oppo A77s mobile is very decent look Good service provided by flipkart delivery within timeline,READ MORE",negative
SuperREAD MORE,positive
niceREAD MORE,positive
Very good model camera qblity goodREAD MORE,positive
Mobile goodREAD MORE,positive
Excellent mobile. Camera quality superb.READ MORE,positive
It's normal mobileREAD MORE,negative
Oppo is always bestREAD MORE,positive
SuperREAD MORE,positive
nice productREAD MORE,positive
👍👌👌 superREAD MORE,positive
nice productREAD MORE,positive
👍👌👌 superREAD MORE,positive
GoodREAD MORE,positive
SuperREAD MORE,positive
WorstREAD MORE,negative
Nice Product ☺️READ MORE,positive
NiceREAD MORE,positive
best of priceREAD MORE,positive
SuperREAD MORE,positive
Best productREAD MORE,positive
Oppo is bestREAD MORE,positive
Very good nice productPalakkadREAD MORE,positive
Nice phoneREAD MORE,positive
Nice one productsREAD MORE,positive
NiceREAD MORE,positive
BetterREAD MORE,positive
Very good phone performanceREAD MORE,positive
Awesome 😎READ MORE,positive
