review,sentiment_label
32 mp clear selfie... NiceREAD MORE,positive
Really fentastic camera and battery....Superb performance....Loved it....💯💯💯READ MORE,positive
Good camera ❤️❤️READ MORE,positive
"Nice camera, best performanceREAD MORE",positive
"Design,display, camera as well as sound quality is superbREAD MORE",positive
What an amazing phone! And the design and look...OMG. I like this smartphone and it's camera section seems to be really good. Even the Mediatek processor in the device is so cool.READ MORE,positive
Night and zoom very poorREAD MORE,negative
Camera quality? Just fatafati. 🫶😍😍😍awesomeREAD MORE,positive
Value for money. In this segment Camera was good.READ MORE,positive
"Lookwise very premium phone, very thin and slippery , phone back colour changes and look unique, curve glass enhance phone value more, camera is good , overall 4 ratingREAD MORE",positive
"Product is excellent in terms of battery backup,camera and functioning also very smooth.READ MORE",positive
One of the best camera phone good picture quality. Good looking handsetREAD MORE,positive
Awesome phone date at time deliveryCamera so nice Battery 🔋 great 5000Display size 👍READ MORE,positive
Camera performance is good👍READ MORE,positive
Camera quality is very good 👍READ MORE,positive
SuperbREAD MORE,positive
Very good phone Camera good performanceREAD MORE,positive
SuperREAD MORE,positive
"Phone is heating up, Battery Draining so fast. Place just below the camera lens feels so hot most of the times.READ MORE",negative
Phone delivered on time with exchange of old realme GT master edition. Everything is perfect specially the back camera module.- Battery is superb- Back Camera is perfect - Front one needs Lil tweaks improvement- Display is flawless - Design is fab - Rest things updated after use of some days.Overall product is 9/10READ MORE,positive
Oppo Reno 10 is best phoneREAD MORE,positive
Good PerformanceREAD MORE,positive
Good 👍👍👍👍👍READ MORE,positive
"Price bit costly as compared to others., It Could be range of 20 KNot much excited in this price rangeCamera need to improve a lot for natural photos.,( As compared with latest Samsung phones)READ MORE",negative
Everything is better' but there is no audio jack  Anyhow thanks a lot to FlipkartREAD MORE,negative
So nice product and best experienceSTR best phoneREAD MORE,positive
Indisplay finger print not good working so avoid this device. I'm not happy for purchase 😞.READ MORE,negative
Nice phoneREAD MORE,positive
Amazing 😍 best in classREAD MORE,positive
The Phone is nice but I am very disappointed with the Camera my Oppo Reno 2's camera was very good compared to 10.READ MORE,negative
"Great performance, good battery life, camera could have been better. This is  legend.....READ MORE",positive
Its Reno means a great camera phone... Nothing spcl in camera... Pics like a 12k phone.. battery is good not best. The sound is loud. Front camera is cheap 😞. Not recommended. For this price segment.READ MORE,negative
Very happy 🥰READ MORE,positive
Nice product by oppo Reno series battery backup good camera parformensh like thisREAD MORE,positive
Very Bad service by Courier serviceDisplay and performance is goodBattery drains Very fastlyCamera can't compitate 13-15k mobilesREAD MORE,negative
Camera is goodBattery performance is also goodOverall rating 9 out of 10.READ MORE,positive
GoodREAD MORE,positive
Best portraitREAD MORE,positive
1.camera quality is not good photo zooming blur photo2.Mobile overheating normal use.3.Battery drain fast.4.sound quality is not better.READ MORE,negative
🤩Such a amazing portrait camera 📸.READ MORE,positive
"Guys don't Waste your money, only sound and battery is good other than nothing, they should have gone for a good ips display rather than this cheap display, front camera is 2mega pixel and back camera is 5 mega pixel, double tap to wake screen never works, I'm very angry, very disappointed, garbage phoneREAD MORE",negative
"Camera not capturing genuine photos, it's like painting.Display also very hard to use.READ MORE",negative
I love it ❤️READ MORE,positive
Best camera phone in this price range.READ MORE,positive
Nice slim and camera is surpbREAD MORE,positive
"Lovely camera 😍 I love itOverall Display, design, I  really like this Reno 10 seriesREAD MORE",positive
"Oppo Reno 10 is balanced phone, every one is not gamer or photographer so don't struck in the hype created by youtubers. They had several free costly devices and they think every divice is gaming device or photography phone so they can't understand the requirements of most of the people. I will update my full review after 6-7 days.Now this is looks like balanced phone.I upgrade from realme xt that was fantastic phone.This device is not superb in desply,camera, design and performance it is ba...READ MORE",negative
Wanderful..... 😁😁product from oppo 👏👏 love it. Thank you Flipkart for this great deal 🤝.READ MORE,positive
Nice mobile go for itREAD MORE,positive
Worst camera experienceREAD MORE,negative
Camera 4/5Battery 3/5Display and disign 5/5Performance 4/5READ MORE,negative
Best smartphone in this price range.Camera is to good.Display very good.READ MORE,positive
Very good display... outstanding camera... battery is also good.... design is super....I am very happy with this oppo Reno 10 mobileREAD MORE,positive
Overall goodREAD MORE,positive
"Hi Friends I request to people who buy this phone ,give genuine feed back. Pls don't give good rating to this phone. Too worst camery quality . Battery here 5000 mah and it drain with in a day with calls and general usages.Please friends don't go with this . TOooo worst phone I choose in my life.Please please don't buy it's not worthy.READ MORE",negative
Some time phone got stuck video call quality laging camera quality very poor 👎👎👎👎READ MORE,negative
"Nice phone,Portrait camera 🤳 Awesome 👍READ MORE",positive
Osm Mobile thanks oppoREAD MORE,positive
"The OPPO Reno 10 5G! Its premium look sleek design and solid build quality  feel make me fall in love with it every time I pick it up.The battery life is impressive! I can use it all day without worrying about running out of power, and when I need a quick boost, the rapid charging feature saves the day. No more waiting around for hours to get back to full battery!The display is simply stunning. The colors are vibrant, and everything looks so crisp and clear. I enjoy watching my favorite s...READ MORE",positive
Nice wall Done FlipkartREAD MORE,positive
"Battery not fast charging,then promo videoREAD MORE",negative
"Camera is worst part of the phone, bought especially for camera, but wrong decision.Primary sensor has blurry image and optimisation is not good.READ MORE",negative
Nice mobileREAD MORE,positive
"I got the delivery as per schedule. Once again Flipkart doesn't disappoint me as per the exchange process and delivery. The delivery person was polite and knowledgeable. What to say about the product quality, premium look and camera top notch as per the price. Amazing product oppo I am glad that I have chosen best as per my budget.READ MORE",positive
Video recording is awesome 😎👍 telephoto camara is also good.READ MORE,positive
Sound quality very poor. Camera quality to poor.battery not working as expected.READ MORE,negative
Please Don't Buy if you Seen to Large Battery Phone....This Phones Battery is very Poor 😥So I am Saying it for your helpThis Phones Battery is very Very Poor 😥READ MORE,negative
Battery 🔋 gets drained too fast. There is some issue with batteryREAD MORE,negative
Camera not expected as their discription 0 out of 5 for cameraREAD MORE,negative
"Very bad camera, my realme 8s is far betterREAD MORE",negative
Very bad mobile 📲 display not good camera clearly video clearly not goodREAD MORE,negative
"The overall performance is gud, charging is completing in 40-50 mins.. The main disadvantage is camera Worst experience from OPPO. I had a feeling previously oppo means brand of photo's camera, but now with this I lost it completely.Camera matram avg kana takuva, camera ki 0/5 ichina tappu ledu.If Camera optional , then u can prefer this 💯READ MORE",negative
"Premium phone, camera is good , especially night photography. Performance wise excellent.READ MORE",positive
"Awesome purchase, value for money Display is brilliant. Camera is very good as always oppo Reno series have good camera quality. I really love oppo phones and these one comes with all rounder option , Oppo Reno 10 has tick all the boxes phenomenal deal to grab from Oppo . I am very much satisfied with this phone.READ MORE",positive
It good product best  portrait shootREAD MORE,positive
Camera not expectedREAD MORE,negative
Superb smart phoneREAD MORE,positive
Camera is good 💯READ MORE,positive
"Third class camera, just hype and nothing.READ MORE",negative
"The camera is very good. Decent battery back up, fast charging, till now no lag. The design is so good and attractive. 5G is working properly, over all very good smart phone.READ MORE",positive
Battery charging very slow compare other 60w charging phoneREAD MORE,negative
Good camera and facilitiesREAD MORE,positive
Camera is very bad . Don't buy this phone.Vivo v27 is best camera phone. Oppo cheat customer.READ MORE,negative
"Thank u.....supar1 time  full charge use full day in approx 2h callingVideo and net surfing but still battry is 45%, 5starCamera is nice, 4 starParformance 4 starDisplay good  cuves 4.5 satrFrunt camera is also gooodREAD MORE",positive
Battery charging is slow as compared to 67w charging and also draining fast and even camera post processing is not much better as compared to this priceREAD MORE,negative
"The Oppo Reno 10 is an outstanding smartphone that exceeded my expectations. Its sleek design, vibrant display, and powerful performance make it a joy to use. The camera is top-notch, capturing stunning photos with impressive clarity and detail. The battery life is commendable, lasting me through a busy day without worries. Additionally, the fast charging feature is a lifesaver. The user interface is intuitive and easy to navigate. Overall, the Oppo Reno 10 delivers an exceptional experience,...READ MORE",positive
I love Oppo Reno 10 5gREAD MORE,positive
Camera 4/5Design 5/5Performance 5/5Touch 5/5Battery 4.5/5Overall a good phoneREAD MORE,positive
"Worst camera.... My realme 8s phone had better camera quality. Zooming in Oppo Reno 10 is worst, night photography is better even in 10k mobile. Think before you buy it..... Better purchase 20k mobile with same features except curved display. I hope in next update Oppo will fix the issue. Otherwise I'm very disappointed with this purchase in name of exchange.READ MORE",negative
So nice phone and Nice  performance super camera.READ MORE,positive
Good phone best cameraREAD MORE,positive
