review,sentiment_label
Camera can satisfy youREAD MORE,positive
"Oppo reno 3 pro Excellent mobile. Camera , display , peformance , battery , Dolby sound and headphone sound is excellent and all is awesome. I love this really excellent photography ❤️🤩..I love this phone...READ MORE",positive
"Nice product, very fast deliveryREAD MORE",positive
Wonderful performanceREAD MORE,positive
Very gud product. I like it. Value of money. OPPO Reno 3 awesome 👌👌👌👌👌👌👌❤️❤️❤️❤️READ MORE,positive
"Good quality camera for front and backFor normal person usage without mobile data battery stand by upto 2 to 2.5 daysAlways mobile data On means 1 days For gamers 10 hours stand byHandling goodNice design,prefect dual puch holeFor mine is blue colour which is superTotally perfect mobile at this costREAD MORE",positive
Worth every penny .. Awesome camera and performanceREAD MORE,positive
Good experienceREAD MORE,positive
👌Nice productAnd Fast Delivery👍READ MORE,positive
Regarding charging excellent Battery performance not yet upto my conceptCamera is not at all to the value for money Phone performance is good Overall outer quality is good Phone weight is goodREAD MORE,negative
Just osm mobile I love it camera speech less superb cameraREAD MORE,positive
NiceREAD MORE,positive
SuperI like it.READ MORE,positive
Amazing design and very good productREAD MORE,positive
Amazing product by Flipkart budget mobile and best quality ever camera display and battery are awesome thanks FlipkartREAD MORE,positive
"This phn.""s osm I""m totally satisfied wth the device____extremely nice""camera , fast charging ,Battery backup, features , evrthing""$ Batter in ths handsetREAD MORE",positive
"One of the Excellent & Super Mobile of Oppo, Great Service By Flipkart- Thank You So MuchRegardsRM.Sivaramamoorthy,Karaikudi- TamilnaduREAD MORE",positive
Just awesome phone.. Camera is superb.. N definitely it's a perfect phone for selfie love..Valu for money.. Loved itREAD MORE,positive
"Best mobile phone under 32k ,Camera is osm with 20X zoom ,More function added like Dolby,Low light photography is extremely impressed front and back , charging the phone is really good  you can get 50 % charging on just 16 minute's.Display    - 4.5/5Camera.  - 5/5Charging - 5/5Design    - 4.5/5READ MORE",positive
Feels premium.. Overall a good phoneREAD MORE,positive
Awesome product from oppoREAD MORE,positive
"9c Phone Screen Quality is very Good ,But  little Disappointed camera quality is very poor then Vivo  V19 and Rate is High from V19. Flipkart is very fast Delivery Service ever.Ultra Night mode  is better quality ..READ MORE",negative
Killer Look!!!!READ MORE,positive
Good product.. Be happyREAD MORE,positive
A fine phone at this price...READ MORE,positive
"My honest review. If you are looking for excellent display , sound , daylight photography, pls go for it. Gaming part is pretty average compairing with sd 730. But it is value for money product due to the premium look, dolby Atmos , video playback, decent graphics for gaming. And the company claims that it can do much better in 108 mp output but I cannot able to see the difference between 64 MP and 108 image processing. And zooming is noisy after 10x.READ MORE",negative
Nice productREAD MORE,positive
Excellent camera & battery life 👌READ MORE,positive
Oppo reno series is my heartbeat thank oppoREAD MORE,positive
Osm lookingREAD MORE,positive
Super phoneREAD MORE,positive
After all this is a good phoneREAD MORE,positive
Camera is best qualityREAD MORE,positive
Excellent thanksREAD MORE,positive
Awesome display and camera is mind-blowing so I am happy with this phone screen is smooth and charging fast and good battery backupREAD MORE,positive
Thanq flipkart Good phone .charging is super withing 10_20mint I got 50%charge. display looking owsomeREAD MORE,positive
Nice mobileREAD MORE,positive
Excellent handfeelREAD MORE,positive
I purchased this phone in 25k with iphone 5s exchange and HDFC Cc. DiscountsWorth for money...Battery is good changed 50% in 30 minCamera is good but not bestHeadphones are with audio jack has some burst sound at volume fullREAD MORE,negative
