review,sentiment_label
Suparb MobileREAD MORE,positive
Nice mobileREAD MORE,positive
"WonderfulAfter five days use my honest review..1. Camera could be much better, microscope photography is awesome 2. Fast charging is super3. Battery backup is very good4. Dispay is very immersive5. OS is also goodREAD MORE",positive
Awesome mind-blowing phone 📱READ MORE,positive
Very very nice cameraREAD MORE,positive
Super performance 🔥🔥🔥🔥READ MORE,positive
Nice phoneREAD MORE,positive
Love this ProductREAD MORE,positive
Good Product.. The camera quantity is not as good as expected.READ MORE,negative
Nice PhoneREAD MORE,positive
Nice mobile in this price range.READ MORE,positive
Good Performance verry impressiveREAD MORE,positive
Good phone 📱 good camera 📷READ MORE,positive
Nice picREAD MORE,positive
Good phone  slim and easy to use And looking so pretty fast charging mode is very awesomeREAD MORE,positive
"Camera quality is good but not fir night time, bettary is also good. Design perfect,  and light weight.. Must buyREAD MORE",positive
Very good 👌👌READ MORE,positive
"I'm very happy ☺️ photo quality is awesome, display looks classy , battery performance super  and I play BGMI no Lag no heat issues . 5 ⭐⭐⭐⭐⭐READ MORE",positive
Mind blowing mobileREAD MORE,positive
Jast wowREAD MORE,positive
All features all as awesome. Very nice mobile in this range. I give 5 of 5 Star.READ MORE,positive
Awesome phone in this price rangeREAD MORE,positive
AmazingREAD MORE,positive
Good productREAD MORE,positive
SuperrrrrrREAD MORE,positive
"I gifted this brand new phone to my wife and she liked it. The best part is ,its design and features,fast charging, light weight.etc. If we talk about camera it's awesome 108 mp Rear camera and front 32 mp. Plus we don't need to install extra applications for filtering and editing images, We get many options in the Camera settings itself. Go for it. 👍READ MORE",positive
40x microscope camera wow amazing pic.......🫶👌🫰Oppo Reno 8t  superREAD MORE,positive
"Awesome Mobile Phone By Oppo Reno. In hand Feel was Really Good. Must Buy it phone. Full Paisa Vasul. Best Part Of This Phone Is Its ""120 Hz Ultra HD Curved Display"" 🥰😍🤩 Loved It. Thanks Flipkart For Delivering it So Fast😎👍READ MORE",positive
"Wow wow 😍😍Awesome product hay , its value for money ,  best camera , it also have microscope, display is best , battery last long , smooth experience, just loved the camera, this is microscope photo of sticky notes paper🔥🔥🔥I will recommend every one to buy this mobile phone in this range.READ MORE",positive
Camera not goodREAD MORE,negative
OMG what a maicroscop camara This is head ju😱READ MORE,negative
Money value bhai but not extra function low models rate very high and not extra features slow chargerREAD MORE,negative
Macroscopic detailed just brilliant all over perfomance too goodREAD MORE,positive
Nice mobile 🤠READ MORE,positive
Camera is very poor and battery life is totally worst .READ MORE,negative
So here is my honest review after using this phone for 10 hours.Display quality is more than awesome. Curve Display is giving premium touch to this phone Sound quality is also goodFast charging is superb Camera quality is just average in this price. It could be better in this price Backside is neither metallic nor having glass. It is not giving premium feel from Backside.So I am giving 4 * out of 5 to this phone.READ MORE,positive
