review,sentiment_label
Nice phone at this priceREAD MORE,positive
Nice and amazing features... U can go fo it. OnePlus 10R .. 🥰READ MORE,positive
"I bought it 10days back, everything is perfect and Battery backup is also good but the charger is getting heated heavily while charging the mobile. OnePlus Needs to work on the chargers as well 😅READ MORE",negative
"Just one word,the phone is very awesome.Camera quality is so good,The most important,I love the design, design is so awesome I like it.Battery is also so good.Just go for it..!!READ MORE",positive
Mobile is osm..🤘🤘camera is nice.. battery backup is also good...✌️✌️🤘🤘🤘READ MORE,positive
"Worth it.  Good camera , excellent display and the oxygen OS is so smooth plus it doesn't have have any bloatware pair with the 120Hz refresh rate it provides a very good experiencePlus the 80 watt charger charges the very quickly ( I didn't record how much time it took but it's very fast )The only issue I found is that the battery drains a bit quickly then as it should usuallyHopefully OnePlus fixes itOverall it's a great product for its price Howerver if u are willing to spent more t...READ MORE",positive
Thank you filpkart..💙super mobile and camera battery back up everything is goodREAD MORE,positive
Nice phoneREAD MORE,positive
I like it one plusREAD MORE,positive
Battery drained fast could not go a single day phone heats over perforce over all ok but two major issues are mentioned hereREAD MORE,negative
"Battery drainage issues is most worst thing of this OnePlus 10R phone. Please fix this battery drainage issues, Oneplus as soon as Possible because at this price segment with 5000 mAh is not giving a reasonable battery backup. In a minute it drain one percent repeatedly. I'm doing all remedies, i,e. ON power saving mode but the results are same. OnePlus Once again I said you fix battery drainage problem ASAP.READ MORE",negative
Amazing phone ❤️❤️❤️❤️❤️❤️READ MORE,positive
Nice phone in this price 🔥🔥READ MORE,positive
PerfectREAD MORE,positive
Very niceREAD MORE,positive
"It is a nice phone equipped with a decent camera, although the battery performance is a little downgraded but it can be balanced with a whopping 80/150 watt charger. Performance wise it's a good device and the display is amazing besides not having a curved one.Overall a balanced phone in every aspect.READ MORE",positive
5G not working after uploading 3 times softwareREAD MORE,negative
Camera perpomence is very good and quality also good 👍READ MORE,positive
Very nice cameraREAD MORE,positive
I love it's 😍🥰READ MORE,positive
Very goodREAD MORE,positive
Nice photo qualityREAD MORE,positive
Battery 🔋 hot 🔥 wasteREAD MORE,negative
verry goodREAD MORE,positive
Excellent productIt is best for gaming and MultitaskingBut You can experience some heating issues in long term gaming sessions Camera Is DecentBattery is GoodDisplay is Very GoodREAD MORE,positive
Pros1.Awesome built quality2.battery backup is also good if you have a normal/moderate user.3.Day time photos are very good 4.No heating experienced till nowCons1.sometimes pictures looks little bit artificial should improve.2.sometimes I felt bluetooth is not connecting immediately.But still in this price range Awesome product..Highly recommended just go for it...READ MORE,positive
