review,sentiment_label
Nice...READ MORE,positive
"An Outstanding Flagship Killer. Don't think twice, Just go for it🤩🤩🤩🤩👌👌👌👌READ MORE",positive
nic and trust for filipkart big marketing and. trustful shopping app for indiaaaREAD MORE,positive
One plus 7 pro is very aswom and nice mobile 90 Hz  displayREAD MORE,positive
Wow.READ MORE,positive
Awesome ?READ MORE,positive
osmmm smartphone really its performance is superrr and fast such as camera is tooo clear and clarity i feel tooo goodREAD MORE,positive
Best phone that I have ever used! My rating 5/5READ MORE,positive
Awesome Mobile One Plus Brand but battery backup nothing betterREAD MORE,positive
"Best performance, I like it so muchREAD MORE",positive
one plus best smart phone of the worldREAD MORE,positive
Used for 1month at first when I used phone it was in Android 9 version after few days I got system update to switch over Android 10 version berry happy n satisfiedREAD MORE,positive
Such an amazing phone and good deliveryREAD MORE,positive
The delivery of the product was very fast. The phone is very solid built and the screen is amazing.my previous phone was poco F1 it was a good and value for money phone but was not premium .So I decided to use Oxygen Os instead of MIUI . THE OPERATING SYSTEM MAKES THIS PHONE A MASTERPIECE. EVERYTHING IN THIS PHONE IS PERFECT EXCEPT ITS BATTERY. BATTERY OF THIS PHONE SHOULD BE 6000 MAH BECAUSE  ITS WONDERFUL DISPLAY CONSUME BATTERY VERY QUICKLY. I USED THIS PHONE FOR ONE DAY AND THAT WAS ENOUG...READ MORE,positive
The camera needs to be better optamized. I was using a note 9 and for some reason the camera on this device feels a notch below. Tried the Google camera apk as well. This has slight improvements but the images do come out a bit warmer and some of the colours seems washed out. Apart from this the phone is fantastic. I absolutely love the screen to body ratio. But a big downside is a lack of a headphone jack. But really happy with my purchase and looking forward for the one plus 8READ MORE,positive
very nice Phone camera fantastic very speed chargingREAD MORE,positive
Best phone everREAD MORE,positive
"Good camera but,it needs more improvementREAD MORE",positive
nyc phone value for money...READ MORE,negative
Very nice phone I love itREAD MORE,positive
2good brandREAD MORE,positive
Awesome mobile phone i just love it 😍😍😍😍READ MORE,positive
Really good productREAD MORE,positive
Best mobileREAD MORE,positive
Better camera qualityBattery long up to 12hrs Fast chargingREAD MORE,positive
I am using it for 4 days havent found a but. Battery life is good if you compromise quality and switch to 60hrz and Fhd insted of 90 hrz and QHd. The Dual speaker quality is awesome and its equilised well. Camera quality is also very impreseive. Gamiing beastREAD MORE,positive
best phonREAD MORE,positive
Best (Beast)..READ MORE,positive
Best product. But needs battery to be up to 5000 or more mah. Camera superb. Very fast sensors. Totally nice productREAD MORE,positive
goodREAD MORE,positive
Brand new product ! Was worried for a bit as the device wont charge but had to wait for 4 hours to get it back up and running Sealed box and everything was in placeREAD MORE,positive
I got an damaged productREAD MORE,negative
Battery issue is thereREAD MORE,negative
Superb phoneREAD MORE,positive
I love OnePlusREAD MORE,positive
just love it.. Thanks flipkartREAD MORE,positive
