review,sentiment_label
amazing camera works...... night scam mode no words superb 👌...... worth mobileREAD MORE,positive
very good finishingREAD MORE,positive
Nice mobileREAD MORE,positive
"Too good, just awesome.READ MORE",positive
Good oneREAD MORE,positive
Super  best value for moneyREAD MORE,positive
"OnePlus 7t have Out standing Battery Performance...Both at 60hz nd 90hzIts have 3800 MaH battery but the charging capacity is OP 30W Warp Charging is much faster Actually It's Beyond imagination, Don't believe on specific reviews...OnePlus 7t is Awesome in it's every aspect, OP Camera, Sensational Display, One of the Best Speakers I ever Use, Impressive OS.Don't think much , Go for It ♥️READ MORE",positive
Performance wise it is the beast and excellence of camera would be plays an important role but front camera too bad.READ MORE,negative
awesome phone. loved itREAD MORE,positive
(1) Camera performance is ossam..👌💯..(2) Display reality is supprb💯(3) I love the sound quality of this ph💚(4) little quiet battery backup when I play game less than other timeOver all this price range 7t are boss✌️READ MORE,positive
Best Phone...😍😍😍Loved it...Camera is awesome !!Also Battery is decent 😊 Design is the best thing I loved a lotREAD MORE,positive
Just received.. was confused btwn 7t and 8... But there is no much difference rather than the 855+ for 7t and 860 sd for 8... Totally satisfied... The flat screen is a much user friendly surface than the curved displays.. the 90hz refresh makes a very noticable difference as I was a 60hz user before .. the camera is the best ..  for gamers I think you should probably go for it... Even though 7t has a 3800 mAh battery(which seems a bit small) but the superfast warp charging does the job in hal...READ MORE,positive
Nice quality paisa wasooolllllllllllllllllllllllllllllllllREAD MORE,positive
The best phone i ever have...must buy...thanks flipcart..READ MORE,positive
"After using for 3 months. I can say it is best phone in this segment. Best camera best charger best display , smoothness and you will love the sound of phone without headphones too. Little battery is not as good as it should be but it will last for a day easily. And gaming is lag less. It could be your best decision after lockdown.READ MORE",positive
Nice phone good performance good features but battery is not so long lasting as its mentioned otherwise everything is superREAD MORE,negative
Awesome potrait mode and wide angle camera and vedio alsoREAD MORE,positive
Best cameraREAD MORE,positive
Awesome mobile... love itREAD MORE,positive
No doubt that it's best phone under 40k.....READ MORE,positive
