review,sentiment_label
Excellent 🆗👍READ MORE,positive
Balanced ⚖️ phoneREAD MORE,positive
I'm fully satisfied with1. Camera clarity. 2. Display n performance is like Butter 🧈3. Speaker is also loud n clear compare to any other phones.4. Design - Lightweght 5. Charging is very fast.Only thing is Battery need to be 6000mah atleast .Still 5000mah is good for daily use. As it is charging very fast no need to worry. I give 4.5/5*READ MORE,positive
Camera quality so good..Thanks FlipcartREAD MORE,positive
Super CameraREAD MORE,positive
WowREAD MORE,positive
Amazing full worth it...READ MORE,positive
"Nord 3 product goodCamera 📸 good,READ MORE",positive
Nice camera 📸READ MORE,positive
Nice picture this mobile phoneREAD MORE,positive
Very niceREAD MORE,positive
Enough for me 😄READ MORE,positive
Battery draining sooo fast with out operating also drains very fast very bad experience in battery 🔋 performanceREAD MORE,negative
Nice 🙂READ MORE,positive
Wishing OnePlus for a memory card slot for expand storageREAD MORE,negative
Excellent performanceREAD MORE,positive
AwesomeREAD MORE,positive
Awesome productREAD MORE,positive
Good productREAD MORE,positive
Amazing cameraREAD MORE,positive
Camera is goodREAD MORE,positive
This phone has very good performanceREAD MORE,positive
"Phone is look good.design,camera, display all good.battery drain fastly.READ MORE",positive
NiceREAD MORE,positive
GoodREAD MORE,positive
"It is a good phone on this price range, Camera is ok, BGMI with smooth 90fps for gamer. And the design is really cool.READ MORE",positive
Very good mobile and performanceREAD MORE,positive
Stable phone on all marksREAD MORE,positive
"Rating after 7 days ! Camera quality is best ! Battery performance is good , it lasts more than 16- 18 hours in normal usage ! Fast charging - charge from 0 to 100% only in 39- 40 mins .Interface is 5 out of 5Overall performance is outstanding! Must buy it , it's actually worth it From Nord 3 user 👍READ MORE",positive
It's been two weeks I'm using this phone battery is ok for normal day to day use I'm not playing any games so it is having descent battery but Charging is super fast. Performance is good and camara is also good it's an all-rounder phone who want to buy OnePlus in this budgetREAD MORE,negative
Every thing is soo good about this phone.READ MORE,positive
A most powerful phoneREAD MORE,positive
It's very awesome and fantastic and very much for good for meREAD MORE,positive
Very balanced phone with clean softwareBattery life can be improvedREAD MORE,positive
Everything is correct except the battery . Battery drain too fastREAD MORE,negative
Good OnePlus nord3 5gREAD MORE,positive
Nice product.READ MORE,positive
ThankREAD MORE,positive
Superb performance all rounderREAD MORE,positive
Battery performance is verypoorHighest screen time is 5 hoursREAD MORE,negative
SuperREAD MORE,positive
Good mobile but design not premium as per this price rangeOver all good mobile with All functions that everyone wantsCamara goodPerformance goodBattery averageScreen goodLight weight goodREAD MORE,negative
It's a nice phone in this budget. Performance is super and when hold it in your hands you will feel it premiumREAD MORE,positive
Good 👍READ MORE,positive
"Awesome Phone, everything good at phoneREAD MORE",positive
NiceREAD MORE,positive
Nice...READ MORE,positive
Awesome product in this price range just go for itREAD MORE,positive
All good no issueREAD MORE,positive
Best qualityREAD MORE,positive
Over all everything is goodREAD MORE,positive
Amazing 😍🤩READ MORE,positive
Heavy product. Take it lightly...Must buy...READ MORE,positive
NiceREAD MORE,positive
Good productREAD MORE,positive
Good ..tuch ...front cameraREAD MORE,positive
okREAD MORE,positive
GoodREAD MORE,positive
GoodREAD MORE,positive
Good products....Camera is osm...Battery back is not satisfaction.Overall Best mobile should be one plus node3 near about 25k.READ MORE,negative
Xlent productREAD MORE,positive
Good productREAD MORE,positive
All is wellREAD MORE,positive
Fooking AwesomeREAD MORE,positive
Brilliant phone ❤️READ MORE,positive
I love this PhoneREAD MORE,positive
Great product by one plus and fast service by Flipkart🙂 5*READ MORE,positive
Superb 👌 I love itREAD MORE,positive
Perfect Result I like itREAD MORE,positive
Value for money great product...READ MORE,positive
Supper product end service flip kartREAD MORE,positive
Mind blowingREAD MORE,positive
Awesome phone...READ MORE,positive
