review,sentiment_label
GoodREAD MORE,positive
Camera good quality 👌READ MORE,positive
"Wow it's really a good one from OnePlus. I literally bought this a year later than its launch and am still  impressed by what it can do. Actually I was waiting for Nord 2T to launch but it seemed  like there was no change other than OOS 12, 80W charger and Dimensity 1300. And comparatively there's no change between Dimensity 1200 and Dimensity 1300... I mean there's no change actually. So I just stopped waiting and just bought this one. Display is the first thing you're going to see in a smar...READ MORE",positive
Phone is very goodREAD MORE,positive
AmazingREAD MORE,positive
MY EXPERIENCE AFTER 5DAYS OF USAGEHERE WE GO1) Camera 📷Rear:5/5Front:5/52) Software experience:5/5It's good and clean UI Without any ads3) Performance:5/5All Apps are working very smoothly4) Charging Time:5/564w supper fast wrap charging5)Face recognition speed:5/56)Finger print sensor:5/57) Battery life:4/5It's give you 6-7 hours screen on Time8) look:5/59)carrier Aggregation & Network:5/510) Heating issueYeah Mobile is Heating bit when you use continuesly But it can resol...READ MORE,positive
VALUE FOR MONEYREAD MORE,positive
Good... product....and camera quality is very... good..READ MORE,positive
Best phone in the camera...👌👌👌👍👍👍READ MORE,positive
Good phoneREAD MORE,positive
"The phone is just superb it feels so premium in hand just an issue on the battery but overall it's value for money ( quick charging is awesome) , I will definitely recommend it for every one who are planning to buy a phone in this budgetREAD MORE",positive
AwesomeREAD MORE,positive
Good productREAD MORE,positive
"Just like I want this device gives me all .Camera performance, battery performance , 65 watt fast charging , it takes only 35 to 40 minutes for 0 to 100 percentage , and its display is quite satisfying and last but not least I mostly loved it's sound quality . I must say that you should not have to think twice before buying this device. Just go for it . Thank you so much one plus .READ MORE",positive
SuperREAD MORE,positive
V Good Mobile 😊🥳🥳😊READ MORE,positive
Very goodREAD MORE,positive
"Best phone in this price segmentCamera are much betterBattry backup , i  love💕 it No word about performanceDisplay quality unbelievableGo for itFeel like a beastREAD MORE",positive
Lived itREAD MORE,positive
Great 👍READ MORE,positive
Very nice phoneREAD MORE,positive
Good productREAD MORE,positive
Super phoneREAD MORE,positive
Good cameraREAD MORE,positive
Mobile 👌👌👌READ MORE,positive
Amazing 🤩🤩🤩READ MORE,positive
"I m satisfied, very good mobileREAD MORE",positive
Nice 👍Numbar 1 ProductAnd Customer🎊🎉🙏🙏🙏👏🎊🎉🤗READ MORE,positive
Batter parforence😍😍😍😍🥳🥳🥳🥳READ MORE,negative
Pic is so beautiful 👀READ MORE,positive
super productREAD MORE,positive
Ultrawide angle camera is extreme level🔥 Must buy this nord 2 😍🔥READ MORE,positive
GOOD QUALITY AND TNX TO FLIPKARTREAD MORE,positive
I expect that the OnePlus is a trusted Brad but I am wrong Chinese is always ChineseREAD MORE,negative
NiceREAD MORE,positive
Good productREAD MORE,positive
Using phone from past 15days....Phone is amazing Build quality is top notch.... Performance is next level.... Display is also impressive....Camera is also super...Charging speed is excellent it takes just 37mins to charge from 0-100%....Just loved the mobile....READ MORE,positive
Nice product.. excellent to use worth for the money...READ MORE,positive
Good productREAD MORE,positive
GoodREAD MORE,positive
Good phone in the range ofmpriceREAD MORE,positive
ExcellentREAD MORE,positive
Good experienceREAD MORE,positive
GoodREAD MORE,positive
Best phone  everREAD MORE,positive
