review,sentiment_label
"Thanks flipcart for providing me such a good product. Camera and display both works in very good manners . Fast charging, Battery backup is very good .READ MORE",positive
Very nice outstanding ❣️🇮🇳❣️READ MORE,positive
Overall good but during the 4k recording and heavy use its heat.Lookwise awesomeREAD MORE,positive
Love it product...READ MORE,positive
This Phone Camera like as DSLRREAD MORE,positive
"1+Love it's ,,,, packing goodREAD MORE",positive
Awesome 👍😎READ MORE,positive
One word Fabulous ❣️❣️READ MORE,positive
Nice productCamera ekdum awesomeSelfie 🤳*****READ MORE,positive
GoodREAD MORE,positive
Very good performance mobile 🤗Camera quality Vera levelBeatty level one day use Smartness mobileI like it Nord 2t mobileVery fast chargingREAD MORE,positive
NiceREAD MORE,positive
"In my opinion, mob is goodGood performanceBest designBattery backup is also goodCharger is so nice (80W) Back camera is superbBut front camera is ok okk .. nothing special Overall rating = 4/5READ MORE",negative
Premium product i like it thats my first oneplus smartphone.READ MORE,positive
Everything is going well till now..READ MORE,negative
Best 👍👍👍👍 experience withREAD MORE,positive
Nice 👍👍👍Camera quality superREAD MORE,positive
"I love this phone,I like the cameraOveralls it's good for me..READ MORE",positive
good 👍👍👍👍READ MORE,positive
Best cameraREAD MORE,positive
Camera quality is very good.Overall one plus Nord 2t is very good phone in all departments.No heating issue.Battery backup is very good👍Full charge within 35 minutes.Sound quality is good.READ MORE,positive
Completely SatisfiedREAD MORE,positive
Superb quality phone ❤️READ MORE,positive
"Thanks you flipkart, purchased first time OnePlus & experience is so good,I can't explain it in some wordsREAD MORE",positive
Thank you so much Flipkart for fulfilling my needs. Satisfied with the service and the product given. So so so happy. One of the best phone.READ MORE,positive
SuperREAD MORE,positive
GoodREAD MORE,positive
Worth buying.. satisfiedREAD MORE,positive
Camera quality...... Good 👍READ MORE,positive
Awesome productREAD MORE,positive
SuperREAD MORE,positive
EXCELLENT PHONE OVERALL PERFORMANCE IS EXTREMELY GOODREAD MORE,positive
First time I purchased OnePlus phone.. the phone is superb it is smooth and does it work bas per its processor and the given features.And the product look and feel of the the model is having the OnePlus core signature built value of this product.. overall experience regarding this device.. its OSM.  I love OnePlus.🤩...❤️READ MORE,positive
Very nice and good phone power full procecer and colour very nice and battery charger very fastREAD MORE,positive
"This phone is really good. Best way to use it Battery, Display, and Version v best.... Camera amazing quality.... Thank you OnePlus temREAD MORE",positive
Nice Look 😍READ MORE,positive
ExcellentREAD MORE,positive
"Value for money, Rear camera is awesome, Front camera is great in good lighting condition, Battary backup is decent, Charging is very fast with 80 watt charger, charges in 30 minutes from 0 to 100. Beautiful design, hold and looks premium in hand. In hand feel is awesome.READ MORE",positive
GoodREAD MORE,positive
Good PhotosREAD MORE,positive
I like the sterio speakers very much right from the beginning. The overall performance is excellent. I liked the dual video mode as well. Full charging taking around 30-35 minutes I guess which is very quick.READ MORE,positive
Looking Good.READ MORE,positive
Looks very premium same as iphone pro segment..Go for it without any hesitate..Performance is awesomeREAD MORE,positive
ExcellentREAD MORE,positive
"Great phone I can say balanced phone , everything is upto mark  camera, display, and battery is charging so fast ..17min full charge ...Great camera and display quality.Dolby sound....loud 🔊 sound...Overall I m satisfied...mI add some camera samples of both back and font came it's awesome 👍READ MORE",positive
Very good mobile must buyREAD MORE,positive
