review,sentiment_label
Super 😍😍💯 DuparREAD MORE,positive
Awesome phoneREAD MORE,positive
Amazing 😍READ MORE,positive
Satisfied product... Value for money 💰READ MORE,positive
"Very nice camera , Battery back up good, Looking so beautiful,His amazing product, faster charging so amazing , I love this phoneREAD MORE",positive
awesome mobile 👌👌👌👌👌🎉🎉🥳👏READ MORE,positive
Real awesome smart phone in the Range.Everything is the awesome 😎READ MORE,positive
📲📱 best in the yearREAD MORE,positive
"I'm give the Review after 15 day and I'm feel very good this phone camera quality is very nice , battery, also and curve display is awesome, thanks to OnePlus 😊READ MORE",positive
READ MORE,positive
"Really good,READ MORE",positive
OnePlus 11r 5g are best phoneREAD MORE,positive
A great value for money device by OnePlusAwesome experience awesome camera and performance and battery backup + charging is unmatchable.READ MORE,positive
It's an awesome product..Display is awesome.Performance wise too good.According to me this is oneplus one of the best product.I was planned for Google pixel 7a but my mind change after saw this handset... I am very happy with this product.As usual seeing oneplus before it's too upgraded and modified.Performance wise too fast as expected.READ MORE,positive
Excellent Phone satisfied with one plus this timeREAD MORE,positive
Fully satisfied with the product. It is a true flagship killer phone. Main Camera is very good but other two cameras are average. Photos in daylight as well as in night are great. I would rate camera 4 out of 5.Performance is top notch with snapdragon 8 gen 1 processor. I would rate processor 4.5 out of 5.Battery backup is great. It lasts almost a day with moderate usage. I would rate battery 4.7 out of 5Charging is awesome. 100 watt charger fully charges the phone in around half an hou...READ MORE,positive
Nice oneREAD MORE,positive
I'm writing this review after 1 month of experience let's get to the point if you are a hardcore gamer stay away from this device yeah 8+ gen 1 not giving it peek performance in this device.. and the camera it's good details is very very good... The display is just awesome you can watch Netflix in HDR 10+.. and the battery you can see in pic BTW I didn't charge 100% battery it's from 86%READ MORE,negative
Best phone in this segment.. thanks Flipkart 😊READ MORE,positive
Best flagship phone one plus 11 r ..No doubt it is best of the bestREAD MORE,positive
Beautiful selfie and rearREAD MORE,positive
"Camera Superb, Display Is Amazing. Overall A Great Phone On This Budget Segment.READ MORE",positive
One of the Best in AndroidREAD MORE,positive
Very goodREAD MORE,positive
Recommended product.READ MORE,positive
Camera 🤳📸 super performance good not beast display ultimate and battery life also good 👍READ MORE,positive
"Hardware specs are fantastic . Great display , fast performance , battery holds up pretty well Good cameraThe reason for a 3 star rating is the software . Coming from a Samsung phone this UI does not feel premium tbh . I have a few issues with it- the notifications panel is a big inconvenience . You cannot drag to collapse or expand . You have to click the tiny down arrow on the corner of the notification. Google news does display properly on the notification panel . Swiping right clea...READ MORE",negative
Display problem with in one monthREAD MORE,negative
Super photo and video hostingREAD MORE,positive
Quality product not expected.. battery issues 😡An hetting isue....READ MORE,negative
Good product nice batteryGood displayDesign superAll is okREAD MORE,positive
NiceREAD MORE,positive
Literally Beast....Upto the markREAD MORE,positive
Camera is not upto the mark. Apart from that everything is fine. Overall it's a good phone. 😍READ MORE,negative
Excellent Camera Very Good Performance Simply Awesome 👌READ MORE,positive
Good PerformanceREAD MORE,positive
Please donot buy this jandu phone because function are not running properly and i request solve my problem so he said please send this phone to delhi and wait 15 days Well not work app lock and other problems I requested to all please donot buy this phoneAnd i delete my id in flip kart appYou sell very cheap and wroth item Same on you Chi chi chiREAD MORE,negative
Yesterday I purchased. Battery and performance will confirm after some day useREAD MORE,positive
"The battery is draining very quickly, I didn't expect this at all all proformans ok okREAD MORE",negative
Nyc productsREAD MORE,positive
"There is no value for the money, because there is no difference in the real me low values product and OnePlus high value product, Why we should invest for only camera, since there is no feeling or difference for using realme and OnePlus If you use realme first and then take OnePlus, there will be no feeling at all for change, it be remain same as realme only, No use of investing money this much to take OnePlusREAD MORE",negative
In just a week's display starts acting double slide blue line  and dot coming in the screenREAD MORE,negative
Amazing productREAD MORE,positive
Nice one plus phone very good experience🥰🥰🥰🥰READ MORE,positive
Lot of time it had hanged very sad and unexpected from one plusREAD MORE,negative
Battery drains fast. Surprise screen comes up sometimes. The screen becomes blur completely sometimes. I always have the fear my phone might stop working at anytime.READ MORE,negative
Best pictureREAD MORE,positive
Phone is good .I m using this phone last 2 months .everything is good ..READ MORE,positive
