review,sentiment_label
JUST GO FOR IT YOU LOVE IT 🔥🥰READ MORE,positive
After using 2 weeks .... my review is ...Good phone for photo and avarage gaming . And also it work smoothly bcz of the 120hz refresh rate. speak is also loud. And also click good pic in night mose.READ MORE,positive
Good mobile phone camera is so far better & performance smoothie but display touch not well ...READ MORE,negative
Amazing Camera 📸READ MORE,positive
Nice mobile camera is good oneplus is brandREAD MORE,positive
GoodREAD MORE,positive
Good phoneREAD MORE,positive
Very nice productREAD MORE,positive
The 65W fast charger support 30-40min full charge.Good camera quality.Better nightscape photos. Performance very nice.READ MORE,positive
Very very nice phone value for money under 40 kREAD MORE,positive
It's osmREAD MORE,positive
Device is very fast hitting...READ MORE,positive
Dont buy for gaming its worst especially for pubg app i recommended you dont buy it it gave the wrost performance ever.READ MORE,negative
Smooth and goodREAD MORE,positive
Battery drain is fast and also take very much storageREAD MORE,positive
Good 👍✅READ MORE,positive
Phone is so so good ...but battery drain is fastREAD MORE,negative
"Camera stabilization is not proper,It hangs during camera video photos clickingREAD MORE",negative
SmartREAD MORE,positive
WorstREAD MORE,negative
Software issues in the user interfaceREAD MORE,negative
Nice Camera Quality ❤️READ MORE,positive
Nice productsREAD MORE,positive
Battery backup only 3 hours very very bad experience oneplus 9 don't take flipkart itamsREAD MORE,negative
Massive camera performance really I love itREAD MORE,positive
"Very bad product and after sale service is very bad for customers ,please don't buy😡🤬🤬🤬🤬READ MORE",negative
Super good 👍😊READ MORE,positive
Good 👍READ MORE,positive
Camera not workingREAD MORE,negative
Good productREAD MORE,positive
The phone delivered worked erratically. Seller has not responded favourably  to complaints. Would not recommendREAD MORE,negative
Display touch problem and  mobile hearingREAD MORE,negative
heating too muchREAD MORE,negative
Everyone Don't Bye One Plus Wifi on but Call my Number not comingREAD MORE,negative
SuperREAD MORE,positive
"Camera not working. Batter takes 2 hours to get to 100%. OnePlus service centre says your guarantee Andes an year ago. I can handle this situation, it's just my time is getting wasted.READ MORE",negative
Camera is not well. Heating issueREAD MORE,negative
It has been less than a week and charger already stopped workingREAD MORE,negative
"Overall good performance, camera average , battery drain quick require twice charge a dayREAD MORE",positive
Awesome product...READ MORE,positive
Very good nice productREAD MORE,positive
NiceREAD MORE,positive
Good productREAD MORE,positive
Product is goodREAD MORE,positive
