review,sentiment_label
NiceREAD MORE,positive
Nice phoneREAD MORE,positive
Performance is better but night camera photos   is not goodREAD MORE,negative
Nice cameraREAD MORE,positive
Thanks one plusREAD MORE,positive
"Best camera phone in market right now,  battery performance is awesomeReview after using 1monthREAD MORE",positive
I using this Phone from last 2 months battery comes down bit fast but the charged very fast overall good 👍READ MORE,positive
EXCELLENTREAD MORE,positive
Nice phoneREAD MORE,positive
Awesome cameraREAD MORE,positive
Awesome cameraREAD MORE,positive
Super mobileREAD MORE,positive
Awesome 😎👍 Phone ColourCamera Quality is also BestBattery Performance Is also BestMy Gf also Love 💕 this phone😊READ MORE,positive
Thank u Flipkart ❤️. Just Love it  .READ MORE,positive
Excellent camera and performance.Thank you Flipkart.😘😘READ MORE,positive
Best phone for professional photographyREAD MORE,positive
Nice productREAD MORE,positive
Color is goodREAD MORE,positive
Worth for moneyREAD MORE,positive
Fantastic 😊READ MORE,positive
AwesomeREAD MORE,positive
NYC productREAD MORE,positive
SuperREAD MORE,positive
Camera quality 100%80Battery good.long lasting ❤Good display 🤗Sounds quality good 👌👌Net supar fast 🔥🔥🔥🔥Fast charging One plus 📱 So nice day ❤❤❤❤👌👌👌READ MORE,positive
Good one 🤩 I loved it.READ MORE,positive
Value for money PhoneBest Camera Clearity Good Battery BackupREAD MORE,positive
Amazing cameraREAD MORE,positive
"Camera is Good but not very good, Sometimes Blur effects is not working battery perfect, performance good, night camera is solidREAD MORE",negative
"Nice phone go for it , worth for money , nice performance ,...READ MORE",positive
",very very good product I am very very happy👍🤗👌READ MORE",positive
Camera is awesome 👍READ MORE,positive
Camera quality like dslr ... Superb phone.....READ MORE,positive
Wonderful mobile. Very nice.READ MORE,positive
Just wowREAD MORE,positive
Mind blowingREAD MORE,positive
SuperREAD MORE,positive
Amazing budget phone by OnePlusREAD MORE,positive
Good phoneREAD MORE,positive
"Phone 📷 is superb, performance, battery and charging is excellent in comparison with others within this price range.One more thing network catching and voice quality is very good 👍🏻READ MORE",positive
Overall good ❤READ MORE,positive
Thanku FlipkartREAD MORE,positive
Nice one ... everything okayREAD MORE,positive
NiceREAD MORE,positive
GoodREAD MORE,positive
Satisfaction with this phone..READ MORE,positive
Nice 😊READ MORE,positive
"Camera 🤳,👌and battery 🔋 goodREAD MORE",positive
Nice 👍👍👍👍READ MORE,positive
This price Sigment GoodREAD MORE,positive
Osm productREAD MORE,positive
Very impressiveREAD MORE,positive
"🥰 Happy for buying this ones+ phone , battery and performance is too good and also camera quality good....Mind blowing phone at this price point, thanks for filipcartREAD MORE",positive
Nice thank you FlipkartREAD MORE,positive
Night pics very good qualityREAD MORE,positive
In this price section this device is totally a beast.READ MORE,positive
Very goodREAD MORE,positive
"Good phone, at this price range. Camera is very good.Fast charging and battery performance is good.READ MORE",positive
Nice phoneI like itREAD MORE,positive
"Mind-blowing purchase,,,,,go for itREAD MORE",positive
This phone is so awesomeREAD MORE,positive
Its amazing phone.. with camera quality and battery backupREAD MORE,positive
Nice Phone 📱📱READ MORE,positive
GoodREAD MORE,positive
Excellent ❤️READ MORE,positive
Just now I received my phoneDesign & build quality is good according to price rangeCamera overall goodDisplay & performance is also good for normal usage (less heavy uses)Features are also very smooth It's my first day of usage so I'll edit my review after useThank you.READ MORE,positive
"A Midrange phone from OnePlus.Why I choose this phone is only because of the Brand value.We have more other options like Vivo T1 ,Realme 9,9pro , Oppo ,Motorola.But the OnePlus has their own premium feel The reason why I have given only 4 star:-1-The AMOLED display is not there.But it is not important.2- Wide angle lens is also not there.3- They have removed Alert slider.Other wise the phone is perfect. I am satisfied with this device 95%.You can go for it.The important thing is tha...READ MORE",positive
Best pn I loved it thankyouREAD MORE,positive
ExcellentREAD MORE,positive
Very good mobile good camera everything is good i love This  mobile phone❤️READ MORE,positive
"2k,4k not support, money wasteREAD MORE",negative
All good niceREAD MORE,positive
"Camera performance is much better than other mobile cameras, best Android camera with budget friendlyREAD MORE",positive
its really gud...READ MORE,positive
Nice cameraREAD MORE,positive
Good and best phone from OnePlusREAD MORE,positive
Such beautiful mobile... totally satisfied...camera  quality is superbREAD MORE,positive
Very good cameraREAD MORE,positive
Beautiful picturesREAD MORE,positive
Brilliant product ever ❤️‍🔥READ MORE,positive
Beautiful 🥰🥰READ MORE,positive
Thanks to one plus for this amazing phone.heart❤️❤️❤️❤️😍😍😍READ MORE,positive
GoodREAD MORE,positive
CoolREAD MORE,positive
im happyREAD MORE,positive
Amazing Mobile phoneREAD MORE,positive
One plus mobile design is good and best performance battery backup. And the display quality is good and touch screen is slim.READ MORE,positive
Super camera 📸READ MORE,positive
NYC productREAD MORE,positive
Good camera in light modeREAD MORE,positive
All function of this mobile very good and so beautiful cameraREAD MORE,positive
Camera quality is just amazingREAD MORE,positive
Veri niceREAD MORE,positive
Everything is goodREAD MORE,positive
Good cameraREAD MORE,positive
Super QualityREAD MORE,positive
SupperREAD MORE,positive
Outstanding 🤫READ MORE,positive
It was a good experience and my hand fell alsoREAD MORE,positive
GoodREAD MORE,positive
Good product is most likelyREAD MORE,positive
Osm Camera Quality ❤️‍🔥READ MORE,positive
"One of the best phone in this price with one plus branding.Rear camera is impressive,Front camera is not.Battery life lasts a day(heavy use)Charging is fastCan run heavy games smoothly tooREAD MORE",positive
Very nice phoneREAD MORE,positive
Good lookingREAD MORE,positive
AwesomeREAD MORE,positive
Best phoneREAD MORE,positive
Camera is good..battery draining fast after some days..speed is good no issue .. sound is also good but there is no dual speaker so what else u can expect.. overall it's a good phone in this price range of 20kREAD MORE,negative
GoodREAD MORE,positive
OnePlus good device and battery performance good and network connectivity very fast and camera quality good device  best of build quality thanks OnePlus 👍READ MORE,positive
Value for moneyREAD MORE,positive
Onpalas best diliree fast good 👍READ MORE,positive
Best performance battery 🔋 superb and I love oxygen OS build quality almost good go for it 😘READ MORE,positive
