review,sentiment_label
After 10 days of usagePros :Awesome cameraSuper smooth functioningCons:Battery back up thoda kamA little bit heating Everything will be fixed after updatesTotally buy this.READ MORE,positive
Satisfied with the product. Worth of money👍🏻👍🏻👍🏻READ MORE,positive
Night picture is awesome.total paisa vasool.READ MORE,positive
"I am writing this review after a week of usage. Camera works perfectly, screen runs smoothly and is bright. * You'll find it value for money. Affordable than most of the flagship phones available in the market.* You can play high end games efficiently. More graphic settings will be available soon. * Performance is nice and you can find it handy in your hands. * Battery is also good. Drain time is somewhat early but I am using it in full settings. Overall, you'll find it nice and premiu...READ MORE",positive
Camera quality is too good speciallyREAD MORE,positive
According  to value money  Carmea quality must change and upgrade...READ MORE,positive
It is best phone 🤳  iam so happy for this . Samsung can provide a case in the box 📦READ MORE,positive
"Good Delivery by Flipkart, This Device has some pros and consPros : 1] Full Day Battery Backup           2] Great Amoled Display + AOD + 120hz           3] Latest Popular OneUI 4.1 with Android 12           4] Stereo Dual Speakers           5] Great Cameras           6] Quick Charging 25W           7] Light In WeightCons : 1] Low Performing CPU GPU ( Exynos )            2] One of the stereo speaker sounds low            3] This Device Costs Too Much            4] No Headphone Jac...READ MORE",positive
The phone is much more then expected. Samsung has done a great job and improved the device experience. Price seemed very high however after using it for more than 1 month I would say It is worthy on this price as you get a lot of features that you won't get on any other phones of this price band. I would give 10 out of 10 to Samsung's OneUI user interface. Believe me it's the best phone I have ever had.READ MORE,positive
Excellent ..READ MORE,positive
Nice phone 📱READ MORE,positive
Awesome 👌READ MORE,positive
Camera Quality Battery Quality All Found Mobile is fine.READ MORE,positive
"Though a costlier mid range phone, bought it for its 4 major ander updatesREAD MORE",negative
Feeling over heat round front camera areaREAD MORE,negative
Super phone!! Highly recommended!!READ MORE,positive
Overall GudREAD MORE,positive
It doesn't look like the picture shown .back is plastic  which is cheap  looking and is camera is not upto the mark.Guys it's not advisable to buy this at this huge price.camera is ok .but battery easily gets heated.READ MORE,negative
The phone is good but charger is not included in this item A big drawback we have to search for the charger which is very costly in open marketREAD MORE,negative
It's good and premium qualityREAD MORE,positive
Worth itREAD MORE,positive
Nice.phoneREAD MORE,positive
3rd class nd worst  processor  ever ..the touching  sensitivity  is too low ..touch  problemREAD MORE,negative
Over all good product but looks boxy and feels not premium product at all that is the problemREAD MORE,negative
Very nice products 😘😘READ MORE,positive
"The phone has a prremium feel no doubt, but the c type earphone jack situation is just a tafd saddening. The phone has awkward glitches at times but feels solid to the hand, a bit heavy really, with a cover. But looks great. Will update the camera review once I have tested out everything with pictures.READ MORE",negative
"Its is a good phone, with very smooth screen scrolling and many cool features.  Still exploring the camera features.  The only difference I feel from my old Galaxy is the volume of ringtone is lesser.  In noisy surroundings, if the phone is in my bag, I can hardly hear the ringtone.READ MORE",positive
Battery issueREAD MORE,negative
Iam  purchase Samsung'sA53 85: charging not above..  chargingREAD MORE,negative
