review,sentiment_label
Reviewing after one month use Nice and handy phone with 6.4 displayCompact size.Camera 📷 is mind blowing 🔥🔥Battery life is okDisplay is amazing with victous glass protection which is best in marketFor normal use its a best phone with amazing features and customisationREAD MORE,positive
Awesome cameraREAD MORE,positive
Stunning camera performance mind blowing purchase.READ MORE,positive
Here's  a general all time camera samples .Best phone you can get around 30k ❤READ MORE,positive
"Using since last 10 days and super happy with the purchase, also prompt delivery by flipkart,what an amazing camera,display and lovely one UI,received immediate android 13 one UI 5 update,overall happy and satisfied with my purchase.READ MORE",positive
"It is a great mobile, its camera is exactly like a flagship, can not get a better mobile in this range.READ MORE",positive
Awesome phone. Loved the camera . Display is Awesome and beautiful. Buy it without  hesitatingREAD MORE,positive
I personally buy this phone for camera it is good but sometimes feeling need more optimisation and battery performance also good when we get refresh rate at standard it will go for long day 120 hz can drain ur battery easily and display is also very good sound was dolby atmos was very good soo finally experiencing flagship samsung mobile haptic feedback is also nice now slowly felling love with this mobileREAD MORE,positive
Very nice looking 👌 Very good camera Performance is good combination of exynosBattery is slightly better Yes it is worth for moneyREAD MORE,positive
Best camera.Super display. IP 68 rating.3 yrs Android updates.A good all rounder mobile.But missing fast charging compare with other mobiles in this price segment. It's ok for me.READ MORE,negative
Experience of this phone is totally awesome... camera quality is superb even with 30x zoom camera works well...best point is display... completely satisfied with the product ❤️READ MORE,positive
Superb phone. Camara a1.READ MORE,positive
Love itt 💓READ MORE,positive
SmoothREAD MORE,positive
Very very good 👍👍👍👍👍👍 camera 📸READ MORE,positive
SuperREAD MORE,positive
Superb phone I'm happy with my my purchase Camera is superb 📷 Nice looking and display 👌 Sound quality is good 👍READ MORE,positive
Design Good Camera is just awesome Battery is decent. For Normal user the Battery is enough for a day (who use phone 4-6 hour )Performance is Good If u want a phone for photography then it mind-blowing go for it 🥰READ MORE,positive
"Amazing phone , In love with its design and in hand feelCameras are good , Amazing software experience one UI ❤I was confused between iphone 13 and this.... but it offers telephoto lens that too with OIS and Endless customisation options in Android Battery is not that much bad ....can last a day easilySpeakers 🔊 are great and loud ..... Surround Dolby audio ...but lack bass a bitGo for it If you're getting it in under 40K Bang for buckREAD MORE",positive
"Amazing camera,  brilliant display, Wonderful UI, satisfactory battery performance.READ MORE",positive
Mind blowing cameraREAD MORE,positive
Best shots comes in daylight conditionOverall good phone at this price rangeCons.Poor battery backup you need to recharge the device twice a dayREAD MORE,negative
Fantastic mobile love ❤️ it and very fast delivery thank you flipkartREAD MORE,positive
Photos was next levelREAD MORE,positive
Nice performanceNice experienceI love ❤️ samsungREAD MORE,positive
Just ❤️ cameraREAD MORE,negative
"It's been 3-4 months using this phone. [UPDATED]Pros.1. I've bought 128GB variant out of that 128GB, 122GB is occupied by Apps, Videos, Photos etc... still 0% lagg. Working like a brand new.2. Unbeatable camera at this price, even some people ask are these pictures clicked from DSLR. Telephoto lens is capturing great pictures even in low light.3. Good quality of display.4. Feels premium as it's very sleek and light weight.5. Fast charging, charges the phone in 1 hour 10 minutes.6. Ram...READ MORE",positive
Terrific purchase..at best price..truly loved the camera experienceREAD MORE,positive
"Great camera ,display and design .Can handle multitasking with ease and very snapy for navigating between apps.Battery is decent.You can play any games but if you are buying a phone mainly focused on gaming there are better phones out there .This device is an underrated gem in this segment !READ MORE",positive
"Pros: flagship like features, camera is good, dosing is good, display 👌 Cons: front camera is good but could have been batter, battery 🔋 is good in shaving mode. But in normal mode it's very annoying 🙄. Overall this is a great deal in this price point. Never disappointed.READ MORE",positive
Best camera BTW there little bit heat in outdoor useREAD MORE,positive
"Review after using one month.Just one word, Outstanding. What a masterpiece by samsung. If you want to get premium phone under 50k Just go for it without any doubt. It clicks wonderful photos,runs smooth while playing games,no heat issue. Feels good in hand. Front cam is also awesome. Thank you flip kart for fast delivery.READ MORE",positive
"Very good phone with excellent camera and excellent display, I was bit scared of its network  reception but it warks like charm i'm continue getting 4g+ on my device with good speed..battery  could be better but u can get 6.5+ hr SOT easily with some customization ..READ MORE",positive
Wonderful product. Everything is extraordinary.READ MORE,positive
Awesome 👌READ MORE,positive
