review,sentiment_label
"Using the Galaxy F54 5G for more than 2 weeks now. For a casual user like me, with no gaming I'm really liking this device so far. The camera and display is top notch for me, you can check the shared camera samples. Battery is also pretty good. After using poco for 3 years I am loving the One UI experience so very much, already received a 1.1 gb OTA update. The only drawback for me is build quality, plastic frame and back is not really up to the mark and speaker would have been better as well.READ MORE",positive
"Excellent product but the price is high when compared with poco f5 5g. Otherwise a good product to buy.But after using for a week, I am observing the fast drain of battery with minimal usage which needs to be fixed.The camera is awesome and amazing  with beautiful and perfect OISREAD MORE",positive
Camera is amazing ......🤩🥰Display Awesome ✨✨✨ ✨READ MORE,positive
"Phone design and Camera clarity is nice.Battery backup is superb. Charging is good, if you use 25w charger.READ MORE",positive
Best phoneREAD MORE,positive
Good performance...for photography it is a right choice in this range...READ MORE,positive
Mobile become hot during charging Charging rate is too high need 2 and half hours to full chargeREAD MORE,negative
Perfect phone for daily use battery backup also Perfect big phone display all over best phone in this range for Samsung loverREAD MORE,positive
Production is good. Camera  quality  is not good it should be better overall good phone in this range.READ MORE,negative
"Design 7/10Display 9/10Performance 8.5/10Camera 9/10Battery 8/10Software 10/10Haptics and sound 7/101.No over heating after heavy gaming for hours2.Absolute fine RAM management3.Feels rare gitter with heavy usage but easy with     daily task4. Better software support from company regarding after sale service. Feels happy for 4 OS update5. Buying it under 28000 will be a great deal6. Buying separate Charging adaptor is some dependingBest alternatives are Samsung A34 , Samsung M3...READ MORE",positive
Very nice phoneREAD MORE,positive
Mobile is good but delivery pakeging badREAD MORE,negative
"Picture quality is impressive, but if you use 5G mode , battery is draining heavily  , phone is getting hot in multiple functioning. Expect a satisfactory features in this price segment from SamsungREAD MORE",negative
Value of moneyREAD MORE,positive
"Samsung Galaxy F54 display is awesome but little disappointed with battery management.. though having 6000 mah battery, it's drain faster than any other phones.. i have done battery saving settings yet i face battery management issue...Samsung must focus on this..READ MORE",negative
"Amazing Stardust silver colour,Great camera,large screen,Beautiful design,6000mAh Battery life. Rest I will upload after 10 days of use.READ MORE",positive
It's a better phone within this price range.. Good camera and display quality with good performanceREAD MORE,negative
Best productREAD MORE,positive
"Camera is Good, Macro are very GoodSome time heating when use more than 1 hour continuously, Features  are very Good.Overall Very Good PhoneREAD MORE",positive
Amazing Samsung F54. Beautiful design amazing performance worth buying. 👍READ MORE,positive
"1. Camera not good at this price segment phones 2. Even in today's time, Samsung phones are hanging and as soon as you click 30, 40 photos from this phone, it will get hot and hang3. Display is not as good as Samsung claimsREAD MORE",negative
Super 👌 👍 😍 🥰READ MORE,positive
Nice PhoneREAD MORE,positive
"Please Don't waste your hard earned money buying this item. Camera quality is worst, design and performance is so so. I tried to replace the phone in Flipkart, but it was rejected. There are many excellent alternatives available in the market, so take wise decision, don't be fooled like me..ThanksREAD MORE",negative
Battery performance is very bad according to 6000mah Battery. Phone is draining very fast without use.READ MORE,negative
