review,sentiment_label
Nice ProductREAD MORE,positive
Worst with battery charging. It takes 1 hr to get 10% of charging. Raised a complaint against to this. they cheated on us. There is no resolution given to me.Feeling so bad. I have gifted this to my dad. And they ruined it.READ MORE,negative
Very nice saipal screen recorderREAD MORE,positive
Very good smartphoneREAD MORE,positive
Very niceREAD MORE,positive
Good product usageREAD MORE,positive
Camera and speaker poor qualityREAD MORE,negative
Best displayREAD MORE,positive
Tuching and haging problemREAD MORE,negative
Best phone in this price segment 🥰READ MORE,positive
"Nice phone but, little screen touch problemREAD MORE",negative
Very nice and very helpful 👍READ MORE,positive
This product is really light weight and looking good  with its PLS LCD Display. With 4GB RAM this product operational time is less compare to the available other phones. The Rear Camera 13MP & 2MP are also very effective.READ MORE,positive
Very very good productREAD MORE,positive
Don't buy this product it's have heating issue and fast drainingREAD MORE,negative
This phone is too better than another mobile on this range..READ MORE,positive
bestREAD MORE,positive
Seems like a perfectly adequate smartphone for general use.Good priceREAD MORE,positive
This mobile has overheating issues and vedio quality is also not goodREAD MORE,negative
"Product really bad ,it's getting hanging, I buy 15 days only, Now only it's hanging and over eating, I recommend Don't buy it any moreREAD MORE",negative
Samsung low price mobile phone very nice value product Samsung 👌READ MORE,positive
It's goodREAD MORE,positive
Nice mobile..READ MORE,positive
It is good fr home mobile or else u cannot use it fr whole day because it is heating very easilyREAD MORE,positive
GoodREAD MORE,positive
Very light Phone .Design very goodBattery and camera very poor in this price.Charger given very poor .READ MORE,negative
Very very adorble product thanks flipkartREAD MORE,positive
Nice product . Good  for middle class budget. My previous  mobile was samsung J4 galaxy which was stolen in delhi market. That was also  really amazing. My Best wishes  to samsung that they always make Good  mobiles for middle class  family  budget. 😊👍READ MORE,positive
Wrost phoneREAD MORE,negative
Very worst product camara quality very badREAD MORE,negative
Good productREAD MORE,positive
Horrible mobile. Not up to the mark. Purchase those who needs cheap phone. Camera is of very low quality😟READ MORE,negative
Nice decision to buy this budget smartphone.READ MORE,positive
Not a good productREAD MORE,negative
"Charging problems, Full charge required more than 6hrsREAD MORE",negative
The mobile is awesome 👍😎READ MORE,positive
Have 4gb 64 gb but not works like 2 gb 16 gbREAD MORE,negative
"According to price, good mobile phone. Bought it for mom.READ MORE",positive
Processor very poor..READ MORE,negative
Such a delicate phone just slipped from bed of 2-1/2 feet. Screen cracked. I have never seen such a useless phone. Just in 4 months the phone has become uselessREAD MORE,negative
This mobile hanging........READ MORE,positive
One Of Wrost Product Of Samsung With low performance.READ MORE,negative
Not good..phone is getting heat and facing screen touch problemREAD MORE,negative
Awesome budget phone. Works great for all basic functionalities.  At this price point no other phone has 4GB RAM and 64GB Memory specifications.READ MORE,positive
Very Awesome productREAD MORE,positive
It's a good mobile but battery just gets heated very fastlyREAD MORE,negative
Heating too much after 5min of use...READ MORE,negative
GoodREAD MORE,positive
Very niceREAD MORE,positive
NiceREAD MORE,positive
GoodREAD MORE,positive
Very niceREAD MORE,positive
Very nice lookingREAD MORE,positive
Better product this price i m impressedREAD MORE,positive
Good productREAD MORE,positive
Nice at this priceREAD MORE,positive
Very niceREAD MORE,positive
SuperREAD MORE,positive
bestREAD MORE,positive
Bad product uselessREAD MORE,negative
Nice phone I buy it for my parents. They just loved it.READ MORE,positive
"Charging is very slow, camera is quality wrost? Wrost money in this mobile so don't buy this mobileREAD MORE",negative
Good 👍READ MORE,positive
Not badREAD MORE,positive
"Don't buy this phone, first day software issueREAD MORE",negative
Nice phoneREAD MORE,positive
Nice product very nice designsREAD MORE,positive
Product is good but camera is badREAD MORE,negative
Tooo slowREAD MORE,negative
I appreciate your products and services provided by youREAD MORE,positive
SuperREAD MORE,positive
NiceREAD MORE,positive
Value for moneyREAD MORE,positive
Not bad good productREAD MORE,positive
slow charging it's a problemREAD MORE,negative
Very nice phn super batery backupREAD MORE,positive
Good!READ MORE,positive
Excellent product in this budgetREAD MORE,positive
Good for this priceREAD MORE,positive
Worth for the amount.READ MORE,positive
Great 👍READ MORE,positive
It taken 4 + hours for full chargeREAD MORE,positive
Very goodREAD MORE,positive
Just okREAD MORE,positive
Veri slow  changeREAD MORE,negative
Very very good product in this priceREAD MORE,positive
HangREAD MORE,negative
ExcellentREAD MORE,positive
Good productREAD MORE,positive
Excellent mobile with good budgetREAD MORE,positive
Very GoodREAD MORE,positive
Not working properlyREAD MORE,negative
Not goodREAD MORE,negative
NiceREAD MORE,positive
Ok Good Worth of moneyREAD MORE,positive
SuperbREAD MORE,positive
Superb QualityREAD MORE,positive
NiceREAD MORE,positive
GoodREAD MORE,positive
GoodREAD MORE,positive
SexyREAD MORE,positive
Battery level in very poorREAD MORE,negative
SuperREAD MORE,positive
All is good  👍READ MORE,positive
Must haiREAD MORE,positive
On avrageREAD MORE,positive
1) The battery takes 3 and Half hours to get full charge.2) Both front and Back Camera Quality not good.3) Display is Good4) DisappointedREAD MORE,negative
OkREAD MORE,positive
SupREAD MORE,positive
SuperREAD MORE,positive
Charger and product both are heat when charging timeREAD MORE,negative
Very worst phone.i hate Flipkart 😡😡😡READ MORE,negative
Very bad productREAD MORE,negative
Super phoneREAD MORE,positive
good built qualityREAD MORE,positive
GoodREAD MORE,positive
Product is not workingREAD MORE,negative
Good productREAD MORE,positive
Super and thank u flipkartREAD MORE,positive
Not bad 😩READ MORE,negative
Nice mobileREAD MORE,positive
GoodREAD MORE,positive
Very nice product  Flipkart ke barkar very fast responseREAD MORE,positive
Nice of the mobile in good conditionREAD MORE,positive
Nice productREAD MORE,positive
GoodREAD MORE,positive
Just niceREAD MORE,positive
Very niceREAD MORE,positive
SuperREAD MORE,positive
GoodREAD MORE,positive
GoodREAD MORE,positive
Super budget phoneREAD MORE,negative
Very good product 👌 👍READ MORE,positive
Hi goodREAD MORE,positive
SuperbREAD MORE,positive
Good product 👍READ MORE,positive
Good phoneREAD MORE,positive
Very niceREAD MORE,positive
GoodREAD MORE,positive
Not goodREAD MORE,negative
Good for an average user. Like parents.READ MORE,negative
Very goodREAD MORE,positive
Nice product for cheapest price really good phoneREAD MORE,positive
Pathetic phone.READ MORE,negative
NiceREAD MORE,positive
SuperREAD MORE,positive
Network capacity very lowREAD MORE,negative
VERY GOODREAD MORE,positive
HankREAD MORE,positive
Nice phoneREAD MORE,positive
superREAD MORE,positive
Good product 👌READ MORE,positive
Nice product...READ MORE,positive
GoodREAD MORE,positive
not good at allREAD MORE,negative
SatisfiedREAD MORE,positive
OsmREAD MORE,positive
I m fully satisfied with phoneREAD MORE,positive
"Nice product,but the charger cable provided with the phone is quite smallREAD MORE",negative
Nice product 👍💕👍💕READ MORE,positive
"Overheating, hang.owen start.poor CamaraREAD MORE",negative
v niceREAD MORE,positive
GoodREAD MORE,positive
That's okREAD MORE,positive
Best camara batteryREAD MORE,positive
over heating issueREAD MORE,negative
Don't Buy It Product is Outdated and Very SlowREAD MORE,negative
ExcellentREAD MORE,positive
OkREAD MORE,positive
Valo phone khub valo smudlyREAD MORE,negative
Value for money performance is goodREAD MORE,positive
It's product is a super 👌READ MORE,positive
WorstREAD MORE,negative
Best valuable mobile 😄😄READ MORE,positive
After 7 days of purchase phone's screen has stop working .....READ MORE,negative
It's a very nice productREAD MORE,positive
You mobile not working ☹️READ MORE,negative
SuperbREAD MORE,positive
GoodREAD MORE,positive
Worst ever battery performanceREAD MORE,negative
GoodREAD MORE,positive
GoodREAD MORE,positive
Chief and bestREAD MORE,positive
Value of moneyREAD MORE,positive
Very niceREAD MORE,positive
superbREAD MORE,positive
It's bad bcz phone signal lost and bad smoothnessDon't buy it also bad packageREAD MORE,negative
GoodREAD MORE,positive
OKREAD MORE,positive
Overall NiceREAD MORE,positive
Phone is heating upREAD MORE,negative
Very Nice product Thank  Flipkart.READ MORE,positive
Best Samsung Mobile in Budget.READ MORE,positive
GoodREAD MORE,positive
Camera function is not properREAD MORE,negative
GudREAD MORE,positive
It's ok for my mom❤️READ MORE,negative
Good foneREAD MORE,positive
Awesome mobile for normal use 👍READ MORE,positive
GoodREAD MORE,positive
Best phone in 9k budget. 👌READ MORE,positive
Very nice product best mobileREAD MORE,positive
In less price Item is good.READ MORE,positive
Good 👍👍READ MORE,positive
Very fine thanksREAD MORE,positive
"It's horrible,,worst product ever,,i wish nobody should buy this phone,charging time is too long and have so much sound problemREAD MORE",negative
Excellent 👍READ MORE,positive
"Very bad product , always getting stuck even UI stopped working for 15 mts.READ MORE",negative
"The sound level is vey low within a month of buying the phone. We have tried all fixes, clearly it is a hardware issue. Pathetic!!READ MORE",negative
Best design in this price segment.READ MORE,positive
totally waste of Money.READ MORE,negative
Tottaly waste of money if you are purchase this itemREAD MORE,negative
Very goodREAD MORE,positive
Okk good! But I expect moreREAD MORE,positive
goodREAD MORE,positive
Wery niceREAD MORE,positive
Phone is not working properlyREAD MORE,negative
Very bad experience......READ MORE,negative
GoodREAD MORE,positive
Good at this priceREAD MORE,positive
Phone touch is goodREAD MORE,positive
It's amazing 👍👍👍READ MORE,positive
Good productREAD MORE,positive
