review,sentiment_label
Amazing display. Camera is good.3x optical zoom is very helpful .Looks premium in green colour.READ MORE,positive
"Pro grade camera, battery backup is slightly less. Rest overall Performance  are tremendous.READ MORE",positive
"Camera experience is awesome, night mode is also pretty cool, video quality is out of the world, Phone Works like butter,Design feels premium , I very much like the matte finish in the back .. Green color is pretty sick 😬Main issue for me is not having the charger 😒Battery drains quite fast tho good for moderate use  P.s. Flipkart service is just dope..got delivered prior to estimated time 😘READ MORE",negative
"I only have one word for it: Mind-blowing. If you can afford it, just go for it.READ MORE",positive
Spectacular camera along with decent performance.READ MORE,positive
"Excellent Dark photography in Normal Mode only.🥰Sometimes camera gets overexposed and is not able to cover Light areas, but after post processing, things are very sharp and clear.Also, got a 30x Moon Shot. 😍Selfie Camera could have been a little more than 10MP when investing in a 8Gen1 phone and greater price. Performance mode lets me choose which tier of processor to unlock.Overall, I am very pleased with S22 Plus.Also, I heard of Samsungs greatest news of 4 years of Android upgrade t...READ MORE",positive
Beast CameraREAD MORE,positive
Best cameraREAD MORE,positive
Awesome experience after upgrading to S22 PLUS from M31. Good camera with high end experienceREAD MORE,positive
Kidilam phone.  I like so much🥰READ MORE,positive
I uploaded one photo of the day and one of night just so you get a good idea of the quality.I love this device.It has its own pros and cons but it works for me.READ MORE,positive
Superb ExperienceREAD MORE,positive
Love with this smartphone in every aspect.Delivered in just 2 days.The best Part of this smartphone is CAMERA it is the most powerful camera setup after S22 ULTRA.3X optical Zoom is just Wow i have clicked each pic with 3X onlyWhat a quality 😍10MP Front Camera is Awesome.Battery backup is just okay can easily provide around 6hours of Screen On Time. 1 Day Battery Life with Moderate Use.Charging Speed is very Fast Use 45 WATT charger But No major difference in charging time comapare ...READ MORE,positive
"Usage:I was worried while buying that if heating issue will appear after buying due to SD Gen1. But after buying let me tell you for normal/Business users you will not face any heating issue. Software is very nicely optimized. It's a good phone with good display, decent charge for one day, good OS, good camara and a promise of 4 yrs of OS updates. I really like this phone.READ MORE",positive
"Samsung You beauty 💋The phone is just amazing.The camera is the best part,  better than iphone 13Have tested it in every aspect whether photos or videos. It just beats the iphone 13 except for the video at 1x in daylight , the video of iphone 13 is more clear at 1x.The portrait cutout of Samsung is better than every iphone on earth.The looks and build quality are top notch.Battery life is decent.Speakers are premium and sound really clear and loud.The display is beautiful.I'm loving...READ MORE",positive
"It might not have the wow factor of the Galaxy S22 Ultra, but don't make the mistake of overlooking the Galaxy S22 Plus. It's every bit a premium device and outperforms its siblings in some key areas. The Galaxy S22 Plus is one of Samsung's very best and the top Android phone to beat for those who don't need a stylus.Excellent displayPowerful camera packageSolid battery lifePremium hardwareTop-notch performanceThe best software support on any Android phoneREAD MORE",positive
"Superb 😁Excellent 😁. My first Samsung Android phone. Many who sounds much about less battery backup, my suggestion is to be updated with latest OS version and you set the refresh rate as 60hz. No need to use 120hz, because 60hz is enough with snapdragon 8gen1. After 5 days observation the outcome of the phone is as follows:Battery: 5/5 after getting update on 01/10/22Camera: 5/5Design: 5/5Performance: 5/5READ MORE",positive
"Outstanding camera, captures small details even on shaking hand.READ MORE",positive
Looks fabulous.. Delivered within a day in BBD. Confused between iphone 13 and s22+ but the screen is so amazing and bezzles are almost negligible.It will heat when you setup the phone but after that it cooled down and even during recharge it was cool.Wont talk about performance it should be smooth.READ MORE,positive
It's Beast phone ..Just go for it you will love it.❤️👌😍READ MORE,positive
"S22 plus is a killer deal in 2023 cuz it's a lot cheaper and it will still get 3 more android updates.I have used the phone for almost 3 months now and here's a small review:Camera:- It's just outstanding. The photos this phone can take will blow your mind!! I am gonna attach some photos I took from it have a look.Display:- As it's Samsung, no complains great display.Battery:- Probably the only mediocre aspect of this phone. It's not terrible, samsung has been able to control this ang...READ MORE",negative
"Initially i was ready to buy iphone 13. But after watching reviews and all, i think this is an upgrade over iphone. Perfect product in Android lineup. No nonsense device with a lot to offer than an iPhone at this price range. Perfect camera. Awesome screen quality. Awesome performance, sound quality. Added customisation in OneUI. Overall nothing left to complain. Attaching some photos sample for camera quality check. Just look at the color science.READ MORE",positive
"Ordered on 23rd September, received a day prior than estimated. Thanks to timely delivery by Flipkart. Coming to the smartphone itself, the device is a perfect all-rounder with a beautiful display and exceptional set of cameras. Snapdragon 8 gen 1 chipset with well optimized OneUI, gives the smoothest user experience. The battery life is healthy, with the phone lasting a day and a half with moderate use, and easily a day with heavy use. Go with it eye closed. Cheers,AshKREAD MORE",positive
"The best smartphone I've owned till date. It has one of the best display in a smartphone at the time. The camera performs excellent. I really loved the camera of this smartphone. I'm getting a screen on time of 7 hours, which is outstanding battery performance for a flagship. The overall build of this phone is just too good, way more comfortable to hold and use it. So the overall experience is excellent. I would recommend anyone to go for it.READ MORE",positive
"Excellent camera, design, screen and in hand feel. But heats a lot even after updates.READ MORE",negative
"I switched from i phone 14 to s22+ Best phone ever , best for photography and videography better than iphoneREAD MORE",positive
"Excellent camera quality , but it lags if you play high settings game on this device as I have upgraded my device from one plus 7t . Samsung is Excellent in providing software update so this device future proof for atleast 4 years from now on.READ MORE",negative
Best phone in flagship  segment good quality  pics  and display is fantastic altogether nice...READ MORE,positive
"Camera experience is awesome, night mode is alsopretty cool, video quality is goodPhone Works like butter,Design feels premiumI very much like the matte finish in the back.Black color is pretty sickMain issue for me is not having the chargerBattery drains quite fast tho good for moderate useREAD MORE",positive
Best camera..... go for it this season is amazing offer on s22+😉👈READ MORE,positive
Better then iphone 13 in every aspect...camera and display are fabulous..gone are the dayes when iphone were Better in camera..now samsung is king..design is also attractive 👌 Vishnu sharma from Greater NoidaREAD MORE,positive
Awesome.....Nice Display... Decent Battery ... Nice Performance... Back camera wonderful... but selfie need some little improvement.....READ MORE,positive
I bought this phone after a lot of contemplation and I must say that it has exceeded my expectations. The pros and cons according to me arePros: 1)Excellent Camera.2)Superb Build quality.3)Absolutely wonderful display.4) Snapdragon 8 gen 1 is super smooth.5) Loved One UI and Samsung's promise of 4 years of major Android update and 5 years of security update. This phone will get till Android 16. Cons:1) Battery life could have been better.2) Could have provided a 45W charging brick....READ MORE,positive
"Awasome Mobile, every thing is good, most of the people compaint regarding battery life. But if change refresh rate from 120 to 60, battery life is going to improve. And one more thing, disable fast charging, charge mobile with reglular way. It definatly improve battery life.This is best mobile, If budget is no issue, then definatly it is the best deal.READ MORE",negative
"S22+ is one of the best Android smartphone money can buy right now.Loving it. The white color is just mesmerizing, build quality and the OS experience is very premium. If you have a budget around 60k then this phone is a better option among others. The size is perfect, the falt screen is just awesome, OS is food, phone works like butter. Overall a very good smartphone, Got a deal of 53k with all the casbacks during BBD sale.Go for it!READ MORE",positive
