review,sentiment_label
Magic remote is awesomeTV superfastPictures quality look like 3D😅I'm not disappointed with sound it is ok Delivery and installation done by same day.And i suggest people who looking TV in LG 32 and their budget is under 20k so go with this product.READ MORE,positive
Good ProductREAD MORE,positive
excellent picture quality Excellent sound qualityBut only one small mistakeSingle star rating .... 😔😥😭READ MORE,positive
"Purchased after lot of research. Went to offline stores to test the picture quality.  Trust me, no one can beat Lg in terms of picture quality except sony. This model having excellent picture quality . Web Os is fast . Only concern is limited apps. But aprt from this worth purchase. IPS panel will blow your mind, it is far better than VA panelREAD MORE",positive
SuperREAD MORE,positive
Best productREAD MORE,positive
Good with Flipkart delivery but installation was delayed And about TV it was good enough. Magic remote is simply awesome to use makes navigation and selection much easierREAD MORE,positive
Wow 🤩 I love lg super good quality good picture thanks flipkartREAD MORE,positive
"Good picture quality, speaker is 10w but sound is good, AI picture quality. Different sound mode and picture.READ MORE",negative
"Awesome good quality Delivery boy is nice delivery, we are so happy to purchase to the product lg smart TV with new 2022 model thankyou FlipkartREAD MORE",positive
Picture quality *****Sound ****OS ****Remote *****READ MORE,positive
Nice 👍 T.V performance GoodREAD MORE,positive
Delivery -it was prompt and good condition delivery 🚚On the same day I decided to call LG and they SCHEDULED MY INSTALLATION JUST NEXT DAY ITSELF 😁TV- picture quality is good it doesn't seems like 720p it is very clear quality.READ MORE,positive
Nice tv from lg..This magic Remote control is very good..Sound quality is average 10 watts is not bad..Picture quality is also good..READ MORE,positive
Great value for money. Got extended warranty for 2 more years from LG at 2.8k making it total 5 years.Installation guy came with wall mounting unit. It was done free of charge. Installation was awesome and done on very next day. Magic remote is a big USP against other TVs. It helps in easy navigation. Picture quality is good. Sound is good.WebOs is very user friendly and does not lag.Flipkart has sent a latest manufactured unit from Aug 2022.READ MORE,positive
Quality is very good in this price range..Higley recommende it..READ MORE,positive
Value for money.READ MORE,positive
"Very good product from LG👍,speakers only 10 watts, connect additional Speakers for more experience....READ MORE",positive
Nice productREAD MORE,positive
Best in segment Value for moneyRecommend to buy without any doubt Review by me1 month afterREAD MORE,positive
"It's a very good Smart TV from LG. It's Picture quality as HD Ready is awesome and also it's sound quality is also very good by 10 watt speaker. It's features is also good. It's 178 degree angle wall mount is superb. There was no lagging I saw in this Smart Tv. I want to give 4.5 out of 5 for it's Picture, sound quality and other smart features.READ MORE",positive
Very niceREAD MORE,positive
Over all tv goodSoftware awesomeWeb os is more faster than Android and tizen osTv remote👌👌👌 ❤❤READ MORE,positive
Best product with in a good price... Picture quality is very nice... Sound quality is osm... Connectivity is too good... U can buy it without doubting... 👌🏻READ MORE,positive
"At this price range, this product has everything: Bluray video support, Bluetooth, Magic Remote, WebOS, Wifi, Game optimizer, 45 watts power consumption, 2022 latest Model, and Supports Major OTT apps. I feel the sound on this TV is more than enough if I use it at High volume. Overall a 'KING' at this price range.READ MORE",positive
"On time delivery and same day installation, Amazing TV ....I love it. Thanks to all.READ MORE",positive
"The product is delivered nearly 10 days before expected delivery date. Product is good as shown in description. Picture quality, sound  are good. Magic remote is very handy while browsing ott content. Overall, with respect to tv, LG is LGREAD MORE",positive
Rate is gudREAD MORE,negative
Sometimes TV not starts. Sometimes sounds go off. I have to plug out and plug in for solving this issue. Money wasted on this product.READ MORE,negative
"Awesome purchaseI was not sure of online purchase of tv , bit filpkart assuranced delivery and company installation was completed on time . So happy in this purchase.READ MORE",positive
Very good product & picture quality also are good. Must buy this ledValue for moneyREAD MORE,positive
Really smart good connectivity but head phone jack not working. Otherwise it's a good TV.READ MORE,negative
Very nice quality and picture viewing many option there sound also many option there magical remote awesome😊READ MORE,positive
This LG smart TV really awesome and it's remote control future too good and it's quality is very good.READ MORE,positive
Everything is gr8READ MORE,positive
Average TV. Picture is not good even with 4k video. Sound is average.READ MORE,negative
Good  picture  quality and soundREAD MORE,positive
Awesome product 👌READ MORE,positive
I really like the products of LG company.READ MORE,positive
"Everything is nice , just sound quality is slightly low and sound is less.READ MORE",negative
