review,sentiment_label
Mind Blowing Picture Quality..READ MORE,positive
"Great picture quality, very Crips and crystal clear., sound quality is good but it's not adequate for living room of size 10x17, probably will need soundbar for it. WebOS is good, it's bit slow but it's almost same for other os as well. Having some issue connecting via airplay to MacBook, will need to troubleshoot it. Screencast works seemlessly. Screen viewing angle is awesome, there is very slight color change when we see from sideways (>170 viewing angle)READ MORE",positive
Good quality 😊😊READ MORE,positive
Very nice product display quality is awesome Magic remote is very niceSound quality is good I recommend all of you can purchase this tvREAD MORE,positive
SuperREAD MORE,positive
Review after 6 month using software laging and Google and alexa not working properly. Display quality super soundbar required.READ MORE,negative
OH MY GOD.. IT'S REALY AMAZING PICTURES QUALITY... LOOKING LIKE PRIMIUM PICTURE QUALITY..4K VIDEO ARE AMAZING COLOURS QUALITY & HIGH DEFINITION VIEWS.. ITS SOND QUALITY NORMAL LOW BUT QUALITY IS PRIMIUM..ALSO AMAZING ALL APPS  & ALSO AVAILABLE BLOOTOOTH CONNECTIVITY.MAGIC REMOTE IS AWESOME .I AM USED WIFI IN MY HOME SO I CANT USED CABLE CHANNELS..LG THIS LED BATTER TO SONY BRAVIA .. I AM VERY HAPPY TO FLIPKART GIVING ME BIG DISCOUNT & OFFER PRICE ..READ MORE,positive
Very perfect at quality and good at sound.READ MORE,positive
"Writting this review after 3 month of use. The product is worth the price I bought at. Picture quality is pretty neat, though sound is lower as compared to its counter part from SONY.LG store is a good platform for app download. AI feature is a good one. The smart remote with cursor feature is pretty handy to use once you are habitual with it. The product has almost all the features of a SMART television.Overall satisfied and worth recommending.READ MORE",positive
Really happy with the purchase. Packaging was great and it came on time. LG service person contacted at the same day and installed the wall mount.Clarity is way better than regular 4K TVs. Smart features are nice and has enough storage for new apps. New smart remote is really nice and thinner than the previous one.Overall a great product. Go for it.READ MORE,positive
"Picture quality is awesome.Dolby Atmos: Supported by external atmos speakers through hdmi eArc port(hdmi 2)Netflix: 4k,UHD,HDR unlocked expect dolby vision but this tv does not need dolby vision at all. Dolby atmos unlocks when you connect respective dolby atmos speaker through eArc only.Hotstar: All available video qualities unlocked.Voot kids is not available in app store.For Gamers: Awesome features are there. Supports 120hz refresh rate, low latency, special Game optimiser featur...READ MORE",positive
VA panel. Hence viewing angles are not good. Till 34-40 degree it's good then it changes drastically. Skin tons fade away.READ MORE,negative
"Great product. Better picture quality than UHD. I have Lg OLED tv also. Nanocell is nowhere close to OLED. But Nanocell is far better than UHD. Sound quality is perfect. Overall a happy purchase, go for it.READ MORE",positive
"Excellent picture quality ,speaker is very nice sound , crystal clear sound, i like magic remote,READ MORE",positive
I'll be straight to the point. All of us are here for a good and value for money option. So if you are looking for a 4k smart TV with the given specification. Look no further. Superb picture clarity and I mean smashing. Great connectivity option and smooth mirror casting with the applicable application.Even though the TV's price wad 49k. I got it for 43k and I'll suggest you guys to wait for such an opportunity because at that price range you won't get much better TV. LG are the market leade...READ MORE,positive
"Hope, this 2021 model display is not IPS panel, Viewing angle worst, u have to watch straight 90 degree to get colour / clarity. First time very bad experience with LG.Otherwise Connectivity and audio is better.READ MORE",negative
Display is good but sound quality is average and ok ok. You might need a home theatre speaker system or a sound bar to attach to it for better sound quality. Delivery and installation was perfect.Some apps are not available on WebOS so that is a negative. LG must get the missing popular apps soon on WebOS so that we do not need to arrange for any external device for the missing OTT apps.READ MORE,negative
This model tv very good product thanks to LG and FlipkartREAD MORE,positive
Good picture quality but the problem is  viewing angle  It is not upto the mark If you watch from a side everything looks over brightREAD MORE,negative
Value for MoneyClear picture. If you are looking between LG UP8000 Vs Nano pls go for Nano. Loud Sound no need of sound bar. I am running with 25% of volume Clear picture viewing angle is good Installation I had to follow with LG. Suggest others to call LG. Installation I'll be Done within a dayREAD MORE,positive
Nice one .... From lgPicture quality awesome4k upscale niceCinema viewing superb...READ MORE,positive
The panel has some side edge space and it is irritating to seeREAD MORE,negative
NiceREAD MORE,positive
If you have a soundbar and want a TV for good picture quality then this TV is a gem. Only problem is I am not able to screen cast my I phone 12 don't know why .. overall it's a very good TV in this range.READ MORE,positive
Side agle experience is very bad still all good picture quality is very good and sound avgREAD MORE,positive
There’s A lot to speak about this product. Lg at its bestREAD MORE,positive
Viewing angle experience is very bad rest all is good.READ MORE,negative
GoodREAD MORE,positive
Totally genuine and latest piece provided with jan 22manf. Got a Great discounts. Thanks Flipkart. About the product truly great picture quality with good sound outputREAD MORE,positive
Satisfied with picture quality and audio qualityREAD MORE,positive
Love ❤ it... No better option go for it..READ MORE,positive
"Cheap quality panels , only single person sitting exact front can see true colors and other sitting next need to buy another TV , it's a big manufacturing blunder from LG for this model. Poor Picture processing 4K is a dream this TV is only good for SD Quality pictures.People using SD set top box of free dish box will not see any issue with TV.READ MORE",negative
"It’s a below average product in the name of Nanocell, I made a mistake of going with brand and the so-called claims that the product is close to OLED based on some propriety technology.I was not convinced with WebOS at the first place compared to android yet went ahead with it on the false claims of picture quality of Nanocell.Multiple issues, its not an IPS panel that is provided on 55-inch, brightness levels are too poor for the TV to be used in a room with window.The colour reproduction...READ MORE",negative
"I am Big fan for LG products, but not this time. Do not buy this Product. Worst viewing angle. All 2021 LG models uses cheap panel, they are not IPS panels. Video processing is also very slow.READ MORE",negative
It's worth every pinney.READ MORE,positive
"Overall experience is good. I like the color and and build quality. Software seems little lagging specially while using the remote. Sound is okay, however I feel it need sound bar for better sound quality.READ MORE",negative
Awesome... No one can beat LG Products... Picture Quality -5/5 Sound - 5/5Connectivity - 5/5Magic Remote - 5/5READ MORE,positive
Value for money 5*READ MORE,positive
Every thing is upto mark only it lacks that it doesent show pictures on full screen n only cinematic mood where as in sony it shows on full screen and has zoom facality to fit to screenREAD MORE,positive
Product was fine and delivery and installation was also suitable but the price was too high as compared to other online platforms.READ MORE,negative
It's a very nice product..and thank you flipkart for on time delivery and installation..READ MORE,positive
ExcellentREAD MORE,positive
Life's good product. Go for it.READ MORE,positive
It has good sound and video quality...I had bad experience for installation... technician was not able to fix it on wall mount... overall it's a good pick..READ MORE,positive
A steal at this price from LG.... Go for itREAD MORE,positive
Expected its a IPS Panel.. but it's a VA Panel.. disappointedREAD MORE,negative
Viewing angle is more like 120 D from end and sound is low.Rest all features are good but at this price u should have a decent sound and a good viewing angle.The above issues are happening for Standard Definition videos and sound issue is with Tata sky/DishTVREAD MORE,negative
Neno cell is best technology at reliable budget.Picture quality is very good. Connectivity is good But sound quality is ok. If it has dolby sound Product is pro max.But if use with home theatere awesomeREAD MORE,positive
"Picture quality good, but screen not ipsREAD MORE",negative
In WATCHING HDR CONTENTS VISIBLITY IA VERY LOWREAD MORE,negative
Experience to very good Good picture quality Sounds qualityREAD MORE,positive
Just ok don’t expect more than this average tv just brand name forced me to buy when we see TV from side angle picture totally become blur if you don’t have budget you can go for thisREAD MORE,negative
Very bad viewing angleREAD MORE,negative
"LG TV is best buy,READ MORE",positive
Superb tvREAD MORE,positive
Initially I was hesitant to purchase but this is just an awesome. Loved the magic remote. You will find all the familiar apps from webos softwareREAD MORE,positive
"Wanted to change my 13 years old LCD. Went through numerous articles on types of TVs and reviews on Flipkart. Chose LG NanoCell over other brands for following reasons:1. Brand value, LG is known for quality products.2. NanoCell is more advanced technology than 4k UHD TVs available in the market.3. Fits into the budget.4. Picture quality is good.5. Sound quality is good but haven't used it much as mine is connected to a soundbar via eARC HDMI available in the TV.6. Installation was time...READ MORE",positive
Picture quality is good and sound quality is worstREAD MORE,negative
Misleading product images... The bazels are not as thin as shown in the images... Otherwise TV is fineREAD MORE,negative
Display and sound excellent quality but lit bit slow for 1.5gb ramREAD MORE,negative
Improved Picture Quality with Nano CellAI works wellWebOS has good interfacesound quality is goodREAD MORE,positive
Amazing pictures qualityREAD MORE,positive
Good buyREAD MORE,positive
GoodREAD MORE,positive
Good productREAD MORE,positive
Awesome product. Must purchase it❤❤❤READ MORE,positive
So far Awesome Experience.READ MORE,positive
Good one pic quality is good but sounds not up to the level but ok overall it’s goodREAD MORE,positive
Super clarityREAD MORE,positive
Everything is awesome..... Sound quality can be loud...READ MORE,positive
Value for money product. Much better from similar options like MI qled n One plus u seriesREAD MORE,positive
"Television picture quality is amazing, installation was superfast, Only problem I am facing is sound, music & background sound is too good but voice of artist's is too low even in full sound u hardly hear anything, Rest TV is wonderful,just buy it ,you will not regret your choiceREAD MORE",positive
Sound quality snd Display is superREAD MORE,positive
Good delivery person no issues tqREAD MORE,positive
"TV have only 8GB ROM available most times it lags in switching to other apps, app support is very less, very limited app access, dont have Airtel Xstream and other good apps, picture quality is ok but it's like what they showed in commercial that it has 3 viewing anglesREAD MORE",negative
Good soundREAD MORE,positive
Good product. Highly recommended.READ MORE,positive
Excellent productREAD MORE,positive
SuperbREAD MORE,positive
Nano cell is different Category Tv from normal 4k .Awesome picture and sound . Go for it .READ MORE,positive
Best in this range. Just go for it blindlyREAD MORE,positive
"Picture quality is not good it's blure, but sound is good. TV panel is not IPS support so if you purchase good quality of  pictures don't buy it .READ MORE",negative
"The tv is good, but it has poor sound quality and requires the volume to be very high. Tried all the sound setting options, but the output is not consistent. My previous Samsung TV was much better.The viewing angle is very less. As you see the screen from an angle, the color brightness goes away. You have the be seated in front only for best experienceREAD MORE",negative
Picture quality is not good also pannal  is very cheep3 time i Changed tv lg did not saport .only Flipkart saport meREAD MORE,negative
"Wonderful TV. Picture, sound quality and internet connectivity - PERFECT in all aspects. Very happy with this purchase !!!READ MORE",positive
Picture quality is too goodREAD MORE,positive
Super quality & super sound 👌READ MORE,positive
Awesome picture quality and sound quality !Remote control also good.READ MORE,positive
Just go for it...u wl never regret..READ MORE,positive
GoodREAD MORE,positive
Very goodREAD MORE,positive
Viewing angle worst.I hated for thisREAD MORE,negative
Total performance was good except sound..Need to take sound barREAD MORE,positive
Your service is very nice. Thanks to filfkartREAD MORE,positive
RecommendedREAD MORE,positive
It's a great product.READ MORE,positive
"Decent buy, worth for the moneyREAD MORE",positive
Very nice TV 👍👍👍😇😇😇READ MORE,positive
Good but installation is worstREAD MORE,negative
GoodREAD MORE,positive
Awesome 😎READ MORE,positive
Super excellentREAD MORE,positive
I am okay with it... that's itREAD MORE,negative
It very good treat for picture seen. Excellent TV @ this price.  Not sony can match specifications to beat this.READ MORE,positive
Worth for money fully satisfied👍🍬🌹💥READ MORE,positive
Osam tvREAD MORE,positive
Very nice great tv thunx LGREAD MORE,positive
Good productREAD MORE,positive
GoodREAD MORE,positive
Best qualityREAD MORE,positive
"Picture quality is excellent and connectivity also good,READ MORE",positive
Super display 👍Value for moneyREAD MORE,positive
Very nice 🙂READ MORE,positive
Picture quality is awesome but sound quality is very low and very poorREAD MORE,negative
GoodREAD MORE,positive
