review,sentiment_label
Best tv for my hall❣️❣️READ MORE,positive
Awesome 😎READ MORE,positive
I've purchased it week ago... It was delivered after 3days of booking.*PROS#picture quality is awesome#audio is ok#& magic remote is like cherry on the top*CONS# lg's web-os has limited applications as compare to play storeI don't have any regret that i've chosen a good product.... don't think too much juet buy it guysREAD MORE,positive
"Buyers be awere that, all the reviews here are not for this particular TV. The reviews here are for the previous generation TV... Flipkart simply attached all those reviews to this TV one night. I have bought this TV and found OK.READ MORE",negative
Screen bleeding issues from the second day itself.READ MORE,negative
Initially I was planning to buy LG 7500 series which was price less than the LG7720...but as per the review from others it seems that LG7500 series has VA panel. As my room is wide and we do watch tv from side as well...so I planned to buy LG7720 series.which has IPS panel...but it is not mentioned on the LG website...and I'm happy to buy it..great viewing angle..the AI settings are good for both video and audio quality...no need to buy any external speaker...if you feel low with audio just g...READ MORE,positive
Great picture qualityGood Sound Till now all good A great product by lg you can definitely go for it ✌️READ MORE,positive
Simply amazingREAD MORE,positive
"Been using it for 2 months,When you get it, First set the picture mode to vivid and reduce Sharpness to 20-23. Best ips display ever, far better than any va panel. Go for it blindly.Cons: the only con is the web os, you won't have the freedom of Android . But it can be solved with any Chromecast device if that's your thing. Everything else is perfect about this tv . The panel is better than perfect. Love it, even 360p videos are upscaled awesome. But that picture settings Tweak is nec...READ MORE",positive
Amazing beauty of TV...picture quality outstanding....sound quality more than enough...OS simple n limited... I'm lovin it...Thanks LG & FlipkartREAD MORE,positive
Excellent tv at this price... Just go for it.... LG has done a great job with its amazing picture quality and fabulous sound. Might need a sound bar.... If it's a large hall....but overall a very good product!READ MORE,positive
Go for this product.You will be satisfied for your purchase.READ MORE,positive
",💯💯💯💯💯💯💯💯💯🍨💯💯persent exellentREAD MORE",positive
"Really Cristal clear picture, amazing picture quality. I am very satisfied. Thank you Flipkart. I booked it  as plus member first day of Big billian days.READ MORE",positive
Picture quality is excellent. Sound is good enough inside a medium room. TV's look is very nice. LG brand TV always proved durable. I believe this model will also last long.READ MORE,positive
Good quality just go for it... ✌✌✌READ MORE,positive
👌👌👌10/9% Tv Nice 👍👍👍READ MORE,positive
Best in this price segment. Installation guy was quick and was very polite and helpfulREAD MORE,positive
"Awesome product, delivery and installation was very much satisfied.READ MORE",positive
Awesome picture quality and sound quality best tv in this prize rangeREAD MORE,positive
I have received delivery on time and thanks to Flipkart But I recommend not to go for LG as I experienced the lowest picture quality ever in 4K video performace Web OS is excellent in LG and magic remote is the plus add-ons 👍Sound system is also avg but not so bad Overall I prefer to go for Sony and ik it's abit expensive but you will not satisfied with this LG 7720READ MORE,negative
GoodREAD MORE,positive
Best picture quality and sound quality is alsoo good not best but good. Very thin side body. Only one negative is it provides only 2 HDMI port. But best value for money Tv in this price.READ MORE,negative
Superb. Picture quality is fabulous sound is very goodREAD MORE,positive
"Just wow...Great picture quality, Good sound.Excellent product from LG.READ MORE",positive
Nice TV. Webos works fine. Picture clarity is quite good for content we watch normally. Sound is good in Music mode and for movies voice mode is for clear voice. Filmmaker mode is best for viewing movies. No lag and tv boots up almost instantly.Overall value for money product.READ MORE,positive
I like it nice quality there will only will give tv standREAD MORE,positive
"Super Quality product by Lg UQ8020psb i think lg UQ7500psf more brighter and warmer panel due more power consumption 165 Watt. due to its design and panel type smooth and quick and simple picture Quality Hd settop box amazing both sd and hd channels,use cinema mode with 90 percentage colour auto brightness enabled, sound in movie mode, but i use zebronics 9000 pro dolby, and fire tv 4k max.with amazing magic remote with low power consumption 135 watt then lguq7500psf,best Lg ThinQ App.Nice pi...READ MORE",positive
Super TV..good picture quality…love watching English movies in film maker mode…hopefully the LG tv will be complaints free..ConOnly one usb port and 2 hdmi ports…my sony had 4 hdmi and 3 usbREAD MORE,positive
"55"" TV is value for money after 1 month of my research and got it for 55k after all discount, and satisfied with my TV till now after 10 days of usage but installation is worst part coz service engineer from Sai electro craft, Dindigul came and fixed the Wall mount which is not able to move front and back and the main thing is,he doesn't fix the upper bolt properly which is very loose as if it will fall down at any time, and I asked him to fix the bolt right and he neglected and told it won't...READ MORE",negative
2 day delivery and same day installation.Awesome video and audio quality - much better vs a standard 20w sound. IPS panel. UI experience is different vs Android due to WebOS but it is smooth and contains majority of the important apps so there shouldn't be a problem. Comes with a magic remote. I've not heard of any difference between the offline models UQ8040/UQ8050 vs UQ8020 so do not get confused with the different model namesREAD MORE,positive
"Picture quality is really great for viewing Full HD and 4K content. But the sound quality is not that good, should say just average. I am thinking of getting a sound bar for that. For the installation part I would suggest future buyers to set the tv at a lower height, i.e. when you are seated the centre of the tv should be at your eye level. Given that it has quite a big screen size (55 inches), the experience will be better if the tv is set right at that level.READ MORE",negative
"I can't Say it is a outstanding Purchase...but ok...Upscaling was not upto the mark, sound quality is good.New Ai home dash board is looking good...  Ips panel , viewing angles are good...READ MORE",negative
Awesome product.. Value for money.. Picture Quality is really awesome... I like LG all Product...READ MORE,positive
"Excellent tv , picture quality is super worth of moneyREAD MORE",positive
"Picture quality is awesome nd sound also good, ontime delivery nd installation with in 24hrs tqsm Flipkart 🥰❤️🥰READ MORE",positive
Awesome TV it gave us joy of cinema. Highlights: Ai Sound and picture and lot more picture modes.. worthAnd important no colour or brightness flash on our eyes.. writing this review after usage of 2 months..READ MORE,positive
Its a far better TV then samsung crystal 4k model....READ MORE,positive
Value for money excellent tvREAD MORE,positive
