review,sentiment_label
GoodREAD MORE,positive
AWESOME. TVREAD MORE,positive
Good tv picture quality superREAD MORE,positive
Excellent product and best quality thanks Flipkart and OnePlusREAD MORE,positive
"Picture quality awesome. Gates looking,Connectivity ok .5/5 picture quality5/5 sound quality5/5 connectivityREAD MORE",positive
"Value for money, A great purchase with OnePlus, Picture quality is so good as expected, Sound is awesome, It's like a small home theatre at home. Recommended for purchase 👍READ MORE",positive
"Guys, please don't buy this TV, it has a Pannel issue, I raised a complaint 2 months back, till date it's not been resolved, nor customer care response is proper. If you are from a middle-class family then please don't ever think to buy a product which has poor customer service.READ MORE",negative
"Verry good product, awesome picture quality ya1s is betterREAD MORE",positive
Good  product  sound ok  quality  super  1 plus❤❤READ MORE,positive
Everything very good picture qualityREAD MORE,positive
Good product in this priceREAD MORE,positive
Fabulous 👌👌READ MORE,positive
Great picture quality and average sound quality in this price range. No issues with the connectivity and chrome cast. OnePlus connect is added advantage.First impression is worth for the price.READ MORE,positive
Value of money 💰READ MORE,negative
AwesomeREAD MORE,positive
Picture quality is  Super & good OnePlus y1s is best toREAD MORE,positive
"Good buy from OnePlus,the picture quality is better than i expected...READ MORE",positive
Nice OnePlus Y1S 32 inch TV picture quality OSM bestSound very good 👌READ MORE,positive
Osum nice product don't think soo much just goooo 4 it.😘😘😘😘READ MORE,positive
Delivery was on time and  installation before the expected date . The picture quality Awesome  and sound Super quality . This is my 1st 1+ we as family liked a lot. Thank you Flipkart. As always your Awesome.READ MORE,positive
Nice Tv for those who love punchy colourSound is amazing in this segmentGo for itPlease buy itNone can compete it till now it this segmentREAD MORE,positive
This product is very good 😊 and picture quality is show nice 👍. Sound quality is better other smart tv 😉READ MORE,positive
This is very excellent for this price and also sound quality is very satisfiedREAD MORE,positive
Good qualityREAD MORE,positive
"OnePlus always brings to us all those high end tech device s at such an amazing prices . They has turned out be a blessing for families like me with such products. I am very happy with the product 43"" TV. I have ordere it for my Mom, :- The Ul and ease of use for old lady coming from non tech era >>>>> :- The sound quality is just superb :- Some improvement can be done for connectivity with other smart devices . :- Ease of installation So happy with flipkart also for delivery to small towns a...READ MORE",positive
Picture quality and design very good and latest Android 11 works good in it . Good speakers pretty much loud ..READ MORE,positive
Very good...Tv 😀🌷READ MORE,positive
"Best Budget friendly smart tv one can buy, although the video quality is not at par with that of samsung/sony but the sound quality is seriously amazing 💯. Easy to install and use !!READ MORE",positive
Thank you Flipkart amazing product 1+ TV new model  Awesome product I m happy 1+ TV super quality one days used nice product this range everything is okREAD MORE,positive
Very Nice ProductREAD MORE,positive
GoodREAD MORE,positive
It's overall good product from one plus little bit price high..ram 1gb and stands perfectly not fits better go with wall mount... These are small corns from my side other than all is goodREAD MORE,positive
"Recently I bought this tv...only one day it was worked,aftr that the display (picture was not displayed) was gone..I don't knw what happdn...I think it's not worthble yrREAD MORE",negative
Very good in this price rangeBuy itREAD MORE,positive
Awesome sounds wowREAD MORE,positive
Nice product but installation only costlyREAD MORE,positive
LikeREAD MORE,positive
Product is very good......but processing is slow.... overall very good tvREAD MORE,positive
"Great tv.. just got my order within one day and picture quality outstanding, no connectivity issue, sound quality not best but its great in this range, looks high quality branded tvREAD MORE",positive
BestREAD MORE,positive
Great TV and quick installation and delivery.looks trendy and good connectivityREAD MORE,positive
Best Quality worthy product in price range 5 star u can go for it.READ MORE,positive
"Excellent tv In this price segement Best Picture quality ,best sound and background everything is oosom and excellent 500out500 for OnePlus Y1S series and OnePlus must try this smart Android tv😍😍😍🤩🤩🥳🥳 and thank you one for best product and make this type of tv and phone in future and thank you OnePlus very much 🙏🙏🙏 again thank you for your best service🙏🙏🙏READ MORE",positive
Today I have received it and its just Awsome👌🏻👌🏻READ MORE,positive
This is sub standard TV. I have TCL TV purchased last yr. With same confirmation and clearly TCL is much much better. Drawback..1. Slow connectivity via wifi2. USB. No last memory. Every time ull have forward which is very very slow3. Picture clarity stands no where when compared with TCL4. Screen cast/ mirroring is pathetic. It just keeps hanging.Overall... its frustrating experience. Go for TCL instead of One+READ MORE,negative
Guys ...Ok Let me explain about these tv ...it's been 20days ..In One word.. Don't buy this tv...read below1-I got micromax led tv which is quite good picture quality and amazing clarity of pictures...same hd ready panels...(After I Came to known that there's difference in quality and brightness of oneplus panel...it is not that great)2-Now i know that HDR is the game changer in hd ready panels after using hdr enabled tv & now oneplus....i prefer you to buy HDR TV'S ....there's no hdr i...READ MORE,negative
VERY NICE PRODUCT..THANKS FLIPKART FOR GOOD SERVICE.INSTALLATION FROM JEEVES NEEDS TO BE CHECKED BY FLIPKART..HE OVERCHARGED FOR TV MOUNT/SUPPORT STAND ..!OVERALL PRODUCT IS GOOD WITH NICE PICTURE QUALITYREAD MORE,negative
Very good tv . Clear video quality i am very happy. It's good deal.thanks flipkart and one plus .READ MORE,positive
Good performance and picture quality be superb 👌READ MORE,positive
Awesome TvREAD MORE,positive
"Picture quality is fine but sound need improvement, app working good screen Miracast to much laggingREAD MORE",negative
"Great product for the price... Note: The only draw back in the 40inch version - doesn't have HDMI ARC like other models (32/43/55) I wonder why this is not an option on this model.Overall, a great product for this price range!READ MORE",positive
Superb Nice productREAD MORE,positive
Good led smart tv display and beautiful videoREAD MORE,positive
Overall good product for this price.READ MORE,positive
Rate 10/10 it’s very nice Picture quality sound quality 10/10 And look was luxury TV😍🥰🥰🥰🥰 its was great thanks Flipkart 🥰😍😍😍READ MORE,positive
"Great deal and nice product have good picture quality, nice sound, well connectivity...thanks to flipkartREAD MORE",positive
"This 32"" 80cm 1+ Y1s 2022 model Led tv is worth of money just simply buy it without any doubt. Dolby Sound, Display and apps accessibility are top notch.READ MORE",positive
Fast service Thank u flipkart Very good quality and nice productREAD MORE,positive
Value For Munny on This Arrenge Best TVREAD MORE,positive
Ok nice7/10 ratingREAD MORE,positive
GoodREAD MORE,positive
Very good productREAD MORE,positive
Good very goodREAD MORE,positive
Nice 👍 tvREAD MORE,positive
"Team, Today only I received my product - 29, May, and below are pros and cons.Good Point:1. Very quick delivery2. Better clarity compare to Mi and UV3. Easy to handle and lightweight just 6 KgsBad Points:1. Not having AUX sound connectivity, it has Digital Optical Audio Output which is mostly not available with general sound system2. difficult to share the mobile screen with this TV since OnePlus connect android App don't work on all mobiles3. The Installation team will come after 8...READ MORE",negative
SuperREAD MORE,positive
"I purchased 1st time Disply complaint, customer care full support,  again I replacement 2nd time, delivery 1pm installation 2pm very fast thank you Filipkart and Jeeves ...Tv FHD , super sound quality, very  smart...READ MORE",positive
Value for money 💲 hai  ☺️👍READ MORE,positive
"Received yesterday. Looks good. will update after a week usage. So far connectivity of Wifi is good. Netflix,Sunnxt,Youtube and Prime plays well. no issues.. Sound doesn't seem to be that great just average or may be i need to check the sound settings. screen quality is actually worth for this price,READ MORE",negative
I got a faulty tv from flipkart. I raised return request twice but both the times it got rejected saying that tv is ok. Wifi connection drop issue and one plus software is the negative points although display is fair but wifi drop and no connection issue is there and system is laggy. It lags like a hell and after sometime it got restart itself.my worst decision to buy a one plus tv from flipkart. I m a fan of one plus phone and using it from past 7 years that's why I thought to give a try to ...READ MORE,negative
Just fabulousREAD MORE,positive
Super awesome  pictures  quality sound amazingREAD MORE,positive
Good product justifying it's valueREAD MORE,positive
"Good product, overall i like itREAD MORE",positive
Yes realy a nice product mstREAD MORE,positive
Good quality productREAD MORE,positive
Very good.Quality picture nice.Valium nice...Thanks FlipcardREAD MORE,positive
Value of money nice one loved it 😊READ MORE,positive
Thank you flipkart it amazing product oneplus tv new modelNice pruduct I'm so happy 😊  Thank you ❤flipkartREAD MORE,positive
Picture quality is very poor so I want return this productREAD MORE,negative
Worth itREAD MORE,positive
Installation Sarvice not good and very poor Picture quality not good mike personal opinian is please don’t buyREAD MORE,negative
So much goodREAD MORE,positive
Good quality product in a best Price segment 😍.READ MORE,positive
OnePlus India of no.1 brand and pictures quality best  and sound superb.READ MORE,positive
Very good tv this price range picture quality good sound ok installation good valaue for moneyREAD MORE,positive
Awesome TvREAD MORE,positive
Excellent Delivery and installation by Flipkart. Picture quality and sound of this TV is Superb at this price range. Runs very smoothly. Good for small room. Love it. 👌👌👌READ MORE,positive
Worth for money. Quality standard was outstandingREAD MORE,positive
Pictures and sound quality awesome 👌READ MORE,positive
Tv superb...But while installation some white marks in Display...we asked about that white lines..but he told there is a issues in Dth set top box contact cable connection....but the truth is i changed using tv OnePlus remote-Input option-changed the screen size..then that white lines not there...this is a basic knowledge..but installation person don't know this basics....he just told there is a issues in cable connection....flipkart worstREAD MORE,negative
"Product is Good, I'm Writing this review after 20 Days of uses. Till now I didn't notice any connectivity issues or any kind of lagging or heating issue. Over all Product is GoodREAD MORE",negative
Giving review after 4 month....no issue till now......will give review after one yearREAD MORE,positive
"TV is good but the picture quality is a bit compromised I feel. One issue I’m seeing is whenever you see it from tilted angle it shows some different colors, where a LED screen stays normal without any color change. Rest, it’s only been a month. Will update later.READ MORE",negative
Nice picture qualityGoodREAD MORE,positive
Good telivision price retREAD MORE,positive
Good workREAD MORE,positive
Nice product thanks to FlipkartREAD MORE,positive
Awesome clarity👌... sound awesome 👌... don't think anymore...just buy it...must buy it🎉🔥READ MORE,positive
GoodREAD MORE,positive
16 days working display problem custumer care not supported 1 month problrem not resolved till not working tv waste of moneyREAD MORE,negative
"Finally Installation & Demo completed after 14 days, highly disappointed about the Installation & Demo🤫.Picture quality awesome, speaker sounds just good,No connectivity issues.OnePlus product excellent😘💗READ MORE",negative
GoodREAD MORE,positive
Ultimate picture quality for this price range. U can buy this tv without worrying. Again 1+ proved..READ MORE,positive
Nice productREAD MORE,positive
The  installation is not done  its  been   10 days more   and   they  frustrate your   mind by giving dates  only   no  call   from   installation  man   not  to buy  from   flipkart   not   good services  at all    # avoidflipkartREAD MORE,negative
"Good product,worth for money....👍👍👍👍, good picture and sound quality 👍READ MORE",positive
Best Product of one plus Hope one plus give update time to timeREAD MORE,positive
GoodREAD MORE,positive
"No issues with quality of TV its good but it there is problem we can not create shortcut of setup box, in order to watch setup box channels we need to navigate to multiple options and its difficult for people who is not educated this is serious problem with this tv need an improvement ASAPREAD MORE",negative
"Do not buy, while watching automatically getting off, sound also not audibleREAD MORE",negative
Great tv at this priceDelivery was done in 1 day and installation on the very next day.Picture quality is above par so is the sound.If you are looking for a TV in this range go for this.READ MORE,positive
Value for moneyI used Last one monthPicture Quality was Awesome and no issues in connectivity because of OnePlus Connect App.Sound Quality was decent for that price range.1GB RAM & 8 GB internal memory it's not enough for heavy users like gaming.Overall Nice Product from OnePlusREAD MORE,positive
Great product in this price range. Anyone can go for it blindly. Great picture quality n sound. Fully satisfied with it.READ MORE,positive
Worst installationI ever seen this type of installation...READ MORE,negative
"Very worst experience , it's not support all pendrives it's only support fat32 pendrive, slow in playing pendrive videos, no have sense of software it's very complicate to play videos images files, third class product, they are not support and have hopeless technicians uneducated no have any experience no have any knowledgeREAD MORE",negative
I like it good for money product every one buy thes tvREAD MORE,positive
This picture quality most beautiful colors and clean for hd channel.. I give you 5****READ MORE,positive
The product is good but the service of flipkart is the worst they will not help you if there is a problem with your TV Third class customer service don't buy this product from flipkart and plzz do not take the jeeves complete protection plan its a big scam the lie about  there terms and conditions after you claim for your insurance 🤬🤬READ MORE,negative
Very 3rd class tv and 5th grade service never buy one plus tvREAD MORE,negative
There are lot of problems in this tv..... After 6 months only got problem in the tv.... Whole tv replaced..... Omg ....... For 6 months only these many problems........... No guarantee..... Use and through tv for huge money.....READ MORE,negative
Awesome TVREAD MORE,positive
Cheep and bestREAD MORE,positive
Really amazing product from oneplus aowsome display quality and sound qulity is very good the best features of this bluetooth connect and wifi 5READ MORE,positive
Thank you FlipkartREAD MORE,positive
Not much of expected... Brightness and sound didn't made me excited... Operating is too slow... Screen cast connectivity is disappointed... Too much of lag... I didn't understand how people gave this much of rating... Totally disappointed with this tv... Even app opening is too slow... Not oneplus mark tvREAD MORE,negative
This OnePlus TV is really awesome and goodREAD MORE,positive
Good product hai 😊READ MORE,positive
Thank you so much for Flipkart lovely tv good qualityREAD MORE,positive
NiceREAD MORE,positive
Nice Product 👌👌👌READ MORE,positive
Quick Delivery & Installation...READ MORE,positive
Screen became damaged within 7 days from date of installation.READ MORE,negative
"Picture quality is awesome , nice instalation , value for money. Thnq filpcart 😘READ MORE",positive
"Poor customer services from One PlusIt won't connect to internet automatically even though  WiFi connected with password or Lan.Every time it requires to update ""time and date"" manually, then only it TV will connect to internet.Automatic date and time won't works in this TV.I have registered a case with OnePlus support but it has been more than 3 month, not received any resolution or any updates Very much disappointed with experience and services from one of the trusted brand One plusREAD MORE",negative
Very bad product. Picture quality is worst. Don't buy it.READ MORE,negative
Value for productREAD MORE,positive
This is osm. Very good quality. 😘😘😘👌👌👌READ MORE,positive
Pictures quality is awesome But after 4 month in screen a shadow line Try to replace my tv No response again and againLast they are call me but after 1 month no respond And it’s part is not coming So please don’t choose OneplusREAD MORE,negative
GoodREAD MORE,positive
Simply awesome for this priceMust buyREAD MORE,positive
Good.product because app leg so awesome quality ❤️❤️READ MORE,positive
GoodREAD MORE,positive
GreatREAD MORE,positive
Worth buying.. seriously I am so happy to say this...5/5READ MORE,positive
Excellent Product.READ MORE,positive
Nice picture quality OnePlus is 👍READ MORE,positive
Just amazing 👏READ MORE,positive
Installation is an issue.READ MORE,negative
Good performanceREAD MORE,positive
"I was delivered the TV on 4th June 2021, installation happened on 7th, so this is my review after 1 week of usagePros:1. Panel is good in terms of color reproduction, contrast2. Bezel less3. WIFI connectivity is good (not checked for LAN)4. Bluetooth connectivity is good, connected speaker and were working fine5. Remote is ok, never dropped connectivity over Bluetooth with TV6. Boot time is average (30sec-1min) could have been better7. Audio is loud enough for medium size hall Cons...READ MORE",negative
Thank you Flipkart for delivering tv in this situation just within 2 days and one thing that surprised me was installation within 4 hours. I was extremely mind blown with the service in got. I had uninstalled flipkart as I was not happy with it 4 years ago but reinstalling and trying it again was worth it.Another Great news is NO cost EMI upto 9 months from Flipkart on purchase of TV. This is just Wowww!!! Thanks to the delivery agent and installation guy who did thier job flawlessly.READ MORE,negative
Nice tv with a great picture quality and good sound system Have a feel of a premium tv with baseless design Overall a perfect tv in this range Looking for a tv with good picture quality sound system and value for money .... For sure go for it ⚡READ MORE,positive
Not goodREAD MORE,negative
Im not satisfied this products not worth for moneyREAD MORE,negative
"I loved it. It's worth money. But nobody came for installation, I did it myself. Don't take flipkart guarantee!READ MORE",positive
Amazing tv at this priceREAD MORE,positive
I love this TV because of it's loud but also sustainable audio quality and good picture quality.Also it has a very good ui along with a shortcut key on the remote.READ MORE,positive
Awesome installation done by engineer thanks for supportREAD MORE,positive
I am writing this after using 1 week value for money. Superb product OnePlus thanku Flipkart to provide in this price rangeREAD MORE,positive
Very good productREAD MORE,positive
Sound no happynesREAD MORE,negative
Nice tv it's really good picture quality and soundREAD MORE,positive
GoodREAD MORE,positive
Good clarity Sound system good Light weightMobile sharing not working properlyREAD MORE,negative
"low picture quality, you can not get picture quality like sony in this oneplus dabba tv. i bought it thinking the name oneplus in mind, but it is just like dabba tv. not feeling like watching LED tv....READ MORE",negative
OnePlus has recently launched their Android LED TV in India and according to customer reviews it is providing best value for money smart LED TV at very reasonable prices. I finally after a lot of research purchased this 40 inch OnePlus TV and I am very happy with the over all build quality and performance of this TV. It looks very premium and elegant. The piano black colour looks very good. The video quality is superb.READ MORE,positive
Best picture Best songREAD MORE,positive
Don't expect anything in this product because tv display is well and good but sounding and connectivity is tooo baaaad So please choose another tv... blutooth connectivity is toooo poor and everty time comes reptely...so don't buy this productREAD MORE,negative
Good picture qualityREAD MORE,positive
"Picture quality best👌🏻, sound quality best 👍🏻, and my favourite brand one+..😍🥰READ MORE",positive
Product got damaged after using of one monthREAD MORE,negative
"with in 3 months i have been suffering from wifi connectivity issue, guys plz don't buy this productREAD MORE",negative
All over goodNice Picture qualityNice Sound Nice ExperienceREAD MORE,positive
Must buy OnePlus TV with TV Unit.READ MORE,positive
"Tv is not good ,after 3 months getting problems like suddenly tv will restart and no correct assistance please don't prefer flipkart for electronic items..READ MORE",negative
Nice Picture QualityREAD MORE,positive
Nice product and superb picture quality...READ MORE,positive
Very goodREAD MORE,positive
Super fast delivery and installation. Happy with the productREAD MORE,positive
So super ✨READ MORE,positive
Good Product 👍READ MORE,positive
Last yr August brought OnePlus y serious 43 inch and this BBD offer I bought this y series of 40 inch tv.i like this brand.picture quality sound quality all things are nice.am fully satisfied.READ MORE,positive
Picture quality is awesome just awesome. Sound quality also not bad. I loved it.READ MORE,positive
Nice OnePlus TV 👍READ MORE,positive
I am very disappoint with the picture quality infact better in tcl not recommended for good picture qualityREAD MORE,negative
Nice product value for the money video picture is not satisfied sound is asusual of normal installation is betterREAD MORE,negative
Delivered yesterday and installation done today.Till now everything is fine.sound quality is awsome.Picture quality not as expectedNo issue in connectivityUnable to connect from OnePlus connect mobile app.Let see after 7-8 days of use.Will repost the review if found anything else.READ MORE,negative
TV is not working and flipkart also not supportingREAD MORE,negative
Slow and gets hanged while shifting from one ott to otherREAD MORE,negative
Picture quality is very poorREAD MORE,negative
It's AwesomeREAD MORE,positive
"Side view is terrible,  regretting the online purchaseREAD MORE",negative
