review,sentiment_label
Excellent Display! Place the TV in 5 -10 feets gap and Enjoy the Rampage of OnePlus TV!READ MORE,positive
Super u can go for itREAD MORE,positive
ExcellentREAD MORE,positive
Nice one  amazingREAD MORE,positive
It's simply perfect...nice sound quality and picture quality also liked it ... budget friendly also worth fr 32k since I got lot offer's from Flipkart thanksREAD MORE,positive
Value for money product 💥READ MORE,negative
"Don't buy, Failure model. won't connect to external speakersREAD MORE",negative
"Gud picture quality, and value for moneyREAD MORE",positive
Go for it. Value for money. Best picture quality.READ MORE,positive
Good experience with OnePlus y1s pro 🤗READ MORE,positive
Awesome 👍READ MORE,positive
Good productREAD MORE,positive
Beautiful tv. Picture quality is very good👍👍READ MORE,positive
GoodREAD MORE,positive
The tv is showing mute symbol on the screen always even its not muted.. jio cinema is not able to play the matches without flickering also hotstar is not able the play the vdieosREAD MORE,negative
Yess🤩 the tv was supper using from 1 month. .it owesome .go for itREAD MORE,negative
Nice product price wroth it and smart tvREAD MORE,positive
GudREAD MORE,positive
It has only 8gb of storage within 1week of usage it is full at least 16gb should be there.READ MORE,negative
"Its amazing,value for money, must buy itREAD MORE",positive
The picture quality is awesome and the sound is also good Flipkart price support is very nice.Overall goodBut only one thing flipkart automatically cancelled my installation request it's very badREAD MORE,negative
Value for money productREAD MORE,positive
One of the best tv available in market in affordable price segment and seller shipped very fast and prompt delivery by flipkartREAD MORE,positive
"Good Quality picture, sounds and installationREAD MORE",positive
Connecting issues .READ MORE,positive
This TV is not worth for money don't buy it sellers have they own return policies so please this TV is not 4K they're making fools to all Flipkart buyersREAD MORE,negative
Nice... WorthyREAD MORE,positive
Don't buy this tv. Working very slow and Flipkart not  helped me regarding this.READ MORE,negative
NiceREAD MORE,positive
"Worst TV and support from OnePlus. Jeeves from Flipkart service is terrible. Arc port doesn't work. Bluetooth is laggy, no 3.5 mm jack. Literally u have to end up with tv sound only. They can't fix the problem but will not replace also. Replacement rejected automatically. I request all of u, with some extra money please go for brands like LG, Sony or Samsung. My worst experience with Flipkart and OnePlus in last 8 years with this OnePlus tv. One month old tv now I m trying to sell at half pri...READ MORE",negative
LED TV ONE PLUSREAD MORE,positive
Good product 👍 value for moneyREAD MORE,positive
Crystal clear clarity...READ MORE,positive
Apps are getting freezed very frequentlyREAD MORE,negative
Sound badREAD MORE,negative
Nice productREAD MORE,positive
Nice audio qualityREAD MORE,positive
Very nice 👍READ MORE,positive
Wowww Superb One Plus Tv Thaggedhe le🔥READ MORE,positive
READ MORE,positive
Good Quality OnePlusREAD MORE,positive
Picture quality superbREAD MORE,positive
Superb loved itREAD MORE,positive
Product is very good. Picture and sound both are very nice . One item is missing in box - AV Adaptor.READ MORE,positive
Asowm 👌 👌READ MORE,positive
Best performanceREAD MORE,positive
WorstREAD MORE,negative
Excellent service by Flipkart thank youREAD MORE,positive
Nice picture sizeREAD MORE,positive
GoodREAD MORE,positive
GoodREAD MORE,positive
Worth money Fantastic TV lowest price but insulation person not good experience and knowledge not goodREAD MORE,positive
Oneplus very nice productREAD MORE,positive
AverageBut Flipkart service very poorREAD MORE,negative
Very good product. Only Volume is bit low.READ MORE,positive
GoodREAD MORE,positive
"Dont go for bank zero intrest EMI option its fraud my icici bank collecting intrest every month. I choose six months but my bank converted into 9 months. But, product is  ok.READ MORE",negative
Very goodREAD MORE,positive
Don't buy this product. It's very worst product. Application is not working at all. Technical visit team showing its product defects. I struggled lot to explain with evidence in photo and video.I think it's second tv or OnePlus itself giving poor quality product.READ MORE,negative
Best productsREAD MORE,positive
Very goodREAD MORE,positive
Don't buy this product. It's very worst product. Application is not working at all. Technical visit team showing its product defects. I struggled lot to explain with evidence in photo and video.I think it's second tv or OnePlus itself giving poor quality product.READ MORE,negative
Best productsREAD MORE,positive
NiceREAD MORE,positive
Value for money! Great produt from one plus. Functioning smoothly  getting software update on regular basis from oneplus.READ MORE,positive
superREAD MORE,positive
AwesomeREAD MORE,positive
Very nice priceREAD MORE,positive
awesome productREAD MORE,positive
Good product awesomeREAD MORE,positive
Super led tvREAD MORE,positive
Picture quality not good as expectedREAD MORE,negative
Good 👍👍👍 nice productREAD MORE,positive
Beautiful TVREAD MORE,positive
Image quality is very low.HD videos showing dead pixels.READ MORE,negative
Good QREAD MORE,positive
My daughter very happy 😀 I am full satisfied FlipkartREAD MORE,positive
ExcellentREAD MORE,positive
SuperREAD MORE,positive
Excellent service best price in best qualityREAD MORE,positive
My daughter very happy 😀 I am full satisfied FlipkartREAD MORE,positive
ExcellentREAD MORE,positive
SuperREAD MORE,positive
Excellent service best price in best qualityREAD MORE,positive
SuperREAD MORE,positive
Supper picture quality and fast delivery installationREAD MORE,positive
GoodREAD MORE,positive
GoodREAD MORE,positive
"Nice but iprove picture quality,,READ MORE",positive
ExcellentREAD MORE,positive
Nice product and value of moneyREAD MORE,positive
Nice product but hanging problum nd connectivity problumREAD MORE,positive
"Very nice product, value for moneyREAD MORE",positive
Only one word it's simply awesome. Picture quality very decent. If anyone thought buy this tv don't think second thought please go for it.READ MORE,positive
Awesome product just go for it.READ MORE,positive
One puls  Y1s pro best 👌READ MORE,positive
Product is good but service is very badREAD MORE,negative
Good productREAD MORE,positive
Very niceREAD MORE,positive
Very niceREAD MORE,positive
Nice quality and sound qualityREAD MORE,positive
GoodREAD MORE,positive
Very good picture and sound qualityREAD MORE,positive
Best productREAD MORE,positive
Bass could be betterREAD MORE,negative
Great product...i love it and the functions is so gud...READ MORE,positive
Nice one i am always trust on OnePlus and quality is always good 😊😊😊READ MORE,positive
Just awesome according to the pricing. Highly recommended product. Can buy without any doubt.READ MORE,positive
Sarvice super..... Super brand quality...READ MORE,positive
NyseREAD MORE,positive
Sound quality not good and picture quality not goodREAD MORE,negative
Thank you. OnePlus and. FlipkartREAD MORE,positive
Best product at this range.READ MORE,positive
Got it at best price and awesome productREAD MORE,positive
SuperREAD MORE,positive
Excellent quality oneplus 4K sharpness niceREAD MORE,positive
Just Awesome! Value for MoneyREAD MORE,positive
Best haiREAD MORE,positive
