review,sentiment_label
Product is very good. Only issue is with the delivery time. Got delayed it for over a week. Flipkart needs to set expectations.READ MORE,negative
"Great picture quality and sound connectivity also good 1080 full HD, screen mirroring option is there and built in Wi-Fi Sony Bravia is wonderful TV is working perfectly , installation is done buy Sony technician it's free and Wall mount is also free,I am strongly recommended to buy everyone this TV, thanks to Flipkart.READ MORE",positive
Super sound and picture quality with inbuilt boofer. The brand name SONY. is sufficient for everything. Even more featured TV at low price are available in market but no comparison with Sony. Just love it.!👌👌READ MORE,positive
This is a nice TV comes with trust of Sony. If anybody going for 32 inch smart TV then this is best one.READ MORE,positive
Super quality...you wont regret after buying crysp display clear sound although its not android and many leds in this range but believe me it has plenty of options...everthing great after all its sony?READ MORE,positive
Quality product...awesome picture quality 1080p...sound also good must buy Sony Brabvia productsREAD MORE,positive
picture quality is goodREAD MORE,positive
thaks flipkart very very much. 🥰🥰🥰🥰 . I love it. picture     quality is perfect and sound is also great. thank you again  thanks a lotREAD MORE,positive
"Excellent Picture quality as well as sound...I am highly satisfied 🥰🥰😍😍Regards,supriyoREAD MORE",positive
Very goodREAD MORE,positive
"Picture quality is awesome, connectivity from hot spot  and screen mirror/ wireless display working fine. Installation was done on time by installation guy. everything is okay.READ MORE",positive
I'm big happyREAD MORE,positive
In a single word it's really FABULOUS 👌.Best value for money and delivery of Flipkart is awesome.Sony service also very quick.READ MORE,positive
Good one.. safe n timely delivery.READ MORE,positive
GoodREAD MORE,positive
excellent experienceREAD MORE,positive
but it's one star TV. power savingREAD MORE,negative
good productREAD MORE,positive
Very good.READ MORE,positive
Super qualityREAD MORE,positive
"Crystal clear picture quality and the colours feel so natural. This is what Sony TV's are meant for. Sound quality is absolutely perfect with noticable bass. Obviously you won't get that extreme bass. To enjoy quality picture via STB, a HD subscription is must. A must buy affordable quality product.READ MORE",positive
"I write this review after 3 months after bought my TV, SONY picture clarity and contrast is damn high. U can see the picture quality compare to other brand TVs. sound is also good.READ MORE",positive
Sony is Sony...READ MORE,positive
value for money. best buyREAD MORE,positive
Good product from SonyREAD MORE,positive
Product is fine but i am overcharged.READ MORE,negative
Superb tv. Build quality is awesome.Picture and sound quality is excellent.Sony is a brand for reason. Just Go for it.And omnitech retail is very good seller.READ MORE,positive
full happy... Thanks Filp card....READ MORE,positive
The device installation and demo was to come from flipkart. But they have been so so so bad about their time managment that its been 12 days after i got the TV and yet today its not been installed yet !!!READ MORE,negative
If you have a medium size room then this 32 inches Led is best. Because of inbuilt Woofers sound quality is really good.READ MORE,positive
Tv is ok hotstar not supported... And not installed another sourceREAD MORE,negative
Best tv for smart members..READ MORE,positive
Sony is Sony superREAD MORE,positive
best productREAD MORE,positive
ExcellentREAD MORE,positive
"Good product, delivered in good condition.READ MORE",positive
If you are looking for small segment TV then this Sony  model is BEST BEST buy for you.Note-This is purely HD TV i.e 1080p.Cost is high but the features & standard is Extremely high class.Just go for it if you have any thoughts to buy a TV.Me n My Wife 199% satisfied and almost every day she is remi ding me the same. :) :)READ MORE,positive
There were a couple of dead pixel on brand new product out of the box. It was hard for me to believe that kind of quality from Sony. I guess they have deteriorated the quality for their baseline products.READ MORE,negative
Very nice productsREAD MORE,positive
I really loved this product. Sound and picture quality is really good.READ MORE,positive
"The name SONY says everything .. This Tv having better and best picture quality (produces natural colour)  than LG , Samsung tv’s.. HDR quality is much better than LG&samsung 4k tv .. Just amazing sound quality the dynamic drive speakers gives rich sound clarity .. But little connectivity issue while screen mirroring apart from that just amazing ...READ MORE",positive
"Although price is high but nice TV. Delivery & installation done faster than expectations. Also, demonstration done by service engineer was very good & efficient. 🌝🌝READ MORE",positive
"I think product quality and packing are really very good. I also think this product is worth the cost.Although I feel the product (TV) is processing is a little slow. I mean as in today's world commands given by remote can process a little faster. For example, when I press Youtube it shows processing.I am surprised to see the product manual, why Sony makes it so complicated. It's really ridiculous that the product manual is more complicated than the product itself.READ MORE",positive
Installation Was Worst..... Charged money....Not satisfied with the installation.... Very badREAD MORE,negative
"Nice pic quality, worth for money .READ MORE",positive
"Highly recommended, very high picture quality, dobly atmos sound effect and reliable tv set without 4kREAD MORE",positive
best tv 📺 that I saw in my lifeREAD MORE,positive
don't think just buyREAD MORE,positive
TV is goodREAD MORE,positive
It’s awesome TV. I never seen this much full HD TV.RegardsSHAIKSHAVALI.PAndhra PradeshREAD MORE,positive
Very slow and less feature as compared to price.READ MORE,negative
All is good And it's Cons are: 1.Power consumption is high since it has 1star ( in             Power Savings Guide)2.Refresh rate is little bit low.READ MORE,positive
ExcellentREAD MORE,positive
The Tv is just excellent. I am always a fan of sony company especially in terms of TV. The picture quality of this TV is just awesome. I specially purchased it because it is Full HD tv and I am not disappointed. But one thing I will say that if you guys are purchasing it then do get a HD setbox where you can get all channels in hd otherwise pictures will not be as good as it is used to be .READ MORE,positive
Good and fast service by sony...Quick installation within one day after flipkart dropped tv at home.READ MORE,positive
I am very happy with flipkart for  fast safe delivery my productREAD MORE,positive
Nice oneREAD MORE,positive
Great tv..picture quality and sound...go for it. Value for money. Just the installation and demo took few days after the delivery makes me rate 4 star. Awesome! Tv...satisfied. best at this priceREAD MORE,positive
Good... but TV assembled so lateREAD MORE,negative
goodREAD MORE,positive
It holds up to it’s brand value . Good quality picture and soundREAD MORE,positive
best TVREAD MORE,positive
Nice products Sony TV9READ MORE,positive
Excellent picture quality and sound effect is awesomeREAD MORE,positive
IT HAS EVERYTHUNG THAT ONE CAN WANT EVERYTHING IS 10 ON 10.EXCEPT SOUND BECAUSE IT DOSE NOT HAVE ANY BASS IN ITS SPEAKER.READ MORE,negative
"Awesome product!!!!😊👍👍 THANKS FLIPKART,KEEP IT UP👍👍👌👌READ MORE",positive
super TVREAD MORE,positive
"In this tv you can not install apps you wanted. It's one star energy efficient. Flipkart delevery was bad, I had to travel 90 km to pick the product as the agent refused to delever at home as it was ""two heavy""...when the area pin code is not deleverable then it should be removed from this app.The only reason to buy this product was because of SONY brand and it was non china...READ MORE",negative
Best 32 inch tv if any body only wanted to buy 32inch so i will recommend this tv😍😍❤️❤️ thans flipkart ❤️READ MORE,positive
excellent picture quality.i love Sony.READ MORE,positive
excellent productREAD MORE,positive
very good picture quality and good sound qualityREAD MORE,positive
Not even 3 years . The motherboard is damaged.I AM SHOCKED WITH SONY TV PERFORMANCE !! Couldn't accept.Just was a waste of money.READ MORE,negative
Good service and fast service from Sony.READ MORE,positive
OkREAD MORE,positive
Nothing to give negative marks.READ MORE,positive
ExcellentREAD MORE,positive
