review,sentiment_label
Very goodREAD MORE,positive
Picture quality is extremely high just go for it.READ MORE,positive
Got for 39k and Lived upto my expectations. Sony is best in picture and brand quality...READ MORE,positive
"Amazing product. Picture quality of Sony TVs are unbeatable. Sound could have been crispier though. The only con I could find is that the 5Ghz band is not powerful enough. It could not pickup a 5Ghz signal even though the router is not far away. But 2.4Ghz works absolutely fine! Again, the panel quality is top notch.READ MORE",positive
Great product and great picture qualityREAD MORE,positive
Awesome picture quality and sound quality really great work by. Sony.READ MORE,positive
Nice 👍👍👍READ MORE,positive
Very happy with the purchase. No other brand comes closer when it it's about picture quality. Sony is the best.READ MORE,positive
Good and value for moneyREAD MORE,positive
installation experience is too Good with the Boy...His Behavior is Very Good....A'm Impressed 🤩READ MORE,positive
I have ordered sony tv in  Flipkart....next day delivery and the same day installation finished...I'm very satisfied with Flipkart services....Thank you Flipkart ....READ MORE,positive
"Just love with the picture quality and sounds. its just 24 hours I am using this TV, love the picture quality but for Netflix, Prime Video content while playing the previews the sound is good but while started watching the full content then the sound is very low and bass is some how missing. We need little bit of bass while throwing the dialogue.READ MORE",negative
Super Tv  good qulityREAD MORE,positive
Great quality of picture and installation was done perfectly.READ MORE,positive
Good product... Very fast installation on same day only technician had came and gave  the demo .he was very helpful and was quick at his service...READ MORE,positive
Best quality and installationREAD MORE,positive
Picture quality everything is good Nice clear sound loud enough installation is fast on the delivery date very polite delivery personREAD MORE,positive
Fantastic product..... I loved it.....READ MORE,positive
"This is my first Sony tv and iam very happy with this product. This tv picture quality is next level at this price range,my buddy's go for it without any single thought:)READ MORE",positive
GoodREAD MORE,positive
Nice picture and sound qualityREAD MORE,positive
Mind-blowing purchase Picture Quality and Sound Quality Awesome.READ MORE,positive
Overall product is good. But i don't like Ram support they have provided just 1.5 GP which is major drawback.READ MORE,negative
Everything about tv seems fine and the installation service was prompt and service engineer was very informative about the product.READ MORE,positive
I'm happy with soney productREAD MORE,positive
Good 👍READ MORE,positive
NiceREAD MORE,positive
GoodREAD MORE,positive
Good over all and satisfiedREAD MORE,positive
Very nice Product 👍READ MORE,positive
Good over all and satisfiedREAD MORE,positive
Very nice Product 👍READ MORE,positive
Nice productREAD MORE,positive
GoodREAD MORE,positive
Mind-blowing purchase Picture Quality and Sound Quality Awesome👍🏻👌READ MORE,positive
GoodREAD MORE,positive
READ MORE,positive
Its better to enjoy using SONYREAD MORE,negative
Very good tvREAD MORE,positive
Sound to be improvedREAD MORE,positive
Good budget tv for me and very good person installed tvREAD MORE,positive
Nice picture Quality.10/10READ MORE,positive
Super excited wonderfulREAD MORE,positive
NiceREAD MORE,positive
Very Good Service and fast Installation . Exellant Experience  to meREAD MORE,positive
Very very good 👍READ MORE,positive
"Picture quality is excellent, sound quality is niceREAD MORE",positive
Great work done.READ MORE,positive
Very good service with the installation and I would love to purchase more based on the product releaseREAD MORE,positive
"#MyNewSony KD-43X64L is amazing picture, crystal clear sound experience,@Missamari Garubandha(Tezpur)READ MORE",positive
Very goodREAD MORE,positive
Very goodREAD MORE,positive
ExcellentREAD MORE,positive
GoodREAD MORE,positive
Excellent picture and sound qualityREAD MORE,positive
Product is very nice. Demo Service also good and he explained very well to uneducated people.READ MORE,positive
Same day installation for the tv was very helpful. Good sound and colors on the tv.READ MORE,positive
"Very  good,pic quality and sound are realy fine,I am happyREAD MORE",positive
TV is perfect.Picture Quality is PerfectValue for money.READ MORE,positive
very good service or producti am satisfy sony service by Vivek GuptaThank you SonyAnsh Enterprises AyodhyaREAD MORE,positive
Nice tvREAD MORE,positive
"Good picture quality , product is extremely value for the moneyREAD MORE",positive
GreatREAD MORE,positive
Very good productREAD MORE,positive
Sony rocks always...SuperREAD MORE,positive
Nice product service is also good highly recommendedREAD MORE,positive
"4k picture quality is excellent,  didn't expect anything less from Sony. HD channel output is ok not excellent. Overall a good product from Sony.Installation done by Sony, techican Sekar was knowledgeable and courteous.READ MORE",positive
Delivered product and associated services are goodREAD MORE,positive
Picture AND Sound wao!!READ MORE,positive
PERFECT TVREAD MORE,positive
Clear Picture and AudioREAD MORE,positive
Good service  picture  quality  is very niceREAD MORE,positive
