review,sentiment_label
"My second Sony TV, but First smart TV had prompt delivery and installation, I have gone with a superior brand for a trouble free experience, it’s too early to say but impressed with its performance.READ MORE",positive
Nice tv and good installation by Service center EESHA TECHNOLOGY Tumkur by TilakNice picture qualitySound is goodBluetooth connectivity for speakers and headphones is available in this edition because in 2020 and before editions Bluetooth devices not working properlyAround 60K it is greatREAD MORE,positive
"Product is good, but Flipkart service was poor. In TV Sony is the king and premium same like iPhone brand of mobile. This TV is not that good for SD channels. Its very good for HD and 4K channels or contents.READ MORE",negative
Mind blowing tv from sony...very good picture quality...and remote functions are easy to handle.Sound quality is just ok..I think an external device is needed for to get our fullfillness...Overal one of the best tv from sony..and delivery and installation were also nycREAD MORE,negative
No doubt Sony's Picture quality is top notch .Build quality could be better..but it's fine goes with plastic as well I'm fully satisfied..if you're planning just go for it blindlyREAD MORE,positive
Amazing TV. Smart features are good and intuitive enough for senior users. It has very good sound and picture quality.READ MORE,positive
"This is my second Sony Bravia TV. The first one was a Bravia LCD (2011 model). When I planned to upgrade the existing one with an Android TV, the only brand that came in my mind was none other than Sony.Delivery was superfast (got it delivered the next day after it was ordered). My sincere thanks to Mr. Arup Das for a flawless installation and demonstration of different features of the TV. He explained all the features nicely!Coming to the TV. Below are few points that worth mentioning in t...READ MORE",positive
"VIDEO QUALITY IS VERY GOOD . FAST DELIVERY OF THE PRODUCT. INSTALLATION AND DEMO DONE ON TIME.BY MADONNA CARE CENTRE THODUPUZHA, IDUKKI DISTRICT, KERALA. THEY ARE  AMAZING CUSTOMER SERVICE PROVIDERS. SONY TECHNICIAN FROM MADONNA CARE CENTRE THODUPUZHA WAS EXCELLENT KNOWLEDGE AND EXPERIENCED SERVICEREAD MORE",positive
Technician came from Sony Service Centre Mr Vijay. He guide us in very good manner. He is highly sanitized. He give all the guidelines for use of TV. Brand quality is very good. He clear all the features of TV and give complete Demo of how to use it. Very Superb Experience of using LED tv.READ MORE,positive
"The TV is excellent- image, sound quality and the software is topnotch. Flipkart's updates on every step of the delivery was very helpful and on time.The only issue is the Sony Installation process. The service person will sell a flexible stand at an extremely price, quoting that the Sony wall mount is not good. I would suggest to buy a flexible wall mount before installing and save a significant amount.READ MORE",negative
"Go for itIf you are looking for a premium brand TV, Then go for sony…Everything about this TV will make your experience eye catching. Apart from dolby vision, it has all the features required. The picture and sound quality is really good..READ MORE",positive
"Mr Harmeet, the installation guy was very helpful, and informative...thanks flipkart and sonyREAD MORE",positive
Amazing TV. Smart features are good and intuitive enough for senior users. It has very good sound and picture quality.READ MORE,positive
Picture quality is awesome. A must buy product.READ MORE,positive
"Product is good, but Flipkart service was poor. In TV Sony is the king and premium same like iPhone brand of mobile. This TV is not that good for SD channels. Its very good for HD and 4K channels or contents.READ MORE",negative
Watch my favorite programme on my favorite sony tv mind blowing product.READ MORE,positive
"This is my second Sony Bravia TV. The first one was a Bravia LCD (2011 model). When I planned to upgrade the existing one with an Android TV, the only brand that came in my mind was none other than Sony.Delivery was superfast (got it delivered the next day after it was ordered). My sincere thanks to Mr. Arup Das for a flawless installation and demonstration of different features of the TV. He explained all the features nicely!Coming to the TV. Below are few points that worth mentioning in t...READ MORE",positive
Value for money. Good product.READ MORE,positive
"VIDEO QUALITY IS VERY GOOD . FAST DELIVERY OF THE PRODUCT. INSTALLATION AND DEMO DONE ON TIME.BY MADONNA CARE CENTRE THODUPUZHA, IDUKKI DISTRICT, KERALA. THEY ARE  AMAZING CUSTOMER SERVICE PROVIDERS. SONY TECHNICIAN FROM MADONNA CARE CENTRE THODUPUZHA WAS EXCELLENT KNOWLEDGE AND EXPERIENCED SERVICEREAD MORE",positive
"My first Sony TVI bought this TV , when My 2 and a half year old Sharp TV simply went off . I ordered the TV on 21 St and got it delivered on 23 rd . Superfast delivery by Flipkart and their crew .The Sony Kannur called Me on 26 th and sent their service engineer , Prathyanth . He finished the wall mounting work and the paper works quickly. About TV - Great picture quality . Sound is good for Me . Didn't play any games . So , can't comment on that aspect . Remote works great . First time ...READ MORE",positive
"My first sony 4k tv purchase.. First one returned due to panel problem  that accurred   within one week of installation.. And return process is hassle free, thank u sony engineer and Flipcart..  Picture quality 10/10Sound quality  9/10User interface 10/10Connectivity   9/10READ MORE",negative
Awesome product. Great picture quality and sound. Its a sony so that says it all.READ MORE,positive
Technician came from Sony Service Centre Mr Vijay. He guide us in very good manner. He is highly sanitized. He give all the guidelines for use of TV. Brand quality is very good. He clear all the features of TV and give complete Demo of how to use it. Very Superb Experience of using LED tv.READ MORE,positive
Sony installment service is very goodREAD MORE,positive
No doubt Sony's Picture quality is top notch .Build quality could be better..but it's fine goes with plastic as well I'm fully satisfied..if you're planning just go for it blindlyREAD MORE,positive
Product is Seems to be nicenot used for long tym but its flaws will come when i continue use itREAD MORE,negative
"Great, no words to sayREAD MORE",positive
Loved it ❣️ Picture quality is soo good 👏READ MORE,positive
Stunning best in this price segment just the problem is with sound could have been louder and crisper.Apart from that every other aspects of the TV are fantastic.Sound issue can be solved if used a sound bar or home theatre.READ MORE,positive
GoodREAD MORE,positive
Good productREAD MORE,positive
SuperREAD MORE,positive
"The TV is excellent- image, sound quality and the software is topnotch. Flipkart's updates on every step of the delivery was very helpful and on time.The only issue is the Sony Installation process. The service person will sell a flexible stand at an extremely price, quoting that the Sony wall mount is not good. I would suggest to buy a flexible wall mount before installing and save a significant amount.READ MORE",negative
Awesome Product …Very nice picture quality.Same day installation and demo by Ultimate services.Devender Singh the guy who made the installation and demo very well. Well behaved guy full marks for his service.READ MORE,positive
Had a great dissappointment with no cost Emi scam with Flipkart. This will be my last product  with flipkartREAD MORE,negative
Excellent product and service by Sony. Picture and sound quality is amazing. Superfast delivery by Flipkart.Installation completed within 24 hours. Thank you Flipkart and Sony.READ MORE,positive
nice productREAD MORE,positive
"Good picture quality, best product to purchase, good support from installation team for timely installationREAD MORE",positive
"Picture Quality is great, it has X1 processor. Colors reproduction Tech Live Colour is good and clarity crisp clear.Sound also good & bass is also punchy.Build quality is great & premium.Go for it if you are looking for quality product & for long term.READ MORE",positive
Very good TVGood picture qualityGood sound qualityInstallation goodREAD MORE,positive
Initial impressions good. Sony technicians checked and made sure no physical damages are there & panel is good.  Will update upon using the TVREAD MORE,positive
#durgaelectronics#rajamundry Sony tv excellent tv sound is mind blowing delivery is excellentREAD MORE,positive
Very nice picture quality s well as siund quality.No need for other sound device.READ MORE,positive
I like sony and once again It completely lived up to my belief.READ MORE,positive
SuperREAD MORE,positive
Nice product 👍🏻 satisfiedREAD MORE,positive
Tv is really good. But sometimes lags but not an major issue. Zee5 app crashes all the time. Rest all apps works fine. And picture quality is really awesome. You will feel satisfied with the colour reproduction and brightness.READ MORE,negative
"Nice product and worth for money.installation done by kalyan and he is polite , and he given the information what we required,than you kalyan.READ MORE",positive
Installation guy was very friendly and experienced. Product is also great.READ MORE,positive
Good tv and prompt installation.READ MORE,positive
Not so goodREAD MORE,negative
"I'm writing this review after one month of usage. First I'll say this TV is awesome for this price range. Picture quality is superb, sound quality is very good we can't imagine 20w speakers produce this much of quality sound, no connectivity issues, tv runs very smoothly,  Only one con some times tv is lagging Sony should give update for this issue. So it's a must buy TV.READ MORE",positive
Good I likedREAD MORE,positive
"Ekart delivery was very good. Installation done promptly as per my requirement and overall experience was excellent. So far TV is working smoothly. Very good product, value for money.READ MORE",positive
"Tv is good, sound could be betterREAD MORE",negative
Lovely . Great Performance.READ MORE,positive
"Sony IPS panel colour reproduction is marvelous as compared to samsung,Lg.READ MORE",positive
OkREAD MORE,positive
GoodREAD MORE,positive
GoodREAD MORE,positive
"It is a good purchase, the picture and sound quality is amazing.Remote functions are very easy to handleDelivery and Installation was also very niceREAD MORE",positive
One word - SuperbREAD MORE,positive
Very good display and 4k quality. Sound is supper fine and pure.READ MORE,positive
"Sony's Person always ask to give a 5 star review which makes so irritated.Otherwise, tv is awesome and if remote mic is not working then you need to update your software.Great picture and quality.READ MORE",positive
Best 50 Inch TV…Worth every penny!!READ MORE,positive
"Worth for money Go for it. Big price than samsung, lg and some large selling products but quality not same.impressive  upscaling and richness of colours. 1080 played like 4k.  Wonderful experienceREAD MORE",positive
Sound is not that great but picture quality is good. You need some sound bars to enjoy. I installed Disney hotstar and upgraded my plan 4k and 5.1 sound plan. But the picture doesn't feel like 4k and sound is also very low.READ MORE,negative
FANTASTIC TV WORTHY PRICE JUST GO FOR ITREAD MORE,positive
"Picture quality and sound quality is good, Shamim did the installation, it was nice and quick. Happy with the TV and features.READ MORE",positive
GreatREAD MORE,positive
Very good productREAD MORE,positive
All good with installation partWork was good and helpful Nice service from 4usarv solutionsREAD MORE,positive
GoodREAD MORE,positive
"I'm very happy with sony x74 TV, picture quality  , sound clarity & other smart options in this price range 😀 and flipcart service is excellent. They are doing their job in said time.😊😊😊😊🥰READ MORE",positive
Installation done very nicely and demo given. TV performance is good @Shillong MeghalayaREAD MORE,positive
product is goodREAD MORE,positive
Picture and sound quality excellent all functions explain thank uREAD MORE,positive
Good amazingREAD MORE,positive
goodREAD MORE,positive
GoodREAD MORE,positive
Sony is Sony!READ MORE,positive
Good productREAD MORE,positive
Good TVREAD MORE,positive
Quality Product!READ MORE,positive
Nice Android TvREAD MORE,positive
Picture and sound quality is good. Installation process is fast and goodREAD MORE,positive
Good and ReliableREAD MORE,positive
Picture is not available on full screen so 50 inch seems uselessREAD MORE,negative
